"","YearIndex","CompaniesIndex","Roa","TobinsQ","FinancialLeverage","Growth","FirmSize","Industry","CarbonProductivity","WaterProductivity","WasteProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"129",3,43,0.2719,NA,0.94,0.1498,23.9781649609913,5,0.02,0,0.01,1,1,1
"130",1,44,0.1618,0.53062825106217,NA,0.1042,22.5775305115259,1,0,0,0,0,0,0
"131",2,44,0.146,0.207014169384326,NA,0.0951,22.6018144362469,1,0,0,0,0,0,0
"132",3,44,0.1269,-0.116533816255952,NA,0.0889,22.7160595719006,1,0.07,0,0,0,0,0
"133",1,45,0.0108,-1.10866262452161,1,0.198,25.9375057003032,4,0,0,0,0,0,0
"134",2,45,0.0098,-1.20397280432594,1.07,0.1635,25.9328066331036,4,0,0,0,0,0,0
"135",3,45,0.0105,-1.20397280432594,1.07,0.2187,25.9533793063996,4,0.03,0,0,0,0,0
"137",2,46,0.0843,-0.356674943938732,NA,NA,23.4359718495848,1,0.07,0.08,0.08,1,1,1
"138",3,46,0.0623,-0.3147107448397,0.4,0.0125,23.4807409213761,1,0.11,0.09,0.06,1,1,1
"139",1,47,0.0572,NA,0.73,0.1758,22.1466873751476,5,0,0,0,0,0,0
"140",2,47,0.0266,NA,0.67,0.2221,22.340890149184,5,0,0,0,0,0,0
"141",3,47,0.1032,NA,0.78,0.0872,22.3510543425931,5,0.07,0,0,0,0,0
"142",1,48,0.0964,0.371563556432483,0.91,0.1518,23.1768053930189,5,0.14,0.06,0.31,0,0,0
"143",2,48,0.0354,0.488580014818671,0.75,0.1605,23.2110849081814,5,0.04,0.03,0.01,1,1,0
"144",3,48,0.0372,0.587786664902119,0.75,0.1403,23.641198718046,5,0.04,0.03,0.03,1,1,0
"145",1,49,0.1493,0.451075619360217,0.31,0.272,23.3873084192556,4,0.48,0,0,0,0,0
"146",2,49,0.1238,-0.2484613592985,0.23,0.2675,23.4901696808423,4,0.08,0,0,1,0,0
"147",3,49,0.1058,-0.127833371509885,0.19,0.2791,23.5142346064676,4,0.09,0,0,1,0,0
"148",1,50,0.1705,1.48839958405704,0.24,0.1884,22.0593189816296,2,0.6,0.44,0,1,1,1
"149",2,50,0.1649,1.67709656090792,0.61,0.2074,22.0796163216932,2,0.09,0.13,0,1,1,1
"150",3,50,0.2548,1.40854497005471,0.49,0.2203,22.1685364031666,2,0.1,0.14,0,1,1,1
"151",1,51,0.0194,-0.544727175441672,0.35,5e-04,24.0294196699217,2,0.36,0.41,0.47,0,0,0
"152",2,51,0.0375,-0.59783700075562,0.35,0.0037,24.0109211772094,2,0.07,0.05,0.06,0,1,0
"153",3,51,0.0382,-0.616186139423817,0.37,0.0082,23.7880576464319,2,0.07,0.07,0.05,0,1,0
"154",1,52,0.0606,NA,0.22,0.0614,24.0075173324447,3,0.75,0.61,0.14,1,1,1
"155",2,52,-0.0744,NA,0.22,0.049,24.05311042183,3,0.1,0,0,1,1,1
"156",3,52,-0.127,NA,0.21,0.07,24.0845782849097,3,0.09,0.06,0.02,1,1,1
"157",1,53,0.2242,1.6094379124341,0.1,0.2502,23.0387788037078,5,0.83,0.85,0.97,1,0,1
"158",2,53,0.2097,1.19088756477728,0.07,0.3208,23.1966901496254,5,0.14,0.13,0.11,1,1,1
"159",3,53,0.1747,0.924258901523332,0.05,0.3449,23.3847134793246,5,0.14,0.11,0.14,0,1,1
"160",1,54,0.0065,NA,0.56,0.1667,26.6065603698935,4,0.26,0.41,0.4,1,1,1
"161",2,54,0.0077,NA,0.57,0.1366,26.6483501680374,4,0.02,0.05,0.06,1,1,1
"162",3,54,0.0093,NA,0.59,0.1562,26.6772958746889,4,0.02,0.05,0.03,1,1,1
"163",1,55,0.3175,NA,NA,0.1425,27.1398347074149,3,0,0,0,0,0,0
"164",2,55,0.2985,NA,NA,0.1462,20.1181295337092,3,0,0,0,0,0,0
"165",3,55,0.264,NA,NA,0.1441,20.1126198778982,3,0,0,0,0,0,0
"166",1,56,0.0143,-1.34707364796661,0.32,0.1497,26.0238356647977,4,0.71,0,0,1,0,0
"167",2,56,0.0144,-1.38629436111989,0.28,0.288,26.1163159438854,4,0.09,0,0,1,0,0
"168",3,56,0.0142,-1.27296567581289,0.3,0.2973,26.2031044401176,4,0.09,0,0,1,0,1
"169",1,57,0.0611,0.46373401623214,2.77,0.0462,22.739115076349,8,0.75,0.76,0.83,1,1,1
"170",2,57,0.0324,0.451075619360217,2.65,0.048,22.7799503915036,8,0.05,0.08,0.09,1,1,1
"171",3,57,0.0203,0.198850858745165,2.9,0.0548,22.7475909960676,8,0.08,0.11,0.13,1,1,1
"172",1,58,-0.0565,1.65632149833295,0.32,-0.2284,21.1730667588746,5,0,0,0,0,0,0
"173",2,58,-0.0552,1.51292701205326,0.49,-0.3215,21.5337515099236,5,0,0,0,0,0,1
