"";"Companies";"Year";"Ticker";"Date";"Ra";"Beta";"AlphaJensen";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"107";134;2013;"EMN";2013-12-01;0,0512496227142169;1,64612506420765;0,00499350840998184;0,1;1,28;0,34;0,04;0,03;0;0;1;1;0;10,07;1,12;0,12;8
"108";134;2014;"EMN";2014-12-01;-0,0836997778310219;1,64612506420765;-0,0827121027924973;0,06;1,08;0,2;0,03;0,03;0;0;1;1;0;10,21;2,07;0,08;8
"109";135;2012;"EMR";2012-12-01;0,0529245306601103;1,27164663854687;0,0378191003252573;0,09;1,64;0,2;0;0;0;0;0;0;0;10,38;0,34;0,08;6
"110";135;2013;"EMR";2013-12-01;0,0465198667433216;1,27164663854687;0,0107865962001547;0,08;2,09;0,19;0;0,04;0;0;0;1;0;10,38;0,36;0,08;6
"111";135;2014;"EMR";2014-12-01;-0,0321992699348233;1,27164663854687;-0,0314362819516951;0,09;1,86;0,22;0;0,05;0,07;0;0;1;0;10,38;0,35;0,09;6
"112";136;2012;"EOG";2012-12-01;0,0265944112076451;0,899644885303125;0,0158786015610683;0,02;1,39;0,04;0;0;0;0;0;0;0;10,44;0,45;0,05;3
"113";136;2013;"EOG";2013-12-01;0,0170655600420908;0,899644885303125;-0,00821446123492699;0,07;1,65;0,15;0;0,04;0;0;0;0;0;10,49;0,38;0,15;3
"114";136;2014;"EOG";2014-12-01;0,0598647052904301;0,899644885303125;0,0604044922216119;0,09;1,56;0,17;0;0,05;0;0;0;0;0;10,54;0,33;0,16;3
"115";137;2012;"EPD";2012-12-01;-0,0343473540483833;0,597983485210856;-0,0415035591738714;0,07;1,72;0,19;0;0;0;0;0;0;0;10,56;1,11;0,06;3
"116";137;2013;"EPD";2013-12-01;0,0515314481875058;0,597983485210856;0,0347281122530807;0,07;1,98;0,18;0;0;0;0;0;0;0;10,6;1,07;0,05;3
"117";137;2014;"EPD";2014-12-01;-0,0332185496362904;0,597983485210856;-0,0328597595451639;0,06;1,94;0,17;0;0;0;0;0;0;0;10,67;1,06;0,06;3
"118";138;2012;"EQIX";2012-12-01;0,104390866102168;1,17155799493423;0,0904664817619443;0,02;2,02;0,07;0;0;0;0;0;0;0;9,79;1,28;0,08;7
"119";138;2013;"EQIX";2013-12-01;0,0991497644558343;1,17155799493423;0,0662289847981825;0,01;1,55;0,04;0;0;0;0;0;0;0;9,87;1,7;0,04;7
"120";138;2014;"EQIX";2014-12-01;-0,00193871148853052;1,17155799493423;-0,00123577669156999;-0,03;1,97;-0,1;0;0,1;0;0;0;0;0;9,89;2,06;-0,11;7
"121";139;2012;"EQR";2012-12-01;0,0344250934772703;0,741525874778661;0,0255750881548821;0,05;1,54;0,14;0;0;0;0;0;0;0;10,24;1,18;0,39;4
"122";139;2013;"EQR";2013-12-01;0,0189979946396862;0,741525874778661;-0,00183888244159419;0,08;1,08;0,18;0;0;0;0;0;0;0;10,36;1,03;0,76;4
"123";139;2014;"EQR";2014-12-01;0,0207469821731554;0,741525874778661;0,0211918976980226;0,03;1,62;0,06;0;0,02;0;0;0;0;0;10,36;1,05;0,24;4
