"";"Date";"Ticker";"AdjClose";"Volume";"CompoundedReturn";"Mkt.RF";"SMB";"HML";"RF";"Rm"
"152";2011-12-01;"OXY";70,962296;87294600;NA;0,74;-0,71;1,74;0;0,74
"153";2011-12-01;"PAA";23,739891;23088600;NA;0,74;-0,71;1,74;0;0,74
"154";2011-12-01;"PAYX";24,250608;50432600;NA;0,74;-0,71;1,74;0;0,74
"155";2011-12-01;"PCAR";30,024353;48246200;NA;0,74;-0,71;1,74;0;0,74
"156";2011-12-01;"PCG";32,933556;88062700;NA;0,74;-0,71;1,74;0;0,74
"157";2011-12-01;"PCLN";467,709991;18083400;NA;0,74;-0,71;1,74;0;0,74
"158";2011-12-01;"PEG";25,365263;57293200;NA;0,74;-0,71;1,74;0;0,74
"159";2011-12-01;"PEP";55,424885;106578400;NA;0,74;-0,71;1,74;0;0,74
"160";2011-12-01;"PFE";17,305319;909964100;NA;0,74;-0,71;1,74;0;0,74
"161";2011-12-01;"PFG";20,532692;62005400;NA;0,74;-0,71;1,74;0;0,74
"162";2011-12-01;"PG";54,739372;181383300;NA;0,74;-0,71;1,74;0;0,74
"163";2011-12-01;"PGR";16,089157;104552200;NA;0,74;-0,71;1,74;0;0,74
"164";2011-12-01;"PH";67,694069;28964200;NA;0,74;-0,71;1,74;0;0,74
"165";2011-12-01;"PLD";23,048861;55972800;NA;0,74;-0,71;1,74;0;0,74
"166";2011-12-01;"PM";59,684399;115149500;NA;0,74;-0,71;1,74;0;0,74
"167";2011-12-01;"PNC";49,612434;68305800;NA;0,74;-0,71;1,74;0;0,74
"168";2011-12-01;"PPG";35,715031;49219800;NA;0,74;-0,71;1,74;0;0,74
"169";2011-12-01;"PPL";20,008554;89910400;NA;0,74;-0,71;1,74;0;0,74
"170";2011-12-01;"PRU";41,718906;75597300;NA;0,74;-0,71;1,74;0;0,74
"171";2011-12-01;"PSX";NA;NA;NA;0,74;-0,71;1,74;0;0,74
"172";2011-12-01;"PX";92,339554;33538500;NA;0,74;-0,71;1,74;0;0,74
"173";2011-12-01;"PXD";89,101196;29879800;NA;0,74;-0,71;1,74;0;0,74
"174";2011-12-01;"QCOM";46,175533;231717500;NA;0,74;-0,71;1,74;0;0,74
"175";2011-12-01;"RAI";20,709999;88838000;NA;0,74;-0,71;1,74;0;0,74
"176";2011-12-01;"RCL";21,663078;48250700;NA;0,74;-0,71;1,74;0;0,74
"177";2011-12-01;"REGN";55,43;32233500;NA;0,74;-0,71;1,74;0;0,74
"178";2011-12-01;"RF";3,846514;353647200;NA;0,74;-0,71;1,74;0;0,74
"179";2011-12-01;"RHT";41,290001;70296100;NA;0,74;-0,71;1,74;0;0,74
"180";2011-12-01;"RL";124,970497;17250700;NA;0,74;-0,71;1,74;0;0,74
"181";2011-12-01;"ROK";63,85989;26039900;NA;0,74;-0,71;1,74;0;0,74
"182";2011-12-01;"ROP";83,532677;10084800;NA;0,74;-0,71;1,74;0;0,74
"183";2011-12-01;"ROST";21,581163;75822800;NA;0,74;-0,71;1,74;0;0,74
"184";2011-12-01;"RSG";23,08889;60814300;NA;0,74;-0,71;1,74;0;0,74
"185";2011-12-01;"RTN";40,862419;46057800;NA;0,74;-0,71;1,74;0;0,74
"186";2011-12-01;"S";2,34;678174300;NA;0,74;-0,71;1,74;0;0,74
"187";2011-12-01;"SBUX";19,985006;204133600;NA;0,74;-0,71;1,74;0;0,74
"188";2011-12-01;"SCHW";10,534907;237103700;NA;0,74;-0,71;1,74;0;0,74
"189";2011-12-01;"SE";NA;NA;NA;0,74;-0,71;1,74;0;0,74
"190";2011-12-01;"SHW";83,378838;16523300;NA;0,74;-0,71;1,74;0;0,74
"191";2011-12-01;"SIRI";1,765387;725802000;NA;0,74;-0,71;1,74;0;0,74
"192";2011-12-01;"SJM";67,490578;10912200;NA;0,74;-0,71;1,74;0;0,74
"193";2011-12-01;"SLB";59,150776;176202700;NA;0,74;-0,71;1,74;0;0,74
"194";2011-12-01;"SLG";57,714729;16836200;NA;0,74;-0,71;1,74;0;0,74
"195";2011-12-01;"SNDK";49,209999;89202200;NA;0,74;-0,71;1,74;0;0,74
"196";2011-12-01;"SO";34,770443;81886800;NA;0,74;-0,71;1,74;0;0,74
"197";2011-12-01;"SPG";97,867584;32952300;NA;0,74;-0,71;1,74;0;0,74
"198";2011-12-01;"SRCL";77,919998;7862200;NA;0,74;-0,71;1,74;0;0,74
"199";2011-12-01;"SRE";45,191692;23654000;NA;0,74;-0,71;1,74;0;0,74
"200";2011-12-01;"STI";15,83075;163122500;NA;0,74;-0,71;1,74;0;0,74
"201";2011-12-01;"STJ";34,299999;96316333;NA;0,74;-0,71;1,74;0;0,74
"202";2011-12-01;"STT";35,696194;70487000;NA;0,74;-0,71;1,74;0;0,74
"203";2011-12-01;"STZ";20,054886;31401900;NA;0,74;-0,71;1,74;0;0,74
"204";2011-12-01;"SWK";58,997879;29994900;NA;0,74;-0,71;1,74;0;0,74
"205";2011-12-01;"SYK";45,1819;45173900;NA;0,74;-0,71;1,74;0;0,74
"206";2011-12-01;"SYMC";11,295959;126841400;NA;0,74;-0,71;1,74;0;0,74
"207";2011-12-01;"SYY";24,102621;74890100;NA;0,74;-0,71;1,74;0;0,74
"208";2011-12-01;"T";21,590206;507085200;NA;0,74;-0,71;1,74;0;0,74
"209";2011-12-01;"TAP";37,831982;23317800;NA;0,74;-0,71;1,74;0;0,74
"210";2011-12-01;"TDG";55,34988;4752300;NA;0,74;-0,71;1,74;0;0,74
"211";2011-12-01;"TGT";42,431667;100749900;NA;0,74;-0,71;1,74;0;0,74
"212";2011-12-01;"TIF";58,339615;45026400;NA;0,74;-0,71;1,74;0;0,74
"213";2011-12-01;"TJX";29,849867;96982600;NA;0,74;-0,71;1,74;0;0,74
"214";2011-12-01;"TMO";43,463234;58232400;NA;0,74;-0,71;1,74;0;0,74
"215";2011-12-01;"TMUS";14,383581;38072500;NA;0,74;-0,71;1,74;0;0,74
"216";2011-12-01;"TRI";21,260048;20663900;NA;0,74;-0,71;1,74;0;0,74
"217";2011-12-01;"TRIP";25,209999;30531500;NA;0,74;-0,71;1,74;0;0,74
"218";2011-12-01;"TROW";46,592438;46154700;NA;0,74;-0,71;1,74;0;0,74
"219";2011-12-01;"TRV";50,627296;90172400;NA;0,74;-0,71;1,74;0;0,74
"220";2011-12-01;"TSCO";32,339272;22449000;NA;0,74;-0,71;1,74;0;0,74
"221";2011-12-01;"TSLA";28,559999;21128500;NA;0,74;-0,71;1,74;0;0,74
"222";2011-12-01;"TSN";19,367319;66058500;NA;0,74;-0,71;1,74;0;0,74
"223";2011-12-01;"TWC";63,57;40309400;NA;0,74;-0,71;1,74;0;0,74
"224";2011-12-01;"TWX";30,51693;146526800;NA;0,74;-0,71;1,74;0;0,74
"225";2011-12-01;"TXN";24,564491;204243900;NA;0,74;-0,71;1,74;0;0,74
"226";2011-12-01;"TXT";18,212069;75576200;NA;0,74;-0,71;1,74;0;0,74
"227";2011-12-01;"UA";NA;NA;NA;0,74;-0,71;1,74;0;0,74
"228";2011-12-01;"UAL";18,870001;132858600;NA;0,74;-0,71;1,74;0;0,74
"229";2011-12-01;"UHS";37,699005;16551000;NA;0,74;-0,71;1,74;0;0,74
"230";2011-12-01;"UNH";45,771824;132044300;NA;0,74;-0,71;1,74;0;0,74
"231";2011-12-01;"UNM";18,557882;60610800;NA;0,74;-0,71;1,74;0;0,74
"232";2011-12-01;"UPS";61,007359;84150800;NA;0,74;-0,71;1,74;0;0,74
"233";2011-12-01;"USB";23,246487;227816500;NA;0,74;-0,71;1,74;0;0,74
"234";2011-12-01;"UTX";63,016407;93171400;NA;0,74;-0,71;1,74;0;0,74
"235";2011-12-01;"V";22,429525;313435600;NA;0,74;-0,71;1,74;0;0,74
"236";2011-12-01;"VFC";24,065325;103314800;NA;0,74;-0,71;1,74;0;0,74
"237";2011-12-01;"VIA";46,171005;753100;NA;0,74;-0,71;1,74;0;0,74
"238";2011-12-01;"VLO";15,974271;178416000;NA;0,74;-0,71;1,74;0;0,74
"239";2011-12-01;"VMW";83,190002;41781900;NA;0,74;-0,71;1,74;0;0,74
"240";2011-12-01;"VNO";43,80471;28656200;NA;0,74;-0,71;1,74;0;0,74
"241";2011-12-01;"VRSK";40,130001;20172200;NA;0,74;-0,71;1,74;0;0,74
"242";2011-12-01;"MOS";43,698067;110537300;NA;0,74;-0,71;1,74;0;0,74
"243";2011-12-01;"MPC";13,133975;121578000;NA;0,74;-0,71;1,74;0;0,74
"244";2011-12-01;"MRK";30,157227;374356600;NA;0,74;-0,71;1,74;0;0,74
