Ticker;Variable;2012;2013;2014;2015;2016
ATVI;low;10.48;16.6;19.129.999;36.759.998;35.119.999
ATVI;close;10.62;17.83;20.15;38.709.999;36.790.001
ATVI;adjclose;10.080.279;17.146.231;1.956.358;37.968.128;36.378.578
ATVI;volume;150327800;130316300;135443300;135521700;158530800
AVB;open;132.300.003;118.18;160.820.007;182.649.994;163.440.002
AVB;high;137;122.75;170.139.999;186.380.005;177.770.004
AVB;low;131.910.004;116.029.999;159.300.003;171.699.997;161.589.996
AVB;close;135.589.996;118.230.003;163.389.999;184.130.005;177.149.994
AVB;adjclose;114.081.314;102.693.298;14.689.032;17.044.136;168.850.708
AVB;volume;22646700;17698600;16004400;19473600;16537200
AWK;open;37.779.999;42.389.999;52.130.001;57.73;72.029.999
AWK;high;38.5;42.580.002;56.189.999;61.200.001;74.879.997
AWK;low;36.560.001;40.349.998;51.150.002;56.400.002;70.93
AWK;close;37.130.001;42.259.998;53.299.999;59.75;72.360.001
AWK;adjclose;32.850.136;38.390.656;49.690.632;57.085.911;7.054.303
AWK;volume;18257000;17889000;16915000;21039800;20945000
AXP;open;56.09;86.019.997;92.07;72;72.449.997
AXP;high;58.349.998;90.790.001;94.889.999;72.440.002;75.739.998
AXP;low;55.470.001;83.209.999;88.190.002;67.57;71.43
AXP;close;57.48;90.730.003;93.040.001;69.550.003;74.080.002
AXP;adjclose;53.080.685;84.841.949;87.949.432;66.657.356;72.378.021
AXP;volume;103366200;67589400;81719400;124047200;75158800
AZO;open;384;460.519.989;57.597.998;786.039.978;780.609.985
AZO;high;384.25;484.160.004;627.299.988;800.869.995;813.700.012
AZO;low;345.299.988;454.880.005;57.127.002;734.549.988;772.349.976
AZO;close;354.429.993;477.940.002;619.109.985;741.909.973;789.789.978
AZO;adjclose;354.429.993;477.940.002;619.109.985;741.909.973;789.789.978
AZO;volume;11548100;6160800;6487800;6108900;6036500
BA;open;74.410.004;134.990.005;134.309.998;146.539.993;150.740.005
BA;high;76.559.998;138.880.005;134.399.994;149.800.003;160.070.007
BA;low;72.93;130.550.003;120.580.002;138.889.999;150.020.004
BA;close;75.360.001;136.490.005;129.979.996;144.589.996;155.679.993
BA;adjclose;65.940.338;121.806.862;118.705.017;135.401.016;150.713.242
BA;volume;90048100;78680000;96842100;79585600;62860400
BAC;open;9.93;15.84;16.92;17.52;21.42
BAC;high;11.69;15.97;18.209.999;17.889.999;23.389.999
BAC;low;9.77;15.06;16.59;16.5;21.02
BAC;close;11.61;15.57;17.889.999;16.83;23.09
BAC;adjclose;10.952.079;14.737.095;17.017.231;16.206.276;2.264.587
BAC;volume;3505653600;1661429900;1712060700;1768999200;2752975300
BAX;open;36.175.991;37.485.062;39.722.977;37.880.001;44.419.998
BAX;high;36.827.812;37.919.609;40.896.252;38.689.999;45.419.998
BAX;low;34.687.668;35.594.784;38.375.881;36.080.002;43.130.001
BAX;close;36.208.584;37.778.381;39.809.887;38.150.002;44.34
BAX;adjclose;30.382.219;33.348.598;37.040.955;37.122.471;43.781.082
BAX;volume;90204300;126749000;91778100;79018500;75504200
BBBY;open;58.990.002;78.230.003;72.989.998;54.509.998;44.900.002
BBBY;high;60.790.001;80.540.001;77.459.999;54.880.001;48.830.002
BBBY;low;54.330.002;76.099.998;71;47.73;40.259.998
BBBY;close;55.91;80.300.003;76.169.998;48.25;48.080.002
BBBY;adjclose;54.041.584;77.616.508;73.624.519;46.637.569;46.744.377
BBBY;volume;67561600;29084000;46652600;55959700;78071300
BBT;open;28.309.999;34.82;37.43;38.93;45.34
BBT;high;29.77;37.419.998;39.689.999;39.279.999;47.849.998
BBT;low;27.52;34.060.001;36.700.001;36.490.002;45.040.001
BBT;close;29.110.001;37.32;38.889.999;37.810.001;47.02
BBT;adjclose;24.957.029;33.132.584;35.416.061;35.376.343;45.439.526
BBT;volume;81071900;83833100;74941900;93918900;88719100
BBY;open;13.11;40.59;38.869.999;31.83;45.549.999
BBY;high;14.48;43.189.999;40.029.999;31.889.999;49.400.002
BBY;low;11.2;39.32;35.169.998;28.879.999;42.34
BBY;close;11.85;39.880.001;38.98;30.450.001;42.669.998
BBY;adjclose;10.217.545;35.513.733;35.500.984;28.396.338;41.112.087
BBY;volume;216660800;93760000;123456900;95441400;105150200
BDX;open;76.720.001;108.760.002;140.029.999;151.100.006;168.710.007
BDX;high;79.339.996;110.940.002;142.559.998;157.5;171.940.002
BDX;low;76.029.999;104.940.002;134;149.350.006;161.289.993
BDX;close;78.190.002;110.489.998;139.160.004;154.089.996;165.550.003
BDX;adjclose;70.941.162;102.482.063;131.560.364;148.178.009;161.824.585
BDX;volume;18933200;16256700;24178800;23626100;20080600
BEN;open;44.32;55.43;56.830.002;42.099.998;39.48
BEN;high;44.32;57.849.998;59.43;42.23;42.18
BEN;low;41.336.666;53.57;52.27;34.619.999;38.93
BEN;close;41.900.002;57.73;55.369.999;36.82;39.580.002
