"","Ticker","Date","Year","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen"
"7087","CVS",2013-12-01,2013,0.0665803906709235,0,0.0281,0.0665803906709235,0.0281,1.4352560761162,0.0262496949320584
"7094","CVS",2014-12-01,2014,0.0527643107762313,0,-6e-04,0.0527643107762313,-6e-04,1.4352560761162,0.053625464421901
"7109","CVS",2015-12-01,2015,0.038366128791757,1e-04,-0.0216,0.038266128791757,-0.0217,1.4352560761162,0.0694111856434784
"7121","CVS",2016-12-01,2016,0.0259322591033243,3e-04,0.0185,0.0256322591033243,0.0182,1.4352560761162,-0.000489401481990472
"7130","CVX",2011-12-01,2011,0.0342258287249038,0,0.0074,0.0342258287249038,0.0074,1.21279719015067,0.0252511295177888
"7142","CVX",2012-12-01,2012,0.0229160686349037,1e-04,0.0119,0.0228160686349037,0.0118,1.21279719015067,0.00850506179112582
"7156","CVX",2013-12-01,2013,0.0199725186547658,0,0.0281,0.0199725186547658,0.0281,1.21279719015067,-0.014107082388468
"7170","CVX",2014-12-01,2014,0.0299501366043111,0,-6e-04,0.0299501366043111,-6e-04,1.21279719015067,0.0306778149184015
"7180","CVX",2015-12-01,2015,-0.0150047869354236,1e-04,-0.0216,-0.0151047869354236,-0.0217,1.21279719015067,0.011212912090846
"7191","CVX",2016-12-01,2016,0.0535764769380434,3e-04,0.0185,0.0532764769380434,0.0182,1.21279719015067,0.0312035680773011
"7206","CXO",2011-12-01,2011,-0.0806087308368128,0,0.0074,-0.0806087308368128,0.0074,0.84371702810454,-0.0868522368447864
"7223","CXO",2012-12-01,2012,0.0037308338263063,1e-04,0.0119,0.0036308338263063,0.0118,0.84371702810454,-0.00632502710532727
"7229","CXO",2013-12-01,2013,0.0384136315238893,0,0.0281,0.0384136315238893,0.0281,0.84371702810454,0.0147051830341517
"7239","CXO",2014-12-01,2014,0.0461620417631624,0,-6e-04,0.0461620417631624,-6e-04,0.84371702810454,0.0466682719800251
"7249","CXO",2015-12-01,2015,-0.164283478788419,1e-04,-0.0216,-0.164383478788419,-0.0217,0.84371702810454,-0.146074819278551
"7267","CXO",2016-12-01,2016,-0.0756473855877358,3e-04,0.0185,-0.0759473855877358,0.0182,0.84371702810454,-0.0913030354992385
"7279","D",2011-12-01,2011,0.0278910390231582,0,0.0074,0.0278910390231582,0.0074,0.511790113077959,0.0241037921863813
"7286","D",2012-12-01,2012,0.0134099999705967,1e-04,0.0119,0.0133099999705967,0.0118,0.511790113077959,0.00727087663627675
"7304","D",2013-12-01,2013,0.00532450573891798,0,0.0281,0.00532450573891798,0.0281,0.511790113077959,-0.00905679643857265
"7312","D",2014-12-01,2014,0.058229919036667,0,-6e-04,0.058229919036667,-6e-04,0.511790113077959,0.0585369931045138
"7329","D",2015-12-01,2015,0.00399960388432434,1e-04,-0.0216,0.00389960388432434,-0.0217,0.511790113077959,0.015005449338116
"7333","D",2016-12-01,2016,0.0440422517141765,3e-04,0.0185,0.0437422517141765,0.0182,0.511790113077959,0.0344276716561577
"7348","DAL",2011-12-01,2011,-0.0037014526928361,0,0.0074,-0.0037014526928361,0.0074,0.507798298649819,-0.00745916010284476
"7364","DAL",2012-12-01,2012,0.17142907666832,1e-04,0.0119,0.17132907666832,0.0118,0.507798298649819,0.165337056744253
"7376","DAL",2013-12-01,2013,-0.0535114176185565,0,0.0281,-0.0535114176185565,0.0281,0.507798298649819,-0.0677805498106164
"7388","DAL",2014-12-01,2014,0.0525888365524658,0,-6e-04,0.0525888365524658,-6e-04,0.507798298649819,0.0528935155316557
"7402","DAL",2015-12-01,2015,0.0871370133044607,1e-04,-0.0216,0.0870370133044607,-0.0217,0.507798298649819,0.0980562363851618
"7405","DAL",2016-12-01,2016,0.020746342407839,3e-04,0.0185,0.020446342407839,0.0182,0.507798298649819,0.0112044133724123
