Date;RF;Mkt-RF;SMB;HML
01-02-48;    0.07;   -4.38;   -1.71;    0.07
01-03-48;    0.09;    8.07;    0.13;    4.49
01-04-48;    0.08;    3.65;   -1.66;    4.10
01-05-48;    0.08;    7.30;    0.93;   -1.23
01-06-48;    0.09;   -0.10;   -1.86;    2.75
01-07-48;    0.08;   -5.09;   -0.32;    0.07
01-08-48;    0.09;    0.25;   -1.10;    0.27
01-09-48;    0.04;   -2.97;   -1.23;   -1.79
01-10-48;    0.04;    5.96;   -1.50;    0.56
01-11-48;    0.04;   -9.30;   -0.62;   -4.14
01-12-48;    0.04;    3.26;   -2.80;   -1.94
01-01-49;    0.10;    0.23;    1.81;    1.17
01-02-49;    0.09;   -2.93;   -1.89;   -0.91
01-03-49;    0.10;    4.04;    2.48;    1.34
01-04-49;    0.09;   -1.87;   -0.89;   -1.18
01-05-49;    0.10;   -2.94;   -0.77;   -2.42
01-06-49;    0.10;    0.10;   -0.88;   -1.76
01-07-49;    0.09;    5.54;    0.57;    0.38
01-08-49;    0.09;    2.60;    0.13;   -0.57
01-09-49;    0.09;    3.09;    1.05;    0.23
01-10-49;    0.09;    3.14;    1.03;   -0.49
01-11-49;    0.08;    1.82;   -0.93;   -0.91
01-12-49;    0.09;    5.13;    2.07;    1.75
01-01-50;    0.09;    1.70;    3.36;    0.14
01-02-50;    0.09;    1.48;    0.04;   -0.81
01-03-50;    0.10;    1.26;   -1.41;   -2.77
01-04-50;    0.09;    3.94;    1.99;    1.34
01-05-50;    0.10;    4.31;   -2.12;    0.46
01-06-50;    0.10;   -5.94;   -2.38;   -0.78
01-07-50;    0.10;    1.36;    0.51;   13.66
01-08-50;    0.10;    4.85;    0.73;   -1.41
01-09-50;    0.10;    4.81;    0.57;   -1.11
01-10-50;    0.12;   -0.18;   -0.58;    1.44
01-11-50;    0.11;    2.76;   -0.84;    3.17
01-12-50;    0.11;    5.54;    1.49;    7.23
01-01-51;    0.13;    5.70;    1.73;    3.72
01-02-51;    0.10;    1.41;    0.09;   -2.83
01-03-51;    0.11;   -2.15;   -0.64;   -4.22
01-04-51;    0.13;    4.86;   -1.49;    3.28
01-05-51;    0.12;   -2.34;   -0.01;   -1.33
01-06-51;    0.12;   -2.62;   -1.95;   -3.96
01-07-51;    0.13;    6.94;   -1.99;    2.01
01-08-51;    0.13;    4.27;    0.99;   -0.16
01-09-51;    0.12;    0.70;    1.90;    0.61
01-10-51;    0.16;   -2.53;   -0.22;    0.25
01-11-51;    0.11;    0.57;   -0.29;   -0.05
01-12-51;    0.12;    3.33;   -2.25;   -1.56
01-01-52;    0.15;    1.45;   -0.61;    1.54
01-02-52;    0.12;   -2.62;    0.79;   -0.61
01-03-52;    0.11;    4.44;   -2.99;    2.16
01-04-52;    0.12;   -4.97;    0.48;   -0.10
01-05-52;    0.13;    3.20;   -1.01;    0.08
01-06-52;    0.15;    3.83;   -1.61;    1.23
01-07-52;    0.15;    0.91;   -0.40;   -0.35
01-08-52;    0.15;   -0.76;    1.18;    0.03
01-09-52;    0.16;   -2.03;    1.15;   -1.51
01-10-52;    0.14;   -0.66;   -1.06;   -0.45
01-11-52;    0.10;    5.94;   -0.71;    0.95
01-12-52;    0.16;    2.93;   -1.48;    0.18
01-01-53;    0.16;   -0.34;    3.58;    1.32
01-02-53;    0.14;   -0.27;    2.15;   -0.08
01-03-53;    0.18;   -1.43;   -0.19;   -0.80
01-04-53;    0.16;   -2.83;    0.28;    1.53
01-05-53;    0.17;    0.52;   -0.07;    0.23
01-06-53;    0.18;   -1.89;   -1.86;   -0.47
01-07-53;    0.15;    2.40;   -1.05;   -0.24
01-08-53;    0.17;   -4.52;    0.36;   -3.54
01-09-53;    0.16;    0.20;   -0.85;   -2.42
01-10-53;    0.13;    4.60;   -1.37;   -0.19
01-11-53;    0.08;    2.83;   -1.29;   -0.17
01-12-53;    0.13;    0.03;   -0.84;   -2.84
01-01-54;    0.11;    5.13;    0.46;    3.51
01-02-54;    0.07;    1.67;   -0.17;   -0.28
01-03-54;    0.08;    3.65;   -0.49;   -1.46
01-04-54;    0.09;    4.27;   -3.48;   -0.37
01-05-54;    0.05;    3.09;    0.39;    2.46
01-06-54;    0.06;    1.07;    0.41;   -0.03
01-07-54;    0.05;    4.99;    1.07;    4.11
01-08-54;    0.05;   -2.34;    2.66;   -1.36
01-09-54;    0.09;    6.39;   -2.54;    0.66
01-10-54;    0.07;   -1.67;    0.59;    0.72
01-11-54;    0.06;    9.38;   -2.62;    4.36
01-12-54;    0.08;    5.48;    2.14;    5.71
01-01-55;    0.08;    0.60;    0.25;    2.18
01-02-55;    0.09;    3.02;    1.54;    0.62
01-03-55;    0.10;   -0.16;   -0.66;    1.95
01-04-55;    0.10;    3.11;   -1.79;    0.81
01-05-55;    0.14;    0.93;   -0.29;   -0.86
01-06-55;    0.10;    6.55;   -4.65;    1.92
01-07-55;    0.10;    1.90;   -1.36;    0.63
01-08-55;    0.16;    0.21;   -0.38;    0.58
01-09-55;    0.16;   -0.36;    0.30;   -1.06
01-10-55;    0.18;   -2.68;    1.50;   -0.03
01-11-55;    0.17;    7.03;   -2.46;    0.50
01-12-55;    0.18;    1.49;    2.08;   -2.24
01-01-56;    0.22;   -3.03;    0.44;    1.12
01-02-56;    0.19;    3.77;   -1.04;   -0.53
01-03-56;    0.15;    6.64;   -2.42;   -0.14
01-04-56;    0.19;    0.28;    0.07;   -0.18
01-05-56;    0.23;   -5.20;    1.50;   -1.33
01-06-56;    0.20;    3.48;   -1.46;   -1.32
01-07-56;    0.22;    4.84;   -1.68;   -0.01
01-08-56;    0.17;   -3.18;    1.90;   -0.71
01-09-56;    0.18;   -5.14;    1.56;    1.79
01-10-56;    0.25;    0.52;   -0.09;   -0.06
01-11-56;    0.20;    0.36;   -0.22;    1.78
01-12-56;    0.24;    3.16;   -0.03;   -2.10
01-01-57;    0.27;   -3.58;    3.40;    2.78
01-02-57;    0.24;   -2.06;   -0.72;   -0.73
01-03-57;    0.23;    2.13;    0.27;   -0.47
01-04-57;    0.25;    4.26;   -1.60;   -1.51
01-05-57;    0.26;    3.45;   -1.07;   -2.05
01-06-57;    0.24;   -0.74;    0.55;    0.01
01-07-57;    0.30;    0.66;   -0.76;    0.38
01-08-57;    0.25;   -5.11;    0.06;   -0.45
01-09-57;    0.26;   -5.98;    0.08;    0.88
01-10-57;    0.29;   -4.32;   -2.52;   -1.83
