"";"Ticker";"Year";"Close";"Volume"
"960";"KIM";"2016";25,16;76024200
"961";"KLAC";"2012";47,76;29493700
"962";"KLAC";"2013";64,46;22682400
"963";"KLAC";"2014";70,32;33550300
"964";"KLAC";"2015";69,35;28598300
"965";"KLAC";"2016";78,68;36264300
"966";"KMB";"2012";80,95;36810500
"967";"KMB";"2013";100,15;34119700
"968";"KMB";"2014";115,54;38598500
"969";"KMB";"2015";127,3;38290500
"970";"KMB";"2016";114,12;33226100
"971";"KMI";"2012";35,33;87174400
"972";"KMI";"2013";36;144908200
"973";"KMI";"2014";42,31;589873700
"974";"KMI";"2015";14,92;1509067700
"975";"KMI";"2016";20,71;286966100
"976";"KMX";"2012";37,54;46702700
"977";"KMX";"2013";47,02;35422700
"978";"KMX";"2014";66,58;48904000
"979";"KMX";"2015";53,97;75981000
"980";"KMX";"2016";64,39;47616400
"981";"KO";"2012";36,25;269626400
"982";"KO";"2013";41,31;301144500
"983";"KO";"2014";42,22;326860800
"984";"KO";"2015";42,96;286519600
"985";"KO";"2016";42;324399500
"986";"KR";"2012";13,01;180179600
"987";"KR";"2013";19,76;155916000
"988";"KR";"2014";32,11;144860600
"989";"KR";"2015";41,83;184478500
"990";"KR";"2016";34,51;174509800
"991";"KSS";"2012";42,98;70734800
"992";"KSS";"2013";56,75;47052800
"993";"KSS";"2014";61,04;61816700
"994";"KSS";"2015";47,63;80901100
"995";"KSS";"2016";49,38;79642700
"996";"KSU";"2012";83,48;17986000
"997";"KSU";"2013";123,83;13520900
"998";"KSU";"2014";122,03;20507900
"999";"KSU";"2015";74,67;47387700
"1000";"KSU";"2016";84,85;33946500
"1001";"L";"2012";40,75;21666700
"1002";"L";"2013";48,24;12933300
"1003";"L";"2014";42,02;34781100
"1004";"L";"2015";38,4;30384100
"1005";"L";"2016";46,83;18736800
"1006";"LB";"2012";47,06;51058900
"1007";"LB";"2013";61,85;26226200
"1008";"LB";"2014";86,55;30307600
"1009";"LB";"2015";95,82;24783100
"1010";"LB";"2016";74,36;36090200
"1011";"LH";"2012";86,62;12563600
"1012";"LH";"2013";91,37;28748500
"1013";"LH";"2014";107,9;29074300
"1014";"LH";"2015";123,64;19187400
"1015";"LH";"2016";128,38;12803800
"1016";"LLL";"2012";76,62;14587500
"1017";"LLL";"2013";106,86;11794600
"1018";"LLL";"2014";126,21;18268300
"1019";"LLL";"2015";119,51;12632900
"1020";"LLL";"2016";152,11;11666600
"1021";"LLY";"2012";49,32;136541100
"1022";"LLY";"2013";51;86488300
"1023";"LLY";"2014";68,99;113005400
"1024";"LLY";"2015";84,26;86132900
"1025";"LLY";"2016";73,55;131624000
"1026";"LMT";"2012";92,29;39181800
"1027";"LMT";"2013";148,66;28866500
