"","Ticker","Year","Companies","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","SharesSplitAdjusted","SplitFactor","Assets","CurrentsAssets","Liabilities","CurrentLiabilities","ShareholdersEquity","NonControllingInterest","PreferreEquity","GoodwillIntangibles","LongTermDebt","Revenue","Earnings","EarningsAvailableForCommonStockholders","EPS_Basic","EPS_Diluted","DividendPerShare","Cash_OperatingActivities","Cash_InvestingActivities","Cash_FinancingActivities","CashChangeDuringPeriod","CashEndPeriod","CapitalExpenditures","Price","PriceHigh","PriceLow","Roe","Roa","BookValue_EquityPerShare","PB_ratio","PE_ratio","CumulativeDividendsPerShare","DividendPayoutRatio","LongTermDebtToEquityRatio","EquityToAssetsRatio","NetMargin","AssetTurnover","FreeCashFlowPerShare","CurrentRatio","TobinsQ","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"249","CI",2017,83,"Health Care",5,"CI_quarterly_financial_data.xls","cigna","cigna corporation","cigna corp",242875357,242875357,1,6.1753e+10,NA,4.7969e+10,NA,1.3735e+10,4.9e+07,0,6.655e+09,5.199e+09,1.0531e+10,2.67e+08,2.66e+08,1.08,1.07,0,5.75e+08,-6.03e+08,-6.83e+08,-6.84e+08,2.972e+09,1.31e+08,197.77,212.46,183.08,0.1579,0.0362,56.55,3.45,21.69,4.54,0.0046,0.3785,0.2224,0.0538,0.68,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,112,0.5,0.07,0.1,0.1,0,0.14,1,0,0
"250","CIT",2015,84,"Financials",4,"CIT_quarterly_financial_data.xls","cit group","cit group inc","cit group inc",201538384,201538384,1,67498800000,NA,56520200000,NA,10978100000,5e+05,0,1374600000,18539100000,2011400000,144600000,144600000,0.72,0.72,0.15,376500000,6800000,-336100000,47200000,7470600000,1322600000,42.92,46.14,39.7,0.1074,0.0185,54.47,0.8,6.9,5.3,0.1061,1.6887,0.1626,0.272,0.07,-4.69,NA,NA,-0.0789181447317895,1e-04,-0.0216,-0.0790181447317895,-0.0217,1.2948642733732,-0.050919589999591,-0.0279985547321985,2014,421,0.06,0,0,0,0,0.31,0,0,0
"251","CIT",2016,84,"Financials",4,"CIT_quarterly_financial_data.xls","cit group","cit group inc","cit group inc",202603394,202603394,1,64170200000,NA,54167100000,NA,10002700000,4e+05,0,826100000,14935500000,573100000,-1141800000,-1141800000,-5.65,-5.65,0.15,885500000,9e+06,-1.065e+09,-170500000,6375200000,4.84e+08,39.55,43.85,35.25,-0.078,-0.0129,49.37,0.71,18.23,5.9,NA,1.4931,0.1559,NA,0.05,1.98,NA,NA,0.0438235999720206,3e-04,0.0185,0.0435235999720206,0.0182,2.56053349324644,-0.00307810960506458,0.0469017095770852,2015,428,0.1,0,0,0,0,0.1,0,0,0
"252","CIT",2017,84,"Financials",4,"CIT_quarterly_financial_data.xls","cit group","cit group inc","cit group inc",130769978,130769978,1,49278700000,NA,41958700000,NA,7.32e+09,0,3.25e+08,482900000,8974400000,1386500000,-8.8e+07,-8.8e+07,-0.76,-0.76,0.16,131100000,-1.89e+09,391100000,-1367400000,1.594e+09,133100000,48.1,51.51,44.69,0.0598,0.0088,53.49,0.89,NA,6.51,0.1951,1.283,0.1419,0.146,0.06,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,402,0.17,0,0.07,0,0,0.1,0,0,0
"253","CL",2015,85,"Consumer Staples",2,"CL_quarterly_financial_data.xls","colgate-palmolive","colgate-palmolive company","colgate-palmolive co",892738516,892738516,1,1.1958e+10,4.384e+09,1.2002e+10,3.534e+09,-2.99e+08,2.55e+08,0,3.449e+09,6.269e+09,3.899e+09,-4.58e+08,-4.58e+08,-0.52,-0.52,0.38,8.41e+08,-3.41e+08,-9.5e+08,-4.75e+08,9.7e+08,2.32e+08,66.47,69.23,63.72,NA,0.1058,-0.33,237.39,24.62,14.51,0.9738,NA,NA,0.0863,1.23,0.68,1.2405,5.44,0.0142105370239312,1e-04,-0.0216,0.0141105370239312,-0.0217,0.754906461628691,0.0304920072412738,-0.0162814702173426,2014,97,0.48,0.34,0.38,0.35,0.37,0.33,1,1,1
"254","CL",2016,85,"Consumer Staples",2,"CL_quarterly_financial_data.xls","colgate-palmolive","colgate-palmolive company","colgate-palmolive co",882856721,882856721,1,1.2123e+10,4.338e+09,1.2106e+10,3.305e+09,-2.43e+08,2.6e+08,0,3.42e+09,6.52e+09,3.721e+09,6.06e+08,6.06e+08,0.68,0.68,0,8.24e+08,-5.4e+07,-6.86e+08,1.7e+07,1.315e+09,2.61e+08,69.13,73.62,64.63,NA,0.1964,-0.28,NA,45.48,16.06,0.5661,NA,NA,0.1606,1.22,0.64,1.3126,5.22,0.00321422316523212,3e-04,0.0185,0.00291422316523212,0.0182,0.0936377351272444,0.00121001638591627,0.00200420677931585,2015,49,0.63,0.08,0.09,0.07,0.09,0.11,1,1,1
"255","CL",2017,85,"Consumer Staples",2,"CL_quarterly_financial_data.xls","colgate-palmolive","colgate-palmolive company","colgate-palmolive co",875326736,875326736,1,1.2676e+10,4.639e+09,1.2433e+10,3.408e+09,-6e+07,3.03e+08,0,3.559e+09,6.566e+09,3.892e+09,3.23e+08,3.23e+08,0.38,0.37,0,7.59e+08,6.1e+07,-6.83e+08,1.55e+08,1.535e+09,7.24e+08,72.59,75.99,69.2,NA,0.1604,-0.07,NA,28.03,17.65,0.6924,NA,NA,0.131,1.22,0.04,1.3612,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,51,0.62,0.09,0.07,0.07,0.08,0.11,1,1,1
"256","CLR",2015,86,"Energy",3,NA,"continental resources","continental resources inc","continental resources inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,-0.457193441301986,1e-04,-0.0216,-0.457293441301986,-0.0217,1.12519565274092,-0.432876695637508,-0.024316745664478,2014,398,0.1,0,0,0,0,0.51,0,0,0
"257","CLR",2016,86,"Energy",3,NA,"continental resources","continental resources inc","continental resources inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,-0.118257150374533,3e-04,0.0185,-0.118557150374533,0.0182,2.16708354897882,-0.157998070965948,0.0397409205914145,2015,494,0.01,0,0,0,0,0.01,0,0,0
"258","CLR",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,497,0.03,0,0.02,0,0,0.01,0,0,0
"259","CLX",2015,87,"Consumer Staples",2,"CLX_quarterly_financial_data.xls","clorox","the clorox company","clorox co",129445561,129445561,1,4.175e+09,1.49e+09,3.977e+09,1.358e+09,1.98e+08,0,0,1.63e+09,1.796e+09,1.345e+09,1.49e+08,1.49e+08,1.15,1.13,0.77,3.8e+07,-4e+07,1.6e+07,7e+06,3.9e+08,4e+07,122.92,131.78,114.06,NA,0.1647,1.53,133.61,24.63,32.27,0.5705,9.0707,0.0474,0.1205,1.37,-0.02,1.0972,4.33,0.0201495594817084,1e-04,-0.0216,0.0200495594817084,-0.0217,0.309419163119714,0.0267639553214062,-0.00661439583969779,2014,43,0.58,0.32,0.33,0.34,0.49,0.8,1,1,1
"260","CLX",2016,87,"Consumer Staples",2,"CLX_quarterly_financial_data.xls","clorox","the clorox company","clorox co",128265855,128265855,1,4.568e+09,1.549e+09,4.298e+09,2.037e+09,2.7e+08,0,0,1.917e+09,1.39e+09,1.406e+09,1.49e+08,1.49e+08,1.16,1.14,0.8,1e+08,-5.6e+07,-3.5e+07,6e+06,4.14e+08,5.8e+07,122.92,131.78,114.06,NA,0.1469,2.11,54.87,24.73,35.41,0.6182,5.1481,0.0591,0.1115,1.32,0.33,0.7604,3.78,0.0378685106560254,3e-04,0.0185,0.0375685106560254,0.0182,-0.273745854820052,0.0425506852137504,-0.00468217455772494,2015,38,0.65,0.07,0.08,0.06,0.13,0.12,1,1,1
"261","CLX",2017,87,"Consumer Staples",2,"CLX_quarterly_financial_data.xls","clorox","the clorox company","clorox co",129403990,129403990,1,4.758e+09,1.68e+09,3.998e+09,1.38e+09,7.6e+08,0,0,1.922e+09,1.788e+09,1.416e+09,2.33e+08,2.33e+08,1.81,1.77,0.84,6.4e+07,-3.8e+07,-1e+06,2.1e+07,4.89e+08,4e+07,137.25,150.4,124.09,NA,0.172,5.87,29.9,25.28,38.69,0.5305,2.3526,0.1597,0.1321,1.3,0.19,1.2174,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,45,0.64,0.07,0.06,0.07,0.12,0.12,1,1,1
"262","CMCSA",2015,88,"Consumer Discretionary",1,"CMCSA_quarterly_financial_data.xls","comcast","comcast corporation","comcast corp",2442398363,4884796726,2,1.66574e+11,1.2303e+10,1.12596e+11,1.8178e+10,5.2269e+10,1.709e+09,0,1.09255e+11,4.8994e+10,1.9245e+10,1.971e+09,1.971e+09,0.8,0.79,0.25,4.965e+09,-4.76e+09,1.97e+08,4.02e+08,2.295e+09,2.637e+09,29.7,31.69,27.7,0.1566,0.0507,10.7,2.81,18.62,2.35,0.3025,0.9373,0.3138,0.1096,0.46,0.48,0.6768,1.16,-0.0755752229360803,1e-04,-0.0216,-0.0756752229360804,-0.0217,1.53376260590822,-0.042392574387872,-0.0331826485482083,2014,417,0.07,0,0,0,0,0.33,0,0,0
"263","CMCSA",2016,88,"Consumer Discretionary",1,"CMCSA_quarterly_financial_data.xls","comcast","comcast corporation","comcast corp",2375801693,4751603386,2,1.805e+11,1.6361e+10,1.2288e+11,2.1535e+10,5.3943e+10,3.677e+09,0,1.12618e+11,5.5566e+10,2.1025e+10,2.296e+09,2.296e+09,0.96,0.95,0.28,5.743e+09,-4.233e+09,-1.016e+09,4.94e+08,3.301e+09,2.573e+09,32.84,35.66,30.02,0.1632,0.0496,11.35,2.94,19.26,2.9,0.3052,1.0301,0.2989,0.1081,0.46,0.67,0.7597,1.24,0.00123840503779788,3e-04,0.0185,0.000938405037797883,0.0182,0.897565042638584,-0.0153972787382243,0.0166356837760222,2015,364,0.16,0,0,0,0,0.16,0,0,0
"264","CMCSA",2017,88,"Consumer Discretionary",1,"CMCSA_quarterly_financial_data.xls","comcast","comcast corporation","comcast corp",4644508017,4644508017,1,1.86949e+11,1.606e+10,1.16143e+11,2.1561e+10,6.8606e+10,2.2e+09,0,1.14923e+11,5.9422e+10,2.1915e+10,1.4985e+10,1.4985e+10,3.22,3.18,0.16,5.442e+09,-3.677e+09,-2.451e+09,-6.86e+08,3.428e+09,3.218e+09,38.01,41.24,34.78,0.3881,0.1232,14.77,3.2,18.32,3.54,0.1307,0.8661,0.367,0.2687,0.46,0.48,0.7449,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,374,0.19,0,0.03,0,0,0.16,0,0,0
"265","CME",2015,89,"Financials",4,"CME_quarterly_financial_data.xls","cme group","cme group inc","cme group inc",338412729,338412729,1,67371500000,37904500000,46819700000,36824500000,20551800000,0,0,10106900000,2241400000,813800000,291700000,291700000,0.87,0.86,3.4,374100000,39200000,-1.55e+08,258300000,1692600000,23900000,90.17,96.13,84.22,0.0592,0.0167,60.73,1.43,24.11,22.65,1.3291,0.1091,0.3051,0.3748,0.04,1.03,1.0293,0.47,-0.0387945737723512,1e-04,-0.0216,-0.0388945737723512,-0.0217,0.788938665722221,-0.021774604726179,-0.0170199690461722,2014,348,0.15,0,0,0,0,0.76,0,0,0
"266","CME",2016,89,"Financials",4,"CME_quarterly_financial_data.xls","cme group","cme group inc","cme group inc",339647903,339647903,1,69369400000,40031500000,49028700000,38945600000,20340700000,0,0,10010800000,2231200000,912900000,373400000,373400000,1.11,1.1,3.1,510400000,117500000,-179800000,448100000,1868600000,28900000,111.53,123.43,99.64,0.0735,0.0228,59.89,1.78,26,27.55,1.084,0.1097,0.2932,0.4267,0.05,1.42,1.0279,0.06,0.0537280975434431,3e-04,0.0185,0.0534280975434431,0.0182,0.98749165723145,0.0354557493818307,0.0182723481616124,2015,428,0.1,0,0,0,0,0.1,0,0,0
"267","CME",2017,89,"Financials",4,"CME_quarterly_financial_data.xls","cme group","cme group inc","cme group inc",340382147,340382147,1,75791200000,46906500000,53379400000,45672900000,22411800000,0,0,9915300000,2233100000,9e+08,2939200000,2939200000,8.67,8.62,4.16,510200000,-20900000,-216800000,272500000,1903600000,28900000,143.81,155.29,132.33,0.1921,0.0527,65.84,2.35,32.61,33.69,0.5141,0.0996,0.2957,1.1149,0.05,1.41,1.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,412,0.17,0,0.07,0,0,0.1,0,0,0
"268","CMG",2015,90,"Consumer Discretionary",1,"CMG_quarterly_financial_data.xls","chipotle mexican grill","chipotle mexican grill inc","chipotle mexican grill inc",30044250,30044250,1,2725066000,814647000,597092000,279942000,2127974000,0,0,21939000,0,997507000,67874000,67874000,2.18,2.17,0,94753000,-135921000,-313955000,-356157000,248005000,75578000,617.49,757,477.97,0.2134,0.1701,70.83,8.02,36.84,0,0,0,0.7809,0.1057,1.61,0.64,2.9101,NA,-0.18877835206149,1e-04,-0.0216,-0.18887835206149,-0.0217,-0.299224216649275,-0.195371517562779,0.00659316550128926,2014,366,0.14,0,0,0,0,0.68,0,0,0
"269","CMG",2016,90,"Consumer Discretionary",1,"CMG_quarterly_financial_data.xls","chipotle mexican grill","chipotle mexican grill inc","chipotle mexican grill inc",28772830,28772830,1,2026103000,522374000,623610000,281793000,1402493000,0,0,21939000,0,1034560000,15975000,15975000,0.54,0.52,0,68170000,-66590000,-66840000,-66248000,87880000,66590000,396.48,440,352.96,0.0156,0.011,48.74,7.96,163.16,0,0,0,0.6922,0.0059,1.87,0.05,1.8538,NA,-0.0491535124238787,3e-04,0.0185,-0.0494535124238787,0.0182,0.777053292583848,-0.0635958823489047,0.014442369925026,2015,428,0.1,0,0,0,0,0.1,0,0,0
"270","CMG",2017,90,"Consumer Discretionary",1,"CMG_quarterly_financial_data.xls","chipotle mexican grill","chipotle mexican grill inc","chipotle mexican grill inc",27930272,27930272,1,2045692000,629535000,681247000,323893000,1364445000,0,0,21939000,0,1110100000,43793000,43793000,1.56,1.55,0,88271000,59012000,-76319000,71089000,184569000,51271000,298.16,333.33,263,0.1257,0.0856,48.85,6.07,58.12,0,0,0,0.667,0.0394,2.17,1.32,1.9437,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,429,0.16,0,0.06,0,0,0.1,0,0,0
"271","CMI",2015,91,"Industrials",6,"CMI_quarterly_financial_data.xls","cummins","cummins inc","cummins inc",174320797,174320797,1,1.5134e+10,7.947e+09,7.384e+09,3.803e+09,7.406e+09,3.44e+08,0,8.1e+08,1.576e+09,4.766e+09,1.78e+08,1.61e+08,0.92,0.92,0.97,9.28e+08,-4.41e+08,-4.29e+08,2.3e+07,1.711e+09,3.51e+08,100.18,115.37,84.99,0.1822,0.094,42.48,2.3,10.71,17.87,0.4453,0.2128,0.4894,0.0732,1.22,3.31,2.0897,0.85,-0.131413133962357,1e-04,-0.0216,-0.131513133962357,-0.0217,0.549138448405137,-0.119596829631966,-0.0118163043303915,2014,52,0.56,0.24,0.45,0.53,0.57,0.46,1,1,1
"272","CMI",2016,91,"Industrials",6,"CMI_quarterly_financial_data.xls","cummins","cummins inc","cummins inc",168155330,168155330,1,1.5011e+10,7.707e+09,7.837e+09,4.325e+09,6.875e+09,2.99e+08,0,8.12e+08,1.568e+09,4.503e+09,3.96e+08,3.78e+08,2.25,2.24,1.03,6.25e+08,-3.27e+08,-3.68e+08,-1.31e+08,1.12e+09,2.19e+08,134.16,147.1,121.22,0.2021,0.0971,40.88,3.26,19.42,21.88,0.4851,0.2281,0.458,0.0796,1.17,2.41,1.782,1.41,-0.0367072275519821,3e-04,0.0185,-0.0370072275519821,0.0182,0.898061618457119,-0.0533519490079016,0.0166447214559196,2015,105,0.54,0.03,0.07,0.08,0.09,0.07,1,1,1
"273","CMI",2017,91,"Industrials",6,"CMI_quarterly_financial_data.xls","cummins","cummins inc","cummins inc",165683334,165683334,1,1.8075e+10,8.928e+09,9.911e+09,5.677e+09,7.259e+09,9.05e+08,0,9.73e+08,1.651e+09,5.476e+09,-3e+08,-3e+08,-1.63,-1.63,1.08,8.06e+08,-2.66e+08,-4.74e+08,7.9e+07,1.369e+09,2.4e+08,170.27,181.79,158.75,0.1317,0.0588,43.81,3.7,17.3,26.09,0.7217,0.2274,0.4016,0.0476,1.2,3.42,1.5727,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,85,0.55,0.04,0.06,0.07,0.1,0.08,1,1,1
"274","CNO",2015,92,"Financials",4,"CNO_quarterly_financial_data.xls","cna financial","cna financial corporation","cna financial corp",179593602,179593602,1,31125100000,NA,26986600000,NA,4138500000,0,0,0,0,969600000,137300000,137300000,0.74,0.73,0.07,208600000,-611500000,221400000,-181500000,432300000,0,19.41,20.88,17.93,0.0621,0.0087,23.04,0.87,18.31,0.68,0.1879,0,0.133,0.071,0.12,1.16,NA,NA,-0.0544817450830212,1e-04,-0.0216,-0.0545817450830212,-0.0217,0.390184725922524,-0.0461147365305025,-0.00836700855251877,2014,342,0.16,0,0,0,0,0.8,0,0,0
"275","CNO",2016,92,"Financials",4,"CNO_quarterly_financial_data.xls","cna financial","cna financial corporation","cna financial corp",173795204,173795204,1,31975200000,NA,27488300000,NA,4486900000,0,0,0,9.25e+08,1004900000,234200000,234200000,1.35,1.34,0.08,1.78e+08,-468800000,63700000,-227100000,478900000,0,17.27,19.89,14.65,0.0811,0.0112,25.82,0.67,12.16,0.99,0.1517,0.2062,0.1403,0.0899,0.12,1.02,NA,NA,0.0718241098328667,3e-04,0.0185,0.0715241098328667,0.0182,1.57016061143909,0.0429471867046751,0.0288769231281915,2015,364,0.16,0,0,0,0,0.16,0,0,0
"276","CNO",2017,92,"Financials",4,"CNO_quarterly_financial_data.xls","cna financial","cna financial corporation","cna financial corp",166876131,166876131,1,33110300000,NA,28262800000,NA,4847500000,0,0,0,914600000,1090100000,-70900000,-70900000,-0.43,-0.43,0.18,179400000,-602900000,2.36e+08,-187500000,578400000,0,24.49,25.83,23.15,0.0367,0.0054,29.05,0.84,8.84,1.34,0.3357,0.1887,0.1464,0.0409,0.13,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,435,0.15,0,0.04,0,0,0.11,0,0,0
"277","CNP",2015,93,"Utilities",11,"CNP_quarterly_financial_data.xls","centerpoint energy","centerpoint energy inc","centerpoint energy inc",430271749,430271749,1,2.1334e+10,2.689e+09,1.7873e+10,2.467e+09,3.461e+09,0,0,8.4e+08,7.901e+09,1.791e+09,-5.09e+08,-5.09e+08,-1.18,-1.18,0.25,3.47e+08,-3.63e+08,5.3e+07,3.7e+07,2.64e+08,4.53e+08,17.63,19.13,16.14,-0.1663,-0.0313,8.04,1.87,NA,9.52,NA,2.2829,0.1622,NA,0.33,-0.25,1.09,0.73,0.0799064831669771,1e-04,-0.0216,0.0798064831669771,-0.0217,-0.0740812617504755,0.0781989197869917,0.00170756337998532,2014,148,0.41,0.76,0.61,0,0,1,0,0,0
"278","CNP",2016,93,"Utilities",11,"CNP_quarterly_financial_data.xls","centerpoint energy","centerpoint energy inc","centerpoint energy inc",430688867,430688867,1,2.1829e+10,2.923e+09,1.8369e+10,3.08e+09,3.46e+09,0,0,8.62e+08,7.532e+09,2.081e+09,1.01e+08,1.01e+08,0.23,0.24,0.26,4.76e+08,-3.07e+08,-9.8e+07,7.1e+07,3.41e+08,3.67e+08,23.34,24.84,21.84,0.1249,0.0203,8.03,2.9,NA,10.56,1.0293,2.1769,0.1585,0.0574,0.35,0.25,0.949,0.84,0.0321676539266137,3e-04,0.0185,0.0318676539266137,0.0182,0.89032662721276,0.0156637093113415,0.0165039446152722,2015,380,0.16,0,0.08,0,0,0.08,0,0,0
"279","CNP",2017,93,"Utilities",11,"CNP_quarterly_financial_data.xls","centerpoint energy","centerpoint energy inc","centerpoint energy inc",431048125,431048125,1,2.2736e+10,3.395e+09,1.8048e+10,3.069e+09,4.688e+09,0,0,9.41e+08,8.195e+09,2.638e+09,1.296e+09,1.296e+09,3.01,2.98,0.27,3.9e+08,-3.65e+08,3.4e+07,5.9e+07,2.6e+08,4.32e+08,28.96,30.17,27.75,0.4653,0.0807,10.88,3.45,20.99,11.63,0.258,1.7481,0.2062,0.1864,0.43,-0.1,1.1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,345,0.21,0,0.13,0,0,0.08,0,0,0
"280","CNX",2015,94,"Utilities",11,"CNX_quarterly_financial_data.xls","consolidated edison","consolidated edison inc","consolidated edison inc",229054236,229054236,1,10929902000,804763000,6074126000,1680937000,4702027000,153749000,0,0,2748205000,761932000,30406000,30406000,0.14,0.14,0.01,101566000,-113881000,1874000,-10441000,72578000,127411000,9.14,11.99,6.3,-0.0772,-0.0334,20.53,0.44,NA,6.27,NA,0.5845,0.4302,NA,0.28,-0.11,0.4788,0.49,0.0025350189541568,1e-04,-0.0216,0.0024350189541568,-0.0217,0.117806319381179,0.00499141608472838,-0.00245639713057157,2014,16,0.68,0.47,0.53,0.55,0.77,0.65,1,1,1
"281","CNX",2016,94,"Utilities",11,"CNX_quarterly_financial_data.xls","consolidated edison","consolidated edison inc","consolidated edison inc",229443008,229443008,1,9183981000,626139000,5243093000,940014000,3798395000,142493000,0,0,2762069000,436483000,-306047000,-306047000,-1.33,-1.33,0,82647000,266087000,-368506000,-19772000,60475000,47431000,19.24,22.34,16.14,-0.2036,-0.0864,16.55,1.06,NA,6.28,NA,0.7272,0.4136,NA,0.21,0.15,0.6661,0.74,-0.121251119773478,3e-04,0.0185,-0.121551119773478,0.0182,2.45296293965197,-0.166195045275144,0.0449439255016659,2015,32,0.66,0.04,0.11,0.09,0.12,0.11,1,1,1
"282","CNX",2017,94,"Utilities",11,"CNX_quarterly_financial_data.xls","consolidated edison","consolidated edison inc","consolidated edison inc",223758284,223758284,1,6931913000,852504000,3032014000,441679000,3899899000,0,0,0,2207373000,NA,276644000,276644000,1.22,1.19,3.13,176463000,-233799000,294971000,237635000,509167000,194919000,15.19,17.01,13.37,0.098,0.0448,17.43,0.89,NA,9.41,1.8394,0.566,0.5626,NA,NA,-0.08,1.9301,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,19,0.72,0.08,0.1,0.1,0.12,0.11,1,1,1
"283","COF",2015,95,"Financials",4,"COF_quarterly_financial_data.xls","capital one financial","capital one financial corporation","capital one financial corp",527379971,527379971,1,3.34048e+11,NA,2.86764e+11,NA,4.7284e+10,0,0,1.5521e+10,0,6.194e+09,9.2e+08,8.48e+08,1.59,1.58,0.4,1.122e+09,-2.0166e+10,2.023e+10,1.186e+09,8.023e+09,1.21e+08,76.8,81.42,72.18,0.0827,0.0128,89.66,0.86,10.67,7.54,0.2078,0,0.1415,0.1654,0.07,1.9,NA,0.23,-0.0840629675186173,1e-04,-0.0216,-0.0841629675186173,-0.0217,1.20517227125019,-0.0580107292324882,-0.026052238286129,2014,269,0.26,0.43,0.32,0,0,0.24,1,0,0
"284","COF",2016,95,"Financials",4,"COF_quarterly_financial_data.xls","capital one financial","capital one financial corporation","capital one financial corp",480641838,480641838,1,3.57033e+11,NA,3.09519e+11,NA,4.7514e+10,0,0,1.5184e+10,5.9468e+10,6.566e+09,7.91e+08,7.1e+08,1.48,1.45,0.4,1.995e+09,-1.0453e+10,9.34e+09,8.82e+08,9.976e+09,2.71e+08,80.84,90.62,71.07,0.0734,0.0109,98.86,0.81,11.53,9.14,0.2256,1.2516,0.1331,0.1378,0.07,3.59,NA,0.25,0.0373701624151008,3e-04,0.0185,0.0370701624151008,0.0182,1.40623077179141,0.0114767623684971,0.0258934000466037,2015,262,0.31,0.02,0.04,0,0,0.1,1,0,1
"285","COF",2017,95,"Financials",4,"COF_quarterly_financial_data.xls","capital one financial","capital one financial corporation","capital one financial corp",486287085,486287085,1,3.65693e+11,NA,3.16963e+11,NA,4.873e+10,0,0,1.4954e+10,5.9705e+10,7.013e+09,-9.71e+08,-1.043e+09,-2.15,-2.15,0.4,4.091e+09,-3.796e+09,5.269e+09,5.564e+09,1.4352e+10,2.42e+08,92.55,100.5,84.59,0.0348,0.0056,100.21,0.89,13.09,10.74,0.4549,1.2252,0.1333,0.0626,0.08,7.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,260,0.29,0,0.04,0,0,0.1,1,0,1
"286","COH",2015,96,"Consumer Discretionary",1,"COH_quarterly_financial_data.xls","coach","coach inc","coach inc",277696178,277696178,1,4603700000,2301600000,2036400000,7.04e+08,2567300000,0,0,787800000,881200000,1273800000,170100000,170100000,0.61,0.61,0.3375,3.02e+08,-325300000,-98200000,-122200000,843800000,1.06e+08,30.34,33.45,27.22,0.1455,0.0799,9.24,3.41,22.15,6.65,1.0229,0.3432,0.5577,0.0864,0.92,0.71,3.2693,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,435,0,0,0,0,0,0,0,0,0
"287","COH",2016,96,"Consumer Discretionary",1,"COH_quarterly_financial_data.xls","coach","coach inc","coach inc",280616067,280616067,1,4678700000,2765700000,1867600000,715200000,2811100000,0,0,811900000,6e+08,1321700000,199700000,199700000,0.71,0.71,0.3375,366200000,44200000,-89600000,309700000,1309700000,54100000,36.47,38.86,34.07,0.1885,0.1086,10.02,3.75,21.2,8,0.7396,0.2134,0.6008,0.1124,0.97,1.11,3.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,414,0.12,0,0,0,0,0.12,0,0,0
"288","COH",2017,96,"Consumer Discretionary",1,"COH_quarterly_financial_data.xls","coach","coach inc","coach inc",284882437,284882437,1,7481200000,3282300000,4531800000,1731400000,2949400000,0,0,3147700000,1906400000,1.785e+09,63200000,63200000,0.22,0.22,0.3375,534800000,233100000,-82400000,691700000,2.065e+09,77600000,39.83,40.95,38.7,0.1084,0.0502,10.35,3.85,24.74,9.36,1.1994,0.6464,0.3942,0.0614,0.82,1.6,1.8957,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,436,0.15,0,0.03,0,0,0.12,0,0,0
"289","COL",2015,97,"Industrials",6,"COL_quarterly_financial_data.xls","rockwell collins","rockwell collins inc","rockwell collins inc",131131426,131131426,1,7.471e+09,3.446e+09,5.566e+09,2.575e+09,1.899e+09,6e+06,0,2.596e+09,1.37e+09,1.169e+09,1.35e+08,1.35e+08,1.03,1.02,0.33,-9.1e+07,-4.8e+07,2.23e+08,8.2e+07,3.34e+08,4.8e+07,87.5,95.11,79.9,0.3367,0.0894,14.48,6.14,17.06,11.54,0.2597,0.7214,0.2542,0.1261,0.71,-1.06,1.3383,1.69,-0.00410852076459386,1e-04,-0.0216,-0.00420852076459386,-0.0217,0.415072041537171,0.00479854253676275,-0.0089070633013566,2014,271,0.26,0.71,0.36,0,0,0,1,0,0
