"","Ticker","Year","StockPriceClose","PriceToEarningRatio"
"449","CMG",2015,659.13,43.6509933774834
"450","CMG",2016,428.56,556.571428571429
"451","CMI",2012,103.07,11.8881199538639
"452","CMI",2013,121.39,15.346396965866
"453","CMI",2014,144.01,15.9656319290466
"454","CMI",2015,125.23,15.9732142857143
"455","CMI",2016,116.46,14.1506682867558
"456","CNO",2012,8.11,9.7710843373494
"457","CNO",2013,13.22,6.41747572815534
"458","CNO",2014,17.36,72.3333333333333
"459","CNO",2015,18.07,13
"460","CNO",2016,17.42,8.66666666666667
"461","CNP",2012,20.05,20.6701030927835
"462","CNP",2013,23.21,32.2361111111111
"463","CNP",2014,24.06,16.943661971831
"464","CNP",2015,19.6,-12.1739130434783
"465","CNP",2016,21.95,21.95
"466","CNX",2012,27.22,16.0117647058824
"467","CNX",2013,27.77,9.67595818815331
"468","CNX",2014,33.18,47.4
"469","CNX",2015,17.1,-10.4268292682927
"470","CNX",2016,12.43,-3.35945945945946
"471","COF",2012,54.32,8.89034369885434
"472","COF",2013,63.51,9.21770682148041
"473","COF",2014,78.62,10.3583662714097
"474","COF",2015,79.87,11.2970297029703
"475","COF",2016,71.28,10.3454281567489
"476","COH",2012,NA,NA
"477","COH",2013,NA,NA
"478","COH",2014,NA,NA
"479","COH",2015,NA,NA
"480","COH",2016,NA,NA
"481","COL",2012,54.09,13.033734939759
"482","COL",2013,66.54,14.528384279476
"483","COL",2014,79.03,17.8800904977376
"484","COL",2015,90,17.5438596491228
"485","COL",2016,87.1,15.8076225045372
"486","COP",2012,56,8.33333333333333
"487","COP",2013,64.64,8.75880758807588
"488","COP",2014,74.19,13.464609800363
"489","COP",2015,58.14,-16.2402234636872
"490","COP",2016,42.48,-14.5979381443299
"491","COST",2012,92.06,23.6658097686375
"492","COST",2013,111.8,24.14686825054
"493","COST",2014,121.58,26.1462365591398
"494","COST",2015,147.84,27.5307262569832
"495","COST",2016,154.35,28.9587242026266
"496","CPB",2012,33.78,14.0165975103734
"497","CPB",2013,42.73,29.6736111111111
"498","CPB",2014,43.87,16.0109489051095
"499","CPB",2015,48.33,22.6901408450704
"500","CPB",2016,59.54,32.8950276243094
"501","CRM",2012,35.73,-1786.5
"502","CRM",2013,45.94,-95.7083333333333
"503","CRM",2014,57.25,-146.794871794872
"504","CRM",2015,70.66,-168.238095238095
"505","CRM",2016,74.55,-1065
"506","CSCO",2012,18.58,12.4697986577181
"507","CSCO",2013,22.64,12.1720430107527
"508","CSCO",2014,24.25,16.2751677852349
"509","CSCO",2015,27.85,15.9142857142857
"510","CSCO",2016,28.79,13.6445497630332
"511","CSX",2012,21.61,12.072625698324
"512","CSX",2013,24.8,13.551912568306
"513","CSX",2014,30.82,16.0520833333333
"514","CSX",2015,31.44,15.72
"515","CSX",2016,28.14,15.5469613259669
"516","CTL",2012,39.27,31.416
"517","CTL",2013,34.91,-87.275
"518","CTL",2014,36.52,26.8529411764706
"519","CTL",2015,31.4,19.873417721519
"520","CTL",2016,27.95,24.0948275862069
"521","CTSH",2012,33.59,19.5290697674419
"522","CTSH",2013,38.64,19.1287128712871
"523","CTSH",2014,48.92,20.8170212765957
"524","CTSH",2015,62.28,23.5018867924528
"525","CTSH",2016,57.25,22.4509803921569
"526","CTXS",2012,58.15,31.2634408602151
"527","CTXS",2013,52.94,29.4111111111111
"528","CTXS",2014,50.37,34.265306122449
"529","CTXS",2015,55.26,27.7688442211055
"530","CTXS",2016,64.98,19.0557184750733
"531","CVS",2012,45.45,15.0496688741722
"532","CVS",2013,58.55,15.6550802139037
"533","CVS",2014,78.39,19.7954545454545
"534","CVS",2015,101.65,21.9546436285097
"535","CVS",2016,93.05,18.9897959183673
"536","CVX",2012,107.55,8.07432432432432
"537","CVX",2013,120.23,10.8412984670875
"538","CVX",2014,120.51,11.8846153846154
"539","CVX",2015,96.36,39.330612244898
"540","CVX",2016,99.87,-369.888888888889
"541","CXO",2012,93.55,22.5421686746988
"542","CXO",2013,95.1,39.7907949790795
"543","CXO",2014,121.23,24.8422131147541
"544","CXO",2015,110.48,204.592592592593
"545","CXO",2016,117.89,-10.8654377880184
"546","D",2012,52.01,98.1320754716981
"547","D",2013,59.36,20.259385665529
"548","D",2014,69.98,31.2410714285714
"549","D",2015,70.93,22.165625
"550","D",2016,73.33,21.3168604651163
"551","DAL",2012,10.07,8.46218487394958
"552","DAL",2013,20,1.6273393002441
"553","DAL",2014,37.61,48.2179487179487
"554","DAL",2015,46.11,8.19005328596803
"555","DAL",2016,43.11,7.44559585492228
"556","DD",2012,NA,NA
"557","DD",2013,NA,NA
"558","DD",2014,NA,NA
"559","DD",2015,NA,NA
"560","DD",2016,NA,NA
"561","DE",2012,81.08,10.6264744429882
"562","DE",2013,86.08,9.46974697469747
"563","DE",2014,87.82,10.1761297798378
"564","DE",2015,86.22,14.9428076256499
"565","DE",2016,84.05,17.4740124740125
"566","DFS",2012,34.84,7.81165919282511
"567","DFS",2013,47.29,9.53427419354839
"568","DFS",2014,60.38,12.3224489795918
"569","DFS",2015,57.02,11.1150097465887
"570","DFS",2016,55.92,9.69150779896014
"571","DG",2012,47.64,21.4594594594595
"572","DG",2013,53.07,18.6210526315789
"573","DG",2014,60.11,18.9621451104101
"574","DG",2015,72.59,20.7994269340974
"575","DG",2016,79.99,20.2506329113924
"576","DGX",2012,59.02,17.0578034682081
"577","DGX",2013,59.08,10.6642599277978
"578","DGX",2014,59.29,15.5616797900262
"579","DGX",2015,70.62,14.5010266940452
"580","DGX",2016,78.45,17.3946784922395
"581","DHR",2012,40.27,11.985119047619
"582","DHR",2013,49.91,13.1342105263158
"583","DHR",2014,58.65,16.1570247933884
"584","DHR",2015,66.67,14.0654008438819
"585","DHR",2016,74.9,20.5205479452055
"586","DIS",2012,46.43,14.8338658146965
"587","DIS",2013,62.89,18.6065088757396
"588","DIS",2014,84.48,19.830985915493
"589","DIS",2015,107.84,22.0081632653061
"590","DIS",2016,97.46,17.0087260034904
"591","DISCA",2012,26.91,42.7142857142857
"592","DISCA",2013,40.43,27.1342281879195
"593","DISCA",2014,39.42,23.7469879518072
"594","DISCA",2015,30.69,19.4240506329114
"595","DISCA",2016,26.72,13.6326530612245
"596","DISH",2012,NA,NA
"597","DISH",2013,NA,NA
"598","DISH",2014,NA,NA
"599","DISH",2015,NA,NA
"600","DISH",2016,NA,NA
"601","DISH ",2012,NA,NA
"602","DISH ",2013,NA,NA
"603","DISH ",2014,NA,NA
"604","DISH ",2015,NA,NA
"605","DISH ",2016,NA,NA
"606","DLTR",2012,46.52,23.1442786069652
"607","DLTR",2013,50.74,18.9328358208955
"608","DLTR",2014,56.03,20.5992647058824
"609","DLTR",2015,74.97,25.851724137931
"610","DLTR",2016,83.54,66.3015873015873
"611","DOV",2012,49.42,11.2063492063492
"612","DOV",2013,67.09,11.6072664359862
"613","DOV",2014,81.89,17.8409586056645
"614","DOV",2015,67.55,12.3717948717949
"615","DOV",2016,67.55,20.7846153846154
"616","DOW",2012,NA,NA
"617","DOW",2013,NA,NA
"618","DOW",2014,NA,NA
"619","DOW",2015,NA,NA
"620","DOW",2016,NA,NA
"621","DPS",2012,42.08,14.2162162162162
"622","DPS",2013,46.34,15.1934426229508
"623","DPS",2014,59.35,16.6713483146067
"624","DPS",2015,80.23,20.2090680100756
"625","DPS",2016,91.36,20.1233480176211
"626","DTE",2012,57.75,16.2676056338028
"627","DTE",2013,67.31,17.9015957446809
"628","DTE",2014,75.86,14.8745098039216
"629","DTE",2015,80.57,19.8938271604938
"630","DTE",2016,91.56,18.9565217391304
"631","DUK",2012,NA,NA
"632","DUK",2013,NA,NA
"633","DUK",2014,NA,NA
"634","DUK",2015,NA,NA
"635","DUK",2016,NA,NA
"636","DVA",2012,47.34,17.2773722627737
"637","DVA",2013,59.11,20.0372881355932
"638","DVA",2014,71.18,21.3753753753754
"639","DVA",2015,77.4,61.92
"640","DVA",2016,68.99,16.0815850815851
"641","DVN",2012,61.66,-118.576923076923
"642","DVN",2013,57.58,-959.666666666667
"643","DVN",2014,67.49,17.2608695652174
"644","DVN",2015,53,-1.67087011349306
"645","DVN",2016,35.85,-17.1531100478469
"646","EBAY",2012,17.77,8.92964824120603
"647","EBAY",2013,22.5,10.3211009174312
"648","EBAY",2014,22.48,562
"649","EBAY",2015,25.85,18.2042253521127
"650","EBAY",2016,27.07,4.26299212598425
