Companies;YearFinancialIndicator;ROA;TobinsQ;ROE;YearNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;Green Revenue;SustainabilityPayLink;SustainableThemedCommitment;AuditScore;FirmSize;Leverage;NetMargin;Industry
70;2014;0,04;0,85;0,19;2015;0,40;0,04;0,05;0,07;0,11;0,09;0;1;0;10,93;1,66;0,07;6,00
70;2015;0,03;0,73;0,13;2016;0,31;0,04;0,04;0,05;0,06;0,07;0;1;0;10,89;1,71;0,04;6,00
71;2013;0,05;;0,18;2014;0,47;0,76;0,72;0,00;0,00;0,74;0;1;1;9,84;1,29;0,04;4,00
71;2014;0,07;;0,23;2015;0,47;0,13;0,12;0,00;0,00;0,08;1;0;1;9,88;1,08;0,05;4,00
71;2015;0,06;;0,22;2016;0,46;0,10;0,13;0,00;0,00;0,08;1;0;1;10,04;0,98;0,05;4,00
72;2013;0,07;1,62;0,19;2014;0,14;0,00;0,00;0,00;0,00;0,20;1;0;0;10,42;0,60;0,12;1,00
72;2014;0,12;1,38;0,37;2015;0,26;0,00;0,00;0,00;0,00;0,16;1;0;0;10,38;0,93;0,21;1,00
72;2015;0,06;1,17;0,24;2016;0,29;0,00;0,03;0,00;0,00;0,16;1;0;0;10,38;1,48;0,10;1,00
73;2013;0,07;1,55;0,24;2014;0,65;0,59;0,84;0,60;0,91;0,04;1;1;1;10,21;1,05;0,08;2,00
73;2014;0,07;1,64;0,26;2015;0,75;0,12;0,14;0,12;0,11;0,07;1;1;1;10,21;1,63;0,08;2,00
73;2015;0,08;1,93;0,39;2016;0,76;0,13;0,13;0,11;0,12;0,07;1;1;1;10,21;2,32;0,08;2,00
74;2013;0,01;1,74;0,02;2014;0,08;0,00;0,00;0,00;0,00;0,40;0;0;0;10,31;1,66;0,03;4,00
74;2014;0,02;1,79;0,05;2015;0,15;0,00;0,00;0,00;0,00;0,15;0;0;0;10,33;1,76;0,09;4,00
74;2015;0,07;1,86;0,21;2016;0,22;0,00;0,07;0,00;0,00;0,15;0;0;0;10,34;1,71;0,40;4,00
75;2013;0,03;1,20;0,05;2014;0,24;0,05;0,05;0,48;0,07;0,20;0;1;1;10,60;0,33;0,07;1,00
75;2014;0,03;1,19;0,05;2015;0,40;0,01;0,01;0,06;0,01;0,12;1;1;1;10,60;0,30;0,08;1,00
75;2015;0,05;1,30;0,07;2016;0,34;0,00;0,02;0,00;0,00;0,12;1;1;1;10,59;0,31;0,11;1,00
76;2013;0,12;1,10;0,50;2014;0,17;0,00;0,00;0,00;0,00;0,59;0;1;0;9,96;1,07;0,17;8,00
76;2014;0,07;1,18;0,23;2015;0,15;0,00;0,00;0,00;0,00;0,10;0;1;0;9,94;0,93;0,09;8,00
76;2015;0,03;1,29;0,12;2016;0,15;0,00;0,04;0,00;0,00;0,07;0;1;0;9,93;1,04;0,05;8,00
77;2013;0,12;5,07;0,26;2014;0,57;0,74;0,76;0,75;0,00;0,91;0;0;1;10,13;0,75;0,22;5,00
77;2014;0,13;5,09;0,37;2015;0,45;0,00;0,02;0,11;0,00;0,17;1;0;1;10,24;0,96;0,26;5,00
77;2015;0,07;3,74;0,26;2016;0,62;0,14;0,02;0,15;0,00;0,17;1;0;1;10,43;2,41;0,17;5,00
78;2013;0,10;4,03;0,13;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;9,61;0,04;0,14;5,00
78;2014;0,10;;0,13;2015;0,19;0,00;0,00;0,00;0,00;0,19;0;0;0;9,64;0,03;0,13;5,00
78;2015;0,10;;0,14;2016;0,19;0,00;0,00;0,00;0,00;0,19;0;0;0;9,74;0,15;0,12;5,00
79;2013;0,15;1,34;0,28;2014;0,17;0,00;0,10;0,00;0,00;0,79;0;0;0;10,03;0,61;0,27;8,00
79;2014;0,12;1,44;0,31;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;10,05;1,09;0,29;8,00
79;2015;0,06;1,19;0,17;2016;0,10;0,00;0,03;0,00;0,00;0,08;0;0;0;10,11;1,39;0,16;8,00
80;2013;0,10;2,21;0,18;2014;0,32;0,30;0,17;0,23;0,11;1,00;0;0;0;9,63;0,28;0,12;2,00
80;2014;0,10;2,54;0,20;2015;0,27;0,05;0,00;0,07;0,03;0,12;0;0;0;9,64;0,33;0,13;2,00
80;2015;0,10;2,75;0,21;2016;0,20;0,00;0,09;0,00;0,00;0,12;0;0;0;9,63;0,34;0,12;2,00
81;2013;0,15;3,16;0,34;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;9,45;0,53;0,03;6,00
81;2014;0,15;3,40;0,45;2015;0,23;0,00;0,10;0,00;0,00;0,08;0;1;0;9,51;0,48;0,03;6,00
81;2015;0,16;2,86;0,46;2016;0,14;0,00;0,01;0,00;0,00;0,08;0;1;0;9,50;0,43;0,04;6,00
82;2013;-0,01;1,65;-1,13;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;10,24;93,91;-0,02;1,00
82;2014;-0,01;1,60;-1,23;2015;0,16;0,00;0,00;0,00;0,00;0,16;0;0;0;10,39;143,99;-0,02;1,00
82;2015;-0,01;1,42;-5,42;2016;0,18;0,00;0,02;0,00;0,00;0,16;0;0;0;10,59;-776,59;-0,03;1,00
83;2013;0,03;0,58;0,15;2014;0,31;0,00;0,86;0,00;0,00;0,90;0;0;0;10,74;0,47;0,05;5,00
83;2014;0,04;0,64;0,19;2015;0,40;0,06;0,10;0,00;0,00;0,14;1;0;0;10,75;0,46;0,06;5,00
83;2015;0,04;0,80;0,18;2016;0,50;0,07;0,10;0,10;0,00;0,14;1;0;0;10,76;0,42;0,06;5,00
84;2013;0,01;;0,08;2014;0,06;0,00;0,00;0,00;0,00;0,31;0;0;0;10,67;2,46;0,29;4,00
84;2014;0,02;;0,13;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;10,68;2,04;0,31;4,00
84;2015;0,02;;0,11;2016;0,17;0,00;0,07;0,00;0,00;0,10;0;0;0;10,83;1,69;0,27;4,00
85;2013;0,16;4,60;1,00;2014;0,48;0,34;0,38;0,35;0,37;0,33;1;1;1;10,14;4,93;0,13;2,00
85;2014;0,11;5,01;1,26;2015;0,63;0,08;0,09;0,07;0,09;0,11;1;1;1;10,13;4,93;0,09;2,00
85;2015;0,19;5,44;3,27;2016;0,62;0,09;0,07;0,07;0,08;0,11;1;1;1;10,08;2,25;0,14;2,00
86;2013;0,07;2,17;0,21;2014;0,10;0,00;0,00;0,00;0,00;0,51;0;0;0;10,08;1,19;0,22;3,00
86;2014;0,07;1,37;0,22;2015;0,01;0,00;0,00;0,00;0,00;0,01;0;0;0;10,18;1,21;0,20;3,00
86;2015;-0,02;1,06;-0,07;2016;0,03;0,00;0,02;0,00;0,00;0,01;0;0;0;10,17;1,52;-0,13;3,00
87;2013;0,13;3,17;4,80;2014;0,58;0,32;0,33;0,34;0,49;0,80;1;1;1;9,64;13,91;0,10;2,00
87;2014;0,12;3,27;3,72;2015;0,65;0,07;0,08;0,06;0,13;0,12;1;1;1;9,67;6,39;0,09;2,00
87;2015;0,16;4,33;4,26;2016;0,64;0,07;0,06;0,07;0,12;0,12;1;1;1;9,62;9,07;0,12;2,00
88;2013;0,04;1,09;0,14;2014;0,07;0,00;0,00;0,00;0,00;0,33;0;0;0;11,20;0,88;0,11;1,00
88;2014;0,05;1,15;0,16;2015;0,16;0,00;0,00;0,00;0,00;0,16;0;0;0;11,20;0,84;0,12;1,00
88;2015;0,05;1,16;0,16;2016;0,19;0,00;0,03;0,00;0,00;0,16;0;0;0;11,22;0,94;0,11;1,00
89;2013;0,02;0,50;0,05;2014;0,15;0,00;0,00;0,00;0,00;0,76;0;0;0;10,73;0,10;0,33;4,00
89;2014;0,02;0,43;0,05;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;10,86;0,10;0,36;4,00
89;2015;0,02;0,47;0,06;2016;0,17;0,00;0,07;0,00;0,00;0,10;0;0;0;10,83;0,11;0,37;4,00
90;2013;0,18;;0,23;2014;0,14;0,00;0,00;0,00;0,00;0,68;0;0;0;9,30;0,00;0,10;1,00
90;2014;0,19;;0,24;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;9,41;0,00;0,11;1,00
90;2015;0,17;;0,21;2016;0,16;0,00;0,06;0,00;0,00;0,10;0;0;0;9,44;0,00;0,11;1,00
91;2013;0,12;1,54;0,21;2014;0,56;0,24;0,45;0,53;0,57;0,46;1;1;1;10,17;0,22;0,09;6,00
91;2014;0,11;1,45;0,22;2015;0,54;0,03;0,07;0,08;0,09;0,07;1;1;1;10,20;0,21;0,09;6,00
91;2015;0,09;0,85;0,18;2016;0,55;0,04;0,06;0,07;0,10;0,08;1;1;1;10,18;0,21;0,07;6,00
92;2013;0,00;0,21;0,01;2014;0,16;0,00;0,00;0,00;0,00;0,80;0;0;0;10,54;0,76;0,01;4,00
92;2014;0,01;0,21;0,06;2015;0,16;0,00;0,00;0,00;0,00;0,16;0;0;0;10,49;0,77;0,07;4,00
92;2015;0,01;;0,04;2016;0,15;0,00;0,04;0,00;0,00;0,11;0;0;0;10,49;1,00;0,05;4,00
93;2013;0,03;0,83;0,14;2014;0,41;0,76;0,61;0,00;0,00;1,00;0;0;0;10,34;1,76;0,07;11,00
93;2014;-0,03;0,76;-0,17;2015;0,16;0,00;0,08;0,00;0,00;0,08;0;0;0;10,37;2,28;0,07;11,00
93;2015;0,02;0,73;0,10;2016;0,21;0,00;0,13;0,00;0,00;0,08;0;0;0;10,33;1,94;0,06;11,00
94;2013;0,05;1,01;0,16;2014;0,68;0,47;0,53;0,55;0,77;0,65;1;1;1;10,06;0,63;0,15;11,00
94;2014;0,01;0,95;0,03;2015;0,66;0,04;0,11;0,09;0,12;0,11;1;1;1;10,07;0,61;0,04;11,00
94;2015;-0,03;0,49;-0,08;2016;0,72;0,08;0,10;0,10;0,12;0,11;1;1;1;10,04;0,58;-0,12;11,00
95;2013;0,01;0,26;0,10;2014;0,26;0,43;0,32;0,00;0,00;0,24;1;0;0;11,47;0,95;0,18;4,00
95;2014;0,01;0,28;0,10;2015;0,31;0,02;0,04;0,00;0,00;0,10;1;0;1;11,49;1,06;0,19;4,00
95;2015;0,01;0,23;0,08;2016;0,29;0,00;0,04;0,00;0,00;0,10;1;0;1;11,52;1,23;0,17;4,00
96;2013;0,28;;0,41;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;9,55;0,47;0,20;1,00
96;2014;0,16;;0,23;2015;0,12;0,00;0,00;0,00;0,00;0,12;0;0;0;9,56;0,71;0,13;1,00
96;2015;0,08;;0,15;2016;0,15;0,00;0,03;0,00;0,00;0,12;0;0;0;9,66;0,34;0,09;1,00
97;2013;0,11;1,51;0,47;2014;0,26;0,71;0,36;0,00;0,00;0,00;1;0;0;9,85;1,49;0,13;6,00
97;2014;0,09;1,67;0,35;2015;0,27;0,00;0,04;0,00;0,00;0,13;1;0;0;9,85;1,34;0,13;6,00
97;2015;0,09;1,69;0,34;2016;0,29;0,00;0,06;0,00;0,00;0,13;1;0;0;9,87;1,30;0,12;6,00
98;2013;0,08;0,88;0,18;2014;0,45;0,18;0,36;0,67;0,29;0,15;1;1;1;11,07;0,40;0,16;3,00
98;2014;0,06;0,89;0,13;2015;0,45;0,04;0,06;0,10;0,05;0,01;1;1;1;11,07;0,43;0,12;3,00
98;2015;-0,04;0,84;-0,10;2016;0,52;0,05;0,06;0,10;0,10;0,01;1;1;1;10,99;0,59;-0,14;3,00
99;2013;0,07;1,78;0,19;2014;0,31;0,66;0,72;0,00;0,00;0,26;0;1;0;10,51;0,44;0,02;2,00
99;2014;0,06;1,86;0,18;2015;0,25;0,00;0,08;0,00;0,00;0,12;0;1;0;10,54;0,41;0,02;2,00
99;2015;0,07;2,12;0,22;2016;0,28;0,00;0,11;0,00;0,00;0,12;0;1;0;10,55;0,45;0,02;2,00
100;2013;0,04;2,19;0,31;2014;0,40;0,16;0,25;0,17;0,36;0,28;1;1;1;9,96;1,67;0,05;2,00
100;2014;0,11;2,00;0,56;2015;0,47;0,04;0,06;0,01;0,06;0,10;1;1;1;9,92;1,39;0,11;2,00
100;2015;0,08;2,27;0,44;2016;0,51;0,06;0,07;0,03;0,05;0,10;1;1;1;9,92;1,80;0,08;2,00
101;2013;-0,02;4,29;-0,05;2014;0,35;0,53;0,45;0,00;0,00;1,00;0;0;0;9,91;0,09;-0,09;7,00
101;2014;-0,03;4,53;-0,09;2015;0,39;0,07;0,04;0,00;0,00;0,19;1;0;0;9,97;0,44;-0,06;7,00
101;2015;-0,01;4,71;-0,02;2016;0,35;0,00;0,06;0,00;0,00;0,19;1;0;0;10,04;0,27;-0,05;7,00
102;2013;0,10;0,92;0,17;2014;0,57;0,50;0,61;0,60;0,82;0,21;1;0;1;11,00;0,22;0,20;7,00
102;2014;0,08;0,95;0,14;2015;0,63;0,06;0,08;0,06;0,10;0,14;1;1;1;11,02;0,35;0,16;7,00
102;2015;0,09;1,04;0,16;2016;0,64;0,05;0,10;0,06;0,08;0,14;1;1;1;11,05;0,36;0,19;7,00
103;2013;0,06;1,19;0,19;2014;0,42;0,30;0,43;0,31;0,13;0,22;1;1;1;10,50;0,86;0,16;6,00
103;2014;0,06;1,36;0,18;2015;0,55;0,06;0,07;0,04;0,00;0,18;1;1;1;10,52;0,85;0,15;6,00
103;2015;0,06;1,00;0,17;2016;0,65;0,12;0,07;0,05;0,04;0,18;1;1;1;10,54;0,92;0,17;6,00
104;2013;0,00;0,76;-0,01;2014;0,27;0,15;0,09;0,23;0,00;1,00;0;0;0;10,71;1,17;-0,01;10,00
104;2014;0,02;0,89;0,05;2015;0,41;0,02;0,00;0,02;0,00;0,16;1;1;1;10,70;1,34;0,04;10,00
104;2015;0,02;0,72;0,06;2016;0,50;0,01;0,02;0,02;0,09;0,16;1;1;1;10,68;1,33;0,05;10,00
105;2013;0,17;3,23;0,22;2014;0,45;0,55;0,30;0,14;0,37;1,00;0;1;0;9,91;0,00;0,14;7,00
105;2014;0,15;2,54;0,20;2015;0,61;0,09;0,04;0,04;0,10;0,15;1;1;1;10,07;0,12;0,14;7,00
105;2015;0,13;2,47;0,19;2016;0,62;0,10;0,04;0,05;0,06;0,17;1;1;1;10,12;0,10;0,13;7,00
106;2013;0,07;1,75;0,10;2014;0,10;0,00;0,00;0,00;0,00;0,50;0;0;0;9,72;0,00;0,12;7,00
106;2014;0,05;1,70;0,10;2015;0,19;0,00;0,00;0,00;0,00;0,19;0;0;0;9,74;0,59;0,08;7,00
106;2015;0,06;1,93;0,15;2016;0,21;0,00;0,02;0,00;0,00;0,19;0;0;0;9,74;0,67;0,10;7,00
107;2013;0,07;1,22;0,12;2014;0,60;0,88;0,89;0,79;0,00;0,59;0;1;1;10,85;0,35;0,04;2,00
107;2014;0,06;1,54;0,12;2015;0,74;0,13;0,14;0,12;0,00;0,14;1;1;1;10,87;0,34;0,03;2,00
107;2015;0,06;1,38;0,14;2016;0,73;0,12;0,14;0,13;0,00;0,14;1;1;1;10,97;0,74;0,03;2,00
108;2013;0,09;0,95;0,15;2014;0,53;0,35;0,57;0,36;0,32;0,47;1;1;1;11,40;0,13;0,09;3,00
108;2014;0,07;0,84;0,13;2015;0,50;0,06;0,09;0,09;0,06;0,01;1;1;1;11,42;0,16;0,09;3,00
108;2015;0,02;0,73;0,03;2016;0,42;0,07;0,08;0,06;0,00;0,01;1;1;1;11,43;0,22;0,03;3,00
109;2013;0,03;1,59;0,07;2014;0,18;0,00;0,00;0,00;0,00;0,87;0;0;0;9,98;0,97;0,11;3,00
109;2014;0,05;1,26;0,11;2015;0,01;0,00;0,00;0,00;0,00;0,01;0;0;0;10,07;0,67;0,20;3,00
109;2015;0,01;1,16;0,01;2016;0,03;0,00;0,02;0,00;0,00;0,01;0;0;0;10,10;0,48;0,04;3,00
110;2013;0,04;1,16;0,15;2014;0,24;0,00;0,29;0,12;0,00;0,42;1;0;0;10,70;1,66;0,13;11,00
110;2014;0,03;1,26;0,11;2015;0,38;0,11;0,04;0,01;0,00;0,12;1;0;0;10,74;1,89;0,11;11,00
110;2015;0,03;1,15;0,15;2016;0,25;0,00;0,03;0,00;0,00;0,12;1;0;0;10,77;1,86;0,16;11,00
111;2013;0,22;;2,22;2014;0,59;0,12;0,30;0,89;0,77;0,42;1;1;1;10,72;0,84;0,28;6,00
111;2014;0,01;;0,06;2015;0,58;0,04;0,06;0,08;0,09;0,10;1;1;1;10,73;0,97;0,02;6,00
111;2015;0,08;;0,45;2016;0,64;0,06;0,09;0,09;0,10;0,10;1;1;1;10,73;0,62;0,11;6,00
112;2013;0,09;;0,35;2014;0,49;0,48;0,50;0,70;0,00;0,17;1;1;1;10,71;0,67;0,14;8,00
112;2014;0,07;;0,23;2015;0,56;0,08;0,06;0,14;0,00;0,09;1;1;1;10,70;0,71;0,10;8,00
112;2015;0,04;;0,17;2016;0,34;0,00;0,05;0,00;0,00;0,09;1;1;1;10,61;0,78;0,08;8,00
113;2013;0,06;0,49;0,41;2014;0,39;0,62;0,42;0,14;0,00;0,55;0;1;1;10,77;2,50;0,09;6,00
113;2014;0,05;0,47;0,31;2015;0,35;0,00;0,09;0,00;0,00;0,07;1;1;1;10,79;3,19;0,09;6,00
113;2015;0,03;0,46;0,25;2016;0,34;0,00;0,07;0,00;0,00;0,07;1;1;1;10,76;4,21;0,07;6,00
114;2013;0,03;0,55;0,24;2014;0,12;0,00;0,00;0,00;0,00;0,60;0;0;0;10,90;2,00;0,30;4,00
114;2014;0,03;0,58;0,21;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;10,92;2,13;0,27;4,00
114;2015;0,03;0,48;0,21;2016;0,15;0,00;0,05;0,00;0,00;0,10;0;0;0;10,94;2,31;0,26;4,00
115;2013;0,10;;0,20;2014;0,17;0,00;0,00;0,00;0,00;0,84;0;0;0;10,03;0,54;0,06;1,00
115;2014;0,10;;0,20;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;10,04;0,50;0,06;1,00
115;2015;0,10;;0,21;2016;0,19;0,00;0,09;0,00;0,00;0,10;0;0;0;10,05;0,58;0,06;1,00
116;2013;0,09;1,18;0,21;2014;0,46;0,18;0,25;0,48;0,14;0,78;1;1;0;9,95;0,79;0,12;5,00
116;2014;0,06;1,32;0,13;2015;0,40;0,01;0,04;0,04;0,02;0,14;1;1;0;9,99;0,75;0,07;5,00
116;2015;0,07;1,34;0,16;2016;0,39;0,02;0,03;0,04;0,00;0,14;1;1;0;10,00;0,75;0,09;5,00
117;2013;0,08;1,15;0,13;2014;0,12;0,00;0,00;0,00;0,00;0,62;0;0;0;10,54;0,15;0,14;6,00
117;2014;0,07;1,22;0,11;2015;0,14;0,00;0,00;0,00;0,00;0,14;0;0;0;10,57;0,15;0,13;6,00
117;2015;0,08;1,22;0,14;2016;0,19;0,00;0,06;0,00;0,00;0,14;0;0;0;10,68;0,51;0,16;6,00
118;2013;0,08;1,70;0,15;2014;0,06;0,28;0,09;0,00;0,01;0,04;0;0;0;10,92;0,26;0,14;1,00
118;2014;0,09;1,97;0,17;2015;0,32;0,01;0,01;0,00;0,01;0,14;1;1;0;10,94;0,37;0,16;1,00
118;2015;0,10;2,08;0,19;2016;0,31;0,01;0,01;0,00;0,00;0,14;1;1;0;10,95;0,29;0,16;1,00
119;2013;0,07;1,31;0,17;2014;0,14;0,00;0,00;0,00;0,00;0,70;0;0;0;10,18;1,05;0,19;1,00
119;2014;0,07;1,33;0,19;2015;0,16;0,00;0,00;0,00;0,00;0,16;0;0;0;10,20;1,08;0,18;1,00
119;2015;0,07;1,12;0,19;2016;0,21;0,00;0,05;0,00;0,00;0,16;0;0;0;10,20;1,40;0,16;1,00
120;2013;0,04;;1,59;2014;0,15;0,00;0,00;0,00;0,00;0,76;0;0;0;10,31;12,91;0,06;1,00
120;2014;0,04;;0,62;2015;0,16;0,00;0,00;0,00;0,00;0,16;0;0;0;10,34;6,85;0,06;1,00
120;2015;0,03;;0,28;2016;0,20;0,00;0,04;0,00;0,00;0,16;0;0;0;10,36;4,45;0,05;1,00
121;2013;0,22;4,62;0,40;2014;0,12;0,00;0,00;0,00;0,00;0,59;0;0;0;9,46;1,05;0,08;1,00
121;2014;0,20;3,65;0,44;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;9,53;0,48;0,07;1,00
121;2015;0,02;1,27;0,09;2016;0,19;0,00;0,09;0,00;0,00;0,10;0;0;0;10,22;1,99;0,02;1,00
122;2013;0,10;1,62;0,20;2014;0,30;0,54;0,29;0,00;0,00;0,65;0;1;0;10,03;0,48;0,11;6,00
122;2014;0,09;1,46;0,20;2015;0,28;0,08;0,06;0,00;0,00;0,10;0;1;0;9,96;0,61;0,10;6,00
122;2015;0,10;1,29;0,24;2016;0,20;0,00;0,06;0,00;0,00;0,10;0;1;0;9,94;0,72;0,13;6,00
123;2013;0,07;;0,22;2014;0,39;0,25;0,38;0,11;0,37;0,12;1;1;1;10,84;0,73;0,08;8,00
123;2014;0,05;;0,16;2015;0,50;0,06;0,05;0,06;0,03;0,10;1;1;1;10,84;1,02;0,06;8,00
123;2015;0,11;;0,37;2016;0,50;0,06;0,05;0,09;0,03;0,07;1;1;1;10,83;0,76;0,15;8,00
124;2013;0,07;1,17;0,27;2014;0,46;0,28;0,39;0,27;0,47;0,73;0;1;1;9,91;1,10;0,10;2,00
124;2014;0,09;1,97;0,31;2015;0,58;0,13;0,08;0,09;0,00;0,07;1;1;1;9,92;1,13;0,11;2,00
124;2015;0,09;2,27;0,34;2016;0,34;0,00;0,07;0,00;0,00;0,07;1;1;1;9,95;1,32;0,12;2,00
125;2013;0,03;0,75;0,09;2014;0,33;0,60;0,26;0,60;0,12;0,24;0;1;0;10,41;0,91;0,07;11,00
125;2014;0,03;0,83;0,11;2015;0,57;0,08;0,03;0,12;0,03;0,11;1;1;1;10,45;1,00;0,07;11,00
125;2015;0,03;0,81;0,08;2016;0,67;0,12;0,04;0,14;0,05;0,11;1;1;1;10,46;1,01;0,07;11,00
126;2013;0,02;0,74;0,07;2014;0,39;0,03;0,12;0,60;0,79;0,07;1;0;1;11,06;0,92;0,11;11,00
126;2014;0,02;0,79;0,05;2015;0,53;0,05;0,02;0,09;0,11;0,06;1;1;1;11,08;0,91;0,08;11,00
126;2015;0,02;0,73;0,07;2016;0,51;0,02;0,02;0,06;0,09;0,12;1;1;1;11,08;0,94;0,12;11,00
127;2013;0,04;1,21;0,15;2014;0,28;0,29;0,11;0,24;0,03;0,40;1;0;0;10,23;1,84;0,05;5,00
127;2014;0,04;1,31;0,15;2015;0,29;0,06;0,04;0,00;0,00;0,14;0;1;0;10,25;1,62;0,06;5,00
127;2015;0,01;1,16;0,05;2016;0,23;0,00;0,04;0,00;0,00;0,14;0;1;0;10,27;1,85;0,02;5,00
128;2013;0,00;0,74;0,00;2014;0,34;0,58;0,12;0,39;0,00;0,37;0;1;1;10,63;0,39;0,00;3,00
128;2014;0,03;0,68;0,07;2015;0,29;0,00;0,02;0,06;0,00;0,01;1;1;1;10,70;0,46;0,08;3,00
128;2015;-0,39;0,84;-1,01;2016;0,38;0,00;0,08;0,08;0,00;0,02;1;1;1;10,47;1,72;0,08;3,00
129;2013;0,07;0,56;0,13;2014;0,20;0,30;0,45;0,00;0,00;0,19;0;0;1;10,62;0,17;0,18;7,00
129;2014;0,00;0,59;0,00;2015;0,40;0,10;0,11;0,00;0,00;0,14;0;0;1;10,65;0,34;0,00;7,00
129;2015;0,05;1,90;0,13;2016;0,54;0,13;0,08;0,15;0,00;0,13;0;0;1;10,25;1,03;0,20;7,00
130;2013;0,05;1,85;0,14;2014;0,83;0,73;0,80;0,84;0,60;0,90;1;1;1;10,29;0,82;0,07;8,00
130;2014;0,06;1,84;0,16;2015;0,78;0,13;0,14;0,14;0,06;0,10;1;1;1;10,29;0,66;0,08;8,00
130;2015;0,05;2,06;0,15;2016;0,78;0,13;0,14;0,14;0,08;0,10;1;1;1;10,27;0,62;0,07;8,00
131;2013;0,08;2,11;0,16;2014;0,15;0,00;0,00;0,00;0,00;0,74;0;0;0;9,66;0,50;0,15;6,00
131;2014;0,08;2,37;0,16;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;9,67;0,52;0,15;6,00
131;2015;0,09;3,20;0,19;2016;0,15;0,00;0,03;0,00;0,00;0,11;0;0;0;9,65;0,50;0,16;6,00
132;2013;0,02;0,61;0,09;2014;0,08;0,00;0,00;0,00;0,00;0,38;0;0;0;10,67;0,99;0,07;11,00
132;2014;0,03;0,67;0,15;2015;0,12;0,00;0,00;0,00;0,00;0,12;0;0;0;10,70;0,93;0,12;11,00
132;2015;0,02;0,65;0,09;2016;0,24;0,00;0,12;0,00;0,00;0,12;0;0;0;10,70;0,96;0,09;11,00
133;2013;0,07;;0,13;2014;0,66;0,45;0,57;0,82;0,15;0,84;1;1;1;10,66;0,25;0,12;7,00
133;2014;0,06;;0,12;2015;0,56;0,06;0,07;0,10;0,00;0,13;1;1;1;10,66;0,25;0,11;7,00
133;2015;0,04;;0,10;2016;0,69;0,06;0,07;0,09;0,13;0,14;1;1;1;10,67;0,26;0,08;7,00
134;2013;0,10;1,28;0,34;2014;0,29;0,00;0,19;0,00;0,00;0,53;1;1;0;10,07;1,12;0,12;8,00
134;2014;0,06;1,08;0,20;2015;0,30;0,04;0,03;0,00;0,00;0,09;1;1;0;10,21;2,07;0,08;8,00
134;2015;0,05;1,01;0,23;2016;0,29;0,03;0,03;0,00;0,00;0,09;1;1;0;10,19;1,73;0,09;8,00
135;2013;0,08;2,09;0,19;2014;0,07;0,00;0,00;0,00;0,00;0,34;0;0;0;10,38;0,36;0,08;6,00
135;2014;0,09;1,86;0,22;2015;0,22;0,00;0,04;0,00;0,00;0,13;0;1;0;10,38;0,35;0,09;6,00
135;2015;0,11;1,55;0,31;2016;0,29;0,00;0,05;0,07;0,00;0,13;0;1;0;10,33;0,54;0,12;6,00
136;2013;0,07;1,65;0,15;2014;0,11;0,00;0,00;0,00;0,00;0,56;0;0;0;10,49;0,38;0,15;3,00
136;2014;0,09;1,56;0,17;2015;0,05;0,00;0,04;0,00;0,00;0,01;0;0;0;10,54;0,33;0,16;3,00
136;2015;-0,15;1,67;-0,30;2016;0,06;0,00;0,05;0,00;0,00;0,01;0;0;0;10,43;0,51;-0,52;3,00
137;2013;0,07;1,98;0,18;2014;0,13;0,00;0,00;0,00;0,00;0,63;0;0;0;10,60;1,07;0,05;3,00
137;2014;0,06;1,94;0,17;2015;0,05;0,00;0,00;0,00;0,00;0,05;0;0;0;10,67;1,06;0,06;3,00
137;2015;0,05;1,54;0,13;2016;0,05;0,00;0,00;0,00;0,00;0,05;0;0;0;10,69;1,03;0,09;3,00
138;2013;0,01;1,55;0,04;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;9,87;1,70;0,04;7,00
138;2014;-0,03;1,97;-0,10;2015;0,15;0,00;0,00;0,00;0,00;0,15;0;0;0;9,89;2,06;-0,11;7,00
138;2015;0,02;2,07;0,09;2016;0,25;0,00;0,10;0,00;0,00;0,15;0;0;0;10,02;2,03;0,07;7,00
139;2013;0,08;1,08;0,18;2014;0,10;0,00;0,00;0,00;0,00;0,48;0;0;0;10,36;1,03;0,76;4,00
139;2014;0,03;1,62;0,06;2015;0,14;0,00;0,00;0,00;0,00;0,14;0;0;0;10,36;1,05;0,24;4,00
139;2015;0,04;1,78;0,08;2016;0,16;0,00;0,02;0,00;0,00;0,14;0;0;0;10,36;1,05;0,31;4,00
140;2013;0,05;1,59;0,10;2014;0,25;0,03;0,00;0,30;0,00;0,75;0;1;0;9,99;0,62;0,21;3,00
