Companies;YearFinancialIndicator;ROA;TobinsQ;YearNewsWeekGR;RankNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;Green Revenue; SustainabilityPayLink ; SustainableThemedCommitment ; AuditScore ;FirmSize;Leverage;NetMargin;Industry
47;2014;0,06;;2016;378,00;0,19;0,00;0,07;0,00;0,00;0,12;0,00;0,00;0,00;9,71;0,78;0,09;5
48;2012;0,14;1,33;2014;335,00;0,17;0,10;0,14;0,06;0,31;0,38;0,00;0,00;0,00;10,07;0,84;0,20;5
48;2013;0,08;1,77;2015;209,00;0,38;0,02;0,04;0,03;0,01;0,14;0,10;0,05;0,00;10,08;0,74;0,11;5
48;2014;0,08;1,45;2016;158,00;0,42;0,03;0,04;0,03;0,03;0,14;0,10;0,05;0,00;10,27;1,96;0,14;5
49;2012;0,14;1,39;2014;211,00;0,33;0,65;0,48;0,00;0,00;0,78;0,00;0,00;0,00;10,16;0,31;0,27;4
49;2013;0,15;1,83;2015;287,00;0,28;0,00;0,08;0,00;0,00;0,10;0,10;0,00;0,00;10,20;0,23;0,27;4
49;2014;0,14;1,57;2016;264,00;0,29;0,00;0,09;0,00;0,00;0,10;0,10;0,00;0,00;10,21;0,19;0,28;4
50;2012;0,15;3,16;2014;42,00;0,58;0,31;0,60;0,44;0,00;0,91;0,10;0,05;0,05;9,58;0,22;0,15;2
50;2013;0,16;3,83;2015;69,00;0,58;0,06;0,09;0,13;0,00;0,10;0,10;0,05;0,05;9,59;0,54;0,16;2
50;2014;0,16;4,43;2016;52,00;0,62;0,09;0,10;0,14;0,00;0,10;0,10;0,05;0,05;9,63;0,48;0,17;2
51;2012;0,00;0,34;2014;268,00;0,26;0,21;0,36;0,41;0,47;0,22;0,00;0,00;0,00;10,45;0,35;0,00;2
51;2013;0,01;0,40;2015;213,00;0,38;0,05;0,07;0,05;0,06;0,10;0,00;0,05;0,00;10,43;0,92;0,00;2
51;2014;0,02;0,58;2016;197,00;0,37;0,03;0,07;0,07;0,05;0,10;0,00;0,05;0,00;10,33;0,37;0,01;2
52;2012;0,05;;2014;11,00;0,71;0,75;0,75;0,61;0,14;0,85;0,10;0,05;0,05;10,43;0,22;0,06;3
52;2013;0,04;;2015;200,00;0,39;0,07;0,10;0,00;0,00;0,02;0,10;0,05;0,05;10,45;0,22;0,05;3
52;2014;0,06;;2016;118,00;0,49;0,10;0,09;0,06;0,02;0,03;0,10;0,05;0,05;10,46;0,21;0,07;3
53;2012;0,15;3,06;2014;7,00;0,76;0,69;0,83;0,85;0,97;0,53;0,10;0,00;0,05;10,01;0,10;0,25;5
53;2013;0,17;5,06;2015;1,00;0,89;0,14;0,14;0,13;0,11;0,17;0,10;0,05;0,05;10,07;0,13;0,27;5
53;2014;0,22;5,00;2016;5,00;0,79;0,13;0,14;0,11;0,14;0,17;0,00;0,05;0,05;10,16;0,05;0,30;5
54;2012;0,01;0,18;2014;67,00;0,53;0,15;0,26;0,41;0,40;0,72;0,10;0,05;0,05;11,56;0,56;0,17;4
54;2013;0,01;0,17;2015;161,00;0,44;0,01;0,02;0,05;0,06;0,10;0,10;0,05;0,05;11,57;0,57;0,14;4
54;2014;0,01;0,07;2016;152,00;0,42;0,02;0,02;0,05;0,03;0,10;0,10;0,05;0,05;11,59;0,59;0,16;4
55;2012;0,33;;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,79;0,00;0,14;3
55;2013;0,28;;2015;488,00;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;8,74;0,00;0,14;3
55;2014;0,27;;2016;490,00;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;8,79;0,00;0,13;3
56;2012;0,01;0,19;2014;170,00;0,38;0,75;0,71;0,00;0,00;0,29;0,10;0,00;0,00;11,30;0,22;0,26;4
56;2013;0,01;0,26;2015;274,00;0,29;0,00;0,09;0,00;0,00;0,10;0,10;0,00;0,00;11,34;0,19;0,29;4
56;2014;0,01;0,26;2016;142,00;0,44;0,11;0,09;0,00;0,00;0,10;0,10;0,00;0,05;11,38;0,18;0,30;4
57;2012;0,06;1,22;2014;3,00;0,84;0,70;0,75;0,76;0,83;0,89;0,10;0,05;0,05;9,88;2,77;0,05;8
57;2013;0,06;1,28;2015;70,00;0,58;0,07;0,05;0,08;0,09;0,09;0,10;0,05;0,05;9,89;2,65;0,05;8
57;2014;0,06;1,59;2016;24,00;0,69;0,09;0,08;0,11;0,13;0,09;0,10;0,05;0,05;9,88;2,90;0,05;8
