"";"Companies";"YearFinancialIndicator";"Industry";"Asset";"DebtRatio";"NetMargin";"ROA";"ROE";"TobinsQ";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"GreenReputation";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore"
"134";45;2014;4;1,86814e+11;1,07;0,22;0,01;0,09;0,33;0;0;0;0;0,1;0;0;0
"135";45;2015;4;2,09947e+11;0,96;0,2;0,01;0,08;0,3;0;0,03;0;0;0,1;0;0;0
"136";46;2013;1;1,5068e+10;0,43;-0,02;-0,02;-0,11;0,8;0,68;0,6;0;0,72;0,49;0;0,05;0,05
"137";46;2014;1;1,5762e+10;0,35;0,02;0,07;0,23;0,54;0,13;0,07;0,08;0,08;0,1;0,1;0,05;0,05
"138";46;2015;1;1,5175e+10;0,27;0,02;0,06;0,2;0,7;0,13;0,11;0,09;0,06;0,1;0,1;0,05;0,05
"139";47;2015;5;4942900000;0,79;0,04;0,03;0,08;NA;0;0,07;0;0;0,12;0;0;0
"140";47;2014;5;5092600000;0,78;0,09;0,06;0,16;NA;0;0;0;0;0,12;0;0;0
"141";47;2013;5;5041100000;0,67;0,22;0,16;0,38;NA;0;0;0;0;0,29;0;0;0
"142";48;2014;5;1,8503e+10;1,96;0,14;0,08;0,22;1,45;0,02;0,04;0,03;0,01;0,14;0,1;0,05;0
"143";48;2015;5;2,6046e+10;1,5;0,06;0,03;0,1;1,63;0,03;0,04;0,03;0,03;0,14;0,1;0,05;0
"144";48;2013;5;1,2035e+10;0,74;0,11;0,08;0,19;1,77;0,1;0,14;0,06;0,31;0,38;0;0;0
"145";49;2013;4;15909300000;0,23;0,27;0,15;0,22;1,83;0,65;0,48;0;0;0,78;0;0;0
"146";49;2014;4;16296800000;0,19;0,28;0,14;0,21;1,57;0;0,08;0;0;0,1;0,1;0;0
"147";49;2015;4;16155500000;0,18;0,25;0,12;0,16;0,78;0;0,09;0;0;0,1;0,1;0;0
"148";50;2015;2;4,319e+09;0,88;0,17;0,16;0,39;5,35;0,09;0,1;0,14;0;0,1;0,1;0,05;0,05
"149";50;2013;2;3,882e+09;0,54;0,16;0,16;0,37;3,83;0,31;0,6;0,44;0;0,91;0,1;0,05;0,05
"150";50;2014;2;4,243e+09;0,48;0,17;0,16;0,33;4,43;0,06;0,09;0,13;0;0,1;0,1;0,05;0,05
"151";51;2013;2;2,678e+10;0,92;0;0,01;0,02;0,4;0,21;0,36;0,41;0,47;0,22;0;0;0
"152";51;2015;2;1,791e+10;0,51;0,02;0,04;0,11;0,55;0,03;0,07;0,07;0,05;0,1;0;0,05;0
"153";51;2014;2;2,143e+10;0,37;0,01;0,02;0,06;0,58;0,05;0,07;0,05;0,06;0,1;0;0,05;0
"154";52;2015;3;2,408e+10;0,24;-0,02;-0,08;-0,11;NA;0,1;0,09;0,06;0,02;0,03;0,1;0,05;0,05
"155";52;2013;3;2,7934e+10;0,22;0,05;0,04;0,06;NA;0,75;0,75;0,61;0,14;0,85;0,1;0,05;0,05
"156";52;2014;3;2,8827e+10;0,21;0,07;0,06;0,09;NA;0,07;0,1;0;0;0,02;0,1;0,05;0,05
"157";53;2015;5;19504800000;0,7;0,33;0,2;0,32;3,29;0,13;0,14;0,11;0,14;0,17;0;0,05;0,05
"158";53;2013;5;11863335000;0,13;0,27;0,17;0,23;5,06;0,69;0,83;0,85;0,97;0,53;0,1;0;0,05
"159";53;2014;5;14316559000;0,05;0,3;0,22;0,29;5;0,14;0,14;0,13;0,11;0,17;0,1;0,05;0,05
"160";54;2015;4;3,9378e+11;0,62;0,2;0,01;0,09;-0,1;0,02;0,02;0,05;0,03;0,1;0,1;0,05;0,05
"161";54;2014;4;3,85303e+11;0,59;0,16;0,01;0,07;-0,07;0,01;0,02;0,05;0,06;0,1;0,1;0,05;0,05
"162";54;2013;4;3,7431e+11;0,57;0,14;0,01;0,06;-0,17;0,15;0,26;0,41;0,4;0,72;0,1;0,05;0,05
"163";55;2013;3;545783000;0;0,14;0,28;0,4;NA;0;0;0;0;0;0;0;0
"164";55;2014;3;617653000;0;0,13;0,27;0,4;NA;0;0;0;0;0,05;0;0;0
"165";55;2015;3;589893000;0;0,14;0,28;0,39;NA;0;0;0;0;0,05;0;0;0
"166";56;2013;4;2,19873e+11;0,19;0,29;0,01;0,11;0,26;0,75;0,71;0;0;0,29;0,1;0;0
"167";56;2014;4;2,39808e+11;0,18;0,3;0,01;0,12;0,26;0;0,09;0;0;0,1;0,1;0;0
"168";56;2015;4;2,25261e+11;0,17;0,29;0,01;0,12;0,25;0,11;0,09;0;0;0,1;0,1;0;0,05
"169";57;2015;8;9,777e+09;4,04;0,04;0,04;0,26;1,57;0,09;0,08;0,11;0,13;0,09;0,1;0,05;0,05
"170";57;2014;8;7,571e+09;2,9;0,05;0,06;0,41;1,59;0,07;0,05;0,08;0,09;0,09;0,1;0,05;0,05
"171";57;2013;8;7819800000;2,65;0,05;0,06;0,37;1,28;0,7;0,75;0,76;0,83;0,89;0,1;0,05;0,05
"172";58;2013;5;2,244e+09;0,49;-0,32;-0,09;-0,15;4,36;0;0;0;0;0;0;0;0
"173";58;2014;5;2,475e+09;0,43;-0,18;-0,06;-0,09;5,24;0;0;0;0;0,17;0;0;0,05
"174";58;2015;5;3,729e+09;0,28;-0,19;-0,06;-0,09;4,54;0;0,02;0;0;0,17;0;0;0,05
"175";59;2013;5;3,8592e+10;0,63;0,16;0,07;0,18;2,3;0,18;0,34;0,49;0,28;0,46;0,1;0,05;0,05
"176";59;2014;5;3,3749e+10;0,49;0,13;0,06;0,13;2,92;0,02;0,06;0,08;0,06;0,14;0,1;0,05;0,05
"177";59;2015;5;3,1748e+10;0,46;0,09;0,05;0,1;3,73;0,02;0,07;0,09;0,08;0,14;0,1;0,05;0,05
"178";60;2013;4;4,84931e+11;0,02;0,11;0,04;0,09;0,69;0;0;0;0;0,1;0;0;0
"179";60;2014;4;5,26186e+11;0,01;0,1;0,04;0,08;0,75;0;0;0;0;0,12;0;0;0
"180";60;2015;4;5,52257e+11;0,01;0,11;0,04;0,1;0,63;0;0,06;0;0;0,12;0;0;0
"181";61;2015;5;1,8133e+10;0,9;-0,03;-0,01;-0,04;1,63;0,08;0,07;0,09;0,12;0,15;0,1;0,05;0,05
"182";61;2013;5;1,6571e+10;0,65;-0,02;-0,01;-0,02;1,14;0;0,27;0,44;0,49;0,31;0;0,05;0
"183";61;2014;5;1,7042e+10;0,6;-0,02;-0,01;-0,02;1,21;0,06;0,07;0,09;0,1;0,15;0,1;0,05;0,05
"184";62;2015;1;8841500000;0,6;0,08;0,08;0,17;1,23;0;0,09;0;0;0,07;0;0;0
"185";62;2013;1;6,917e+09;0,29;0,08;0,09;0,19;1,82;0;0;0;0;0;0;0;0
"186";62;2014;1;7,228e+09;0,2;0,08;0,09;0,18;1,71;0;0;0;0;0,07;0;0;0
"187";63;2013;4;2,968e+10;1,05;0,18;0,04;0,13;0,84;0;0;0;0;0,6;0;0;0
"188";63;2014;4;3,15e+10;0,78;0,21;0,05;0,15;0,79;0;0;0;0;0,1;0;0;0
"189";63;2015;4;2,253e+10;0,63;0,15;0,03;0,07;1,17;0;0;0;0;0,1;0;0;0
"190";64;2013;4;20162251000;2,05;0,35;0,04;0,14;1,23;0;0;0;0;0;0;0;0
"191";64;2014;4;19886767000;1,83;0,18;0,02;0,08;1,41;0;0;0;0;0,14;0;0;0
"192";64;2015;4;18379456000;1,64;0,23;0,03;0,1;1,49;0;0,08;0;0;0,14;0;0;0
"193";65;2013;4;1,880382e+12;1,11;0,17;0,01;0,07;0,15;0,23;0,26;0,14;0,1;0,04;0,1;0,05;0,05
"194";65;2014;4;1,84253e+12;1,11;0,09;0;0,03;0,17;0,05;0,04;0,03;0,01;0,1;0,1;0,05;0,05
"195";65;2015;4;1,73121e+12;0,98;0,22;0,01;0,08;0,16;0,05;0,06;0,03;0,02;0,1;0,1;0,05;0,05
"196";66;2015;7;1,0857e+10;0,37;0,19;0,07;0,14;1,2;0,06;0,03;0,09;0,07;0,19;0,1;0;0,05
"197";66;2013;7;1,1777e+10;0,22;0,23;0,09;0,19;1,32;0,34;0,49;0,58;0,34;0,74;0,1;0,05;0,05
"198";66;2014;7;1,0915e+10;0,22;0,19;0,07;0,14;1,25;0,05;0,03;0,08;0,13;0,19;0,1;0;0,05
"199";67;2015;2;15994600000;1,86;-0,02;-0,1;-0,44;1,27;0,02;0,04;0,02;0;0,1;0,1;0,05;0,05
"200";67;2013;2;20786400000;1,6;0,04;0,03;0,13;0,89;0,16;0,24;0,22;0,39;0,24;0,1;0,05;0,05
"201";67;2014;2;19501700000;1,38;0,02;0,02;0,07;0,98;0,02;0,04;0,02;0;0,1;0,1;0,05;0,05
"202";68;2015;5;3,3507e+10;0,77;0,01;0,04;0,21;0,94;0,05;0,07;0,06;0,1;0,14;0,1;0;0,05
"203";68;2014;5;2,7248e+10;0,61;0,01;0,04;0,17;1;0,1;0,06;0;0,1;0,14;0,1;0;0,05
"204";68;2013;5;2,5009e+10;0,56;0;0,01;0,06;0,91;0,76;0,7;0,82;0,65;0,61;0,1;0;0,05
"205";69;2014;3;1,2892e+10;0,62;0,08;0,06;0,17;NA;0;0;0;0;0,02;0;0;0
"206";69;2015;3;1,15e+10;0,56;0,06;0,04;0,11;NA;0;0,07;0;0;0,02;0;0;0
"207";69;2013;3;14248500000;0,44;0,07;0,05;0,11;NA;0;0;0;0;0,76;0;0;0
"208";70;2015;6;7,8497e+10;1,71;0,04;0,03;0,13;0,73;0,04;0,04;0,05;0,06;0,07;0;0,05;0
"209";70;2014;6;8,4681e+10;1,66;0,07;0,04;0,19;0,85;0,04;0,05;0,07;0,11;0,09;0;0,05;0
"210";70;2013;6;8,4896e+10;1,29;0,07;0,04;0,2;0,87;0,37;0,35;0,44;0,7;0,14;0;0,05;0
"211";71;2013;4;6998414000;1,29;0,04;0,05;0,18;NA;0,76;0,72;0;0;0,74;0;0,05;0,05
"212";71;2014;4;7647105000;1,08;0,05;0,07;0,23;NA;0,13;0,12;0;0;0,08;0,1;0;0,05
"213";71;2015;4;11017943000;0,98;0,05;0,06;0,22;NA;0,1;0,13;0;0;0,08;0,1;0;0,05
"214";72;2015;1;2,3765e+10;1,48;0,1;0,06;0,24;1,17;0;0,03;0;0;0,16;0,1;0;0
"215";72;2014;1;2,4072e+10;0,93;0,21;0,12;0,37;1,38;0;0;0;0;0,16;0,1;0;0
"216";72;2013;1;2,6387e+10;0,6;0,12;0,07;0,19;1,62;0;0;0;0;0,2;0,1;0;0
