"","Ticker","Year","X.x","Companies.x","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio","Companies.y","TobinsQ","X.y","Date","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","Companies","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","X"
"1826","KIM",2012,3442,205,"Financials",4,"KIM_quarterly_financial_data.xls","kimco realty","kimco realty corporation","kimco realty corp",407883635,407883635,1,9740807000,"None",4727251000,"None",4765160000,248396000,102000,0,4195317000,"234749000","88381000","59231000","0.14","0.14",0.21,"71464000","79050000","-438168000","-287654000",141875000,-41681000,"19.53","20.95","18.11","0.0346","0.0268",11.68,"1.57","54.25",17.01,"1.8401","0.8804","0.4892","0.1872","0.09","0.28","None",205,1.2,11394,"2012-12-01",0.0139772122236354,1e-04,0.0119,0.0138772122236354,0.0118,1.26583831352513,-0.00105967987596115,0.0150368920995966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1827","KIM",2013,3435,205,"Financials",4,"KIM_quarterly_financial_data.xls","kimco realty","kimco realty corporation","kimco realty corp",409772726,409772726,1,9663630000,"None",4807951000,"None",4632417000,223262000,102000,0,4221401000,"217870000","61609000","47034000","0.11","0.11",0.22,"36194000","1949000","-291105000","-252962000",148768000,62822000,"20.52","21.83","19.22","0.0378","0.0238",11.3,"1.79","44.61",17.86,"1.9555","0.9113","0.4794","0.188","0.1","-0.06","None",205,1.24,11402,"2013-12-01",-0.0318679026244492,0,0.0281,-0.0318679026244492,0.0281,1.63997794543159,-0.0779512828910768,0.0460833802666276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1828","KIM",2014,3432,205,"Financials",4,"KIM_quarterly_financial_data.xls","kimco realty","kimco realty corporation","kimco realty corp",412577958,412577958,1,10285728000,"None",5292483000,"None",4774785000,218460000,102000,0,4620298000,"243761000","52781000","38207000","0.09","0.1",0.24,"119338000","198798000","-285004000","33132000",187322000,-208260000,"23.8","26.04","21.56","0.0781","0.0418",11.57,"2.08","26.44",18.78,"1.0406","0.9677","0.4642","0.368","0.1","0.79","None",205,1.41,11413,"2014-12-01",-0.00294593017253772,0,-6e-04,-0.00294593017253772,-6e-04,0.837788992793551,-0.00244325677686159,-0.000502673395676131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1829","KIM",2015,3443,205,"Financials",4,"KIM_quarterly_financial_data.xls","kimco realty","kimco realty corporation","kimco realty corp",413710579,413710579,1,11344171000,"None",6075511000,"None",5046300000,222360000,32000,0,5376310000,"300870000","379201000","360020000","0.87","0.86",0.26,"-23583000","541490000","-509286000","8621000",189534000,145965000,"25.66","27.33","23.98","0.1666","0.0778",12.2,"2.15","20.69",19.76,"0.4872","1.0654","0.4448","0.7124","0.1","-0.41","None",205,1.41,11422,"2015-12-01",0.0235820028871918,1e-04,-0.0216,0.0234820028871918,-0.0217,0.305327683030046,0.0301076136089438,-0.00652561072175201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1830","KIM",2016,3440,205,"Financials",4,"KIM_quarterly_financial_data.xls","kimco realty","kimco realty corporation","kimco realty corp",425629020,425629020,1,11230600000,"None",5740773000,"None",5256139000,233688000,32000,0,5066368000,"297026000","78273000","66718000","0.15","0.15",0.27,"147570000","-82860000","-92769000","-28059000",142486000,51872000,"26.79","29.23","24.35","0.0632","0.0336",12.35,"2.15","17.86",20.81,"1.3278","0.9639","0.468","0.2841","0.1","0.22","None",205,1.38,11433,"2016-12-01",-0.00400365200006071,3e-04,0.0185,-0.00430365200006071,0.0182,0.319771889090785,-0.010123500381513,0.00611984838145229,205,2014,214,0.32,0.43,0.32,0.04,0.08,0.48,1,0,0,NA
"1831","KIM",2017,3446,205,"Financials",4,"KIM_quarterly_financial_data.xls","kimco realty","kimco realty corporation","kimco realty corp",425455523,425455523,1,11763726000,"None",6225436000,"None",5394244000,144046000,41000,0,5478927000,"315225000","84896000","73465000","0.17","0.17",0.28,"120365000","-16008000","-22432000","81925000",238513000,-115041000,"18.77","19.79","17.76","0.0708","0.0368",12.68,"1.53","22.08",21.9,"1.2455","1.0157","0.4585","0.3102","0.1","0.55","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,2015,138,0.49,0.12,0.08,0.01,0,0.13,1,0,1,NA
"1832","KIM",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,2016,117,0.5,0.1,0.09,0.02,0.01,0.13,1,0,1,NA
"1833","KLAC",2012,3467,206,"Information Technology",7,"KLAC_quarterly_financial_data.xls","kla-tencor","kla-tencor corporation","kla-tencor corp",166144760,166144760,1,5068763000,"4136300000",1707627000,"781737000",3361136000,0,0,370293000,747104000,"673011000","106630000","106630000","0.64","0.63",0.4,"77443000","97719000","-114602000","57371000",767313000,15253000,"46.44","48.9","43.97","0.2109","0.1379",20.23,"2.31","11.33",6.08,"0.3595","0.2223","0.6631","0.2223","0.62","0.37","5.2912",206,1.06,11446,"2012-12-01",0.049135689068652,1e-04,0.0119,0.049035689068652,0.0118,1.33933535338426,0.0332315318987177,0.0159041571699343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1834","KLAC",2013,3452,206,"Information Technology",7,"KLAC_quarterly_financial_data.xls","kla-tencor","kla-tencor corporation","kla-tencor corp",166577223,166577223,1,5440734000,"4507534000",1890527000,"927999000",3550207000,0,0,352676000,747647000,"705129000","139246000","139246000","0.84","0.83",0.45,"115271000","-126120000","-97586000","-111567000",793382000,14465000,"62.83","66.19","59.46","0.1579","0.104",21.31,"3","20.47",7.78,"0.5123","0.2106","0.6525","0.1961","0.53","0.61","4.8573",206,1.45,11461,"2013-12-01",0.00919489623672337,0,0.0281,0.00919489623672337,0.0281,1.49810116132873,-0.032901746396614,0.0420966426333374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1835","KLAC",2014,3455,206,"Information Technology",7,"KLAC_quarterly_financial_data.xls","kla-tencor","kla-tencor corporation","kla-tencor corp",162664930,162664930,1,4987366000,"4046248000",4385227000,"942340000",602139000,0,0,354824000,3208571000,"676357000","20268000","20268000","0.12","0.12",17,"11084000","475767000","-566062000","-84818000",584865000,12783000,"74.9","84.18","65.61","0.1485","0.0797",3.7,"3.49","23.12",26.18,"7.0539","5.3286","0.1207","0.1472","0.54","-0.01","4.2938",206,2.34,11473,"2014-12-01",0.0125931203652309,0,-6e-04,0.0125931203652309,-6e-04,1.46204412631204,0.0134703468410182,-0.000877226475787227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1836","KLAC",2015,3459,206,"Information Technology",7,"KLAC_quarterly_financial_data.xls","kla-tencor","kla-tencor corporation","kla-tencor corp",155664640,155664640,1,4572516000,"3684705000",4206891000,"858330000",365625000,0,0,342139000,3131676000,"710245000","152207000","152207000","0.98","0.98",0.52,"100324000","141168000","-117704000","122894000",886591000,7938000,"59.5","70.28","48.73","None","0.1125",2.35,"31.48","23.9",28.22,"0.6043","8.5653","0.08","0.1864","0.6","0.59","4.2929",206,2.44,11489,"2015-12-01",0.0424150491266777,1e-04,-0.0216,0.0423150491266777,-0.0217,2.07058279898011,0.087246695864546,-0.0448316467378683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1837","KLAC",2016,3469,206,"Information Technology",7,"KLAC_quarterly_financial_data.xls","kla-tencor","kla-tencor corporation","kla-tencor corp",156729320,156729320,1,5094456000,"4031639000",4129360000,"1187736000",965096000,0,0,337721000,2729239000,"876885000","238251000","238251000","1.52","1.52",0.54,"222413000","-140333000","-100914000","-29292000",937033000,8629000,"76.49","83.23","69.75","None","0.1742",6.16,"15.3","15.42",30.32,"0.3798","2.8279","0.1894","0.265","0.66","1.36","3.3944",206,2.39,11499,"2016-12-01",-0.0146355644617526,3e-04,0.0185,-0.0149355644617526,0.0182,0.69739236594703,-0.0276281055219885,0.0129925410602359,206,2014,152,0.4,0.66,0.67,0,0,1,0,0,0,NA
"1838","KLAC",2017,3472,206,"Information Technology",7,"KLAC_quarterly_financial_data.xls","kla-tencor","kla-tencor corporation","kla-tencor corp",156620125,156620125,1,5407268000,"4353993000",4181643000,"1166548000",1225625000,0,0,366586000,2486426000,"975822000","-134319000","-134319000","-0.86","-0.86",0.59,"129371000","25955000","-406297000","-247303000",1073394000,13369000,"106.67","114.43","98.91","0.5085","0.1196",7.83,"11.42","16.34",32.58,"0.5397","2.0287","0.2267","0.1728","0.69","0.74","3.7324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,2015,295,0.26,0,0.13,0,0,0.13,0,0,0,NA
"1839","KLAC",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,2016,321,0.23,0,0.1,0,0,0.13,0,0,0,NA
"1840","KMB",2012,3494,207,"Consumer Staples",2,"KMB_quarterly_financial_data.xls","kimberly-clark","kimberly-clark corporation","kimberly-clark corp",387621860,387621860,1,1.9873e+10,"6.589e+09",1.4586e+10,"6.091e+09",4.985e+09,3.02e+08,0,3.583e+09,5.07e+09,"5307000000","267000000","267000000","0.68","0.68",0.74,"1119000000","-455000000","-816000000","-143000000",1.106e+09,3.27e+08,"84.97","87.8","82.15","0.3285","0.0885",12.86,"6","17.89",32.12,"0.6622","1.0171","0.2508","0.0831","1.07","2.04","1.0818",207,1.82,11512,"2012-12-01",-0.00612837178412167,1e-04,0.0119,-0.00622837178412167,0.0118,0.00211039309455523,-0.00625327442263742,0.000124902638515752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1841","KMB",2013,3499,207,"Consumer Staples",2,"KMB_quarterly_financial_data.xls","kimberly-clark","kimberly-clark corporation","kimberly-clark corp",379402894,379402894,1,1.8919e+10,"6.55e+09",1.3779e+10,"5.848e+09",4.856e+09,2.84e+08,0,3.424e+09,5.386e+09,"5305000000","539000000","539000000","1.41","1.39",0.81,"945000000","-254000000","-832000000","-125000000",1.054e+09,2.4e+08,"102.4","111.68","93.12","0.4607","0.1105",12.8,"8.37","21.24",35.36,"0.5781","1.1091","0.2567","0.1013","1.09","1.86","1.12",207,2.26,11526,"2013-12-01",-0.0360448845684397,0,0.0281,-0.0360448845684397,0.0281,0.926655616498232,-0.0620839073920401,0.0260390228236003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1842","KMB",2014,3501,207,"Consumer Staples",2,"KMB_quarterly_financial_data.xls","kimberly-clark","kimberly-clark corporation","kimberly-clark corp",365468649,365468649,1,1.5526e+10,"5.559e+09",1.4527e+10,"6.226e+09",7.29e+08,2.7e+08,0,1.737e+09,5.63e+09,"3661000000","-83000000","-83000000","-0.23","-0.23",5.47,"590000000","-245000000","-570000000","-642000000",7.89e+08,3.07e+08,"111.35","118.83","103.88","0.4276","0.0839",1.99,"9.72","19.71",43.35,"1.9283","7.7229","0.047","0.0774","1.08","0.77","0.8929",207,3.12,11531,"2014-12-01",-0.00179262141367721,0,-6e-04,-0.00179262141367721,-6e-04,0.453493949837235,-0.00152052504377487,-0.000272096369902341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1843","KMB",2015,3493,207,"Consumer Staples",2,"KMB_quarterly_financial_data.xls","kimberly-clark","kimberly-clark corporation","kimberly-clark corp",360899707,360899707,1,1.4842e+10,"5.426e+09",1.4802e+10,"6.349e+09",-1.74e+08,2.14e+08,0,1.446e+09,6.106e+09,"4539000000","333000000","333000000","0.92","0.92",0.88,"665000000","-227000000","-439000000","-24000000",6.19e+08,2.31e+08,"118.84","129.89","107.79","None","0.0673",-0.48,"792.27","73.36",46.87,"1.2616","None","None","0.0545","1.24","1.2","0.8546",207,3.57,11545,"2015-12-01",0.0734547692376937,1e-04,-0.0216,0.0733547692376937,-0.0217,0.840011768729989,0.0915830246191345,-0.0181282553814408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1844","KMB",2016,3500,207,"Consumer Staples",2,"KMB_quarterly_financial_data.xls","kimberly-clark","kimberly-clark corporation","kimberly-clark corp",356274872,356274872,1,1.4602e+10,"5.115e+09",1.4485e+10,"5.846e+09",-1.02e+08,2.19e+08,0,1.48e+09,6.439e+09,"4544000000","505000000","505000000","1.42","1.41",0.92,"871000000","-156000000","-648000000","39000000",9.23e+08,1.89e+08,"118.53","125.76","111.3","None","0.1466",-0.29,"142.81","21.55",50.55,"0.6092","None","None","0.119","1.23","1.91","0.875",207,3.28,11553,"2016-12-01",-0.00489676824296565,3e-04,0.0185,-0.00519676824296565,0.0182,0.218323518052991,-0.00917025627153009,0.00427348802856443,207,2014,233,0.3,0.11,0.14,0.06,0.05,0.5,1,0,1,NA
