Companies;YearFinancialIndicator;Industry;Asset;DebtRatio;NetMargin;ROA;ROE;TobinsQ;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;GreenReputation;SustainabilityPayLink;SustainableThemedCommitment;AuditScore
35;2015;7;7458400000,00;0,87;0,14;0,11;0,25;;0,00;0,06;0,00;0,00;0,13;0,00;0,00;0,00
35;2013;7;6168028000,00;0,50;0,14;0,11;0,24;;0,00;0,00;0,00;0,00;0,59;0,00;0,00;0,00
36;2013;7;14012000000,00;0,70;0,22;0,07;0,09;0,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
36;2014;7;14746000000,00;0,60;0,19;0,06;0,12;1,03;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
36;2015;7;15251000000,00;0,51;0,19;0,06;0,11;2,08;0,00;0,02;0,00;0,00;0,10;0,00;0,00;0,00
37;2014;4;16176723000,00;0,72;0,41;0,04;0,08;1,73;0,09;0,05;0,02;0,00;0,14;0,10;0,00;0,00
37;2013;4;15328143000,00;0,71;0,24;0,02;0,04;1,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
37;2015;4;16931305000,00;0,66;0,40;0,04;0,08;1,87;0,06;0,06;0,01;0,04;0,14;0,10;0,00;0,00
38;2015;11;17241000000,00;1,16;0,15;0,03;0,09;1,01;0,00;0,03;0,00;0,00;0,18;0,10;0,00;0,00
38;2014;11;16130956000,00;1,11;0,14;0,03;0,09;0,98;0,08;0,06;0,15;0,11;0,18;0,10;0,00;0,00
38;2013;11;15069533000,00;1,10;0,13;0,02;0,08;0,89;0,62;0,62;0,00;0,00;0,55;0,10;0,05;0,00
39;2013;4;153375000000,00;2,84;0,16;0,04;0,28;0,66;0,58;0,63;0,30;0,07;0,57;0,00;0,00;0,00
39;2014;4;159103000000,00;2,80;0,17;0,04;0,29;0,62;0,07;0,10;0,06;0,08;0,10;0,10;0,05;0,00
39;2015;4;161184000000,00;2,32;0,16;0,03;0,24;0,39;0,11;0,13;0,10;0,01;0,10;0,10;0,05;0,00
40;2013;1;7023423000,00;-2,43;0,11;0,15;-0,64;2,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
40;2014;1;7717101000,00;-2,66;0,11;0,15;-0,64;3,06;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
40;2015;1;8217528000,00;-2,67;0,11;0,15;-0,71;3,36;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00
41;2015;6;94408000000,00;1,38;0,05;0,05;0,76;0,92;0,08;0,08;0,12;0,10;0,09;0,10;0,05;0,05
41;2014;6;99198000000,00;0,94;0,06;0,06;0,42;0,87;0,07;0,11;0,12;0,10;0,09;0,10;0,05;0,05
41;2013;6;92663000000,00;0,54;0,05;0,05;0,47;1,04;0,69;0,78;0,84;0,00;0,05;0,00;0,05;0,05
42;2013;4;2102273000000,00;1,14;0,11;0,01;0,05;0,19;0,12;0,20;0,05;0,04;0,02;0,10;0,05;0,05
42;2014;4;2104534000000,00;1,08;0,05;0,00;0,02;0,11;0,02;0,03;0,02;0,01;0,10;0,10;0,05;0,05
42;2015;4;2144316000000,00;1,01;0,17;0,01;0,06;0,18;0,03;0,04;0,02;0,02;0,10;0,10;0,05;0,05
43;2013;5;25869000000,00;0,96;0,13;0,08;0,26;;0,10;0,18;0,05;0,16;0,32;0,10;0,05;0,05
43;2014;5;25917000000,00;0,94;0,15;0,10;0,30;;0,01;0,04;0,01;0,05;0,14;0,10;0,05;0,05
43;2015;5;20975000000,00;0,44;0,09;0,05;0,15;;0,00;0,02;0,00;0,01;0,14;0,10;0,05;0,05
44;2015;1;6843992000,00;0,58;0,07;0,13;0,33;1,23;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00
44;2013;1;6544489000,00;0,55;0,09;0,17;0,26;2,20;0,00;0,00;0,00;0,00;0,59;0,00;0,00;0,00
44;2014;1;7335835000,00;0,47;0,08;0,14;0,28;1,70;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
45;2013;4;183010000000,00;1,07;0,16;0,01;0,08;0,33;0,00;0,00;0,00;0,00;0,72;0,00;0,00;0,00
45;2014;4;186814000000,00;1,07;0,22;0,01;0,09;0,33;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
45;2015;4;209947000000,00;0,96;0,20;0,01;0,08;0,30;0,00;0,03;0,00;0,00;0,10;0,00;0,00;0,00
46;2013;1;15068000000,00;0,43;-0,02;-0,02;-0,11;0,80;0,68;0,60;0,00;0,72;0,49;0,00;0,05;0,05
46;2014;1;15762000000,00;0,35;0,02;0,07;0,23;0,54;0,13;0,07;0,08;0,08;0,10;0,10;0,05;0,05
46;2015;1;15175000000,00;0,27;0,02;0,06;0,20;0,70;0,13;0,11;0,09;0,06;0,10;0,10;0,05;0,05
47;2015;5;4942900000,00;0,79;0,04;0,03;0,08;;0,00;0,07;0,00;0,00;0,12;0,00;0,00;0,00
47;2014;5;5092600000,00;0,78;0,09;0,06;0,16;;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00
47;2013;5;5041100000,00;0,67;0,22;0,16;0,38;;0,00;0,00;0,00;0,00;0,29;0,00;0,00;0,00
48;2014;5;18503000000,00;1,96;0,14;0,08;0,22;1,45;0,02;0,04;0,03;0,01;0,14;0,10;0,05;0,00
48;2015;5;26046000000,00;1,50;0,06;0,03;0,10;1,63;0,03;0,04;0,03;0,03;0,14;0,10;0,05;0,00
