Ticker;Companies;Year;TobinsQ
BMRN;58;2016;3,47
BMY;59;2012;1,63
BMY;59;2013;2,30
BMY;59;2014;2,92
BMY;59;2015;3,73
BMY;59;2016;2,91
BRK.A;60;2012;0,58
BRK.A;60;2013;0,69
BRK.A;60;2014;0,75
BRK.A;60;2015;0,63
BRK.A;60;2016;0,68
BSX;61;2012;0,63
BSX;61;2013;1,14
BSX;61;2014;1,21
BSX;61;2015;1,63
BSX;61;2016;1,95
BWA;62;2012;1,29
BWA;62;2013;1,82
BWA;62;2014;1,71
BWA;62;2015;1,23
BWA;62;2016;1,09
BX;63;2012;0,31
BX;63;2013;0,84
BX;63;2014;0,79
BX;63;2015;1,17
BX;63;2016;0,88
BXP;64;2012;1,50
BXP;64;2013;1,23
BXP;64;2014;1,41
BXP;64;2015;1,49
BXP;64;2016;1,47
C;65;2012;0,17
C;65;2013;0,15
C;65;2014;0,17
C;65;2015;0,16
C;65;2016;0,16
CA;66;2012;0,93
CA;66;2013;1,32
CA;66;2014;1,25
CA;66;2015;1,20
CA;66;2016;1,29
CAG;67;2012;0,90
CAG;67;2013;0,89
CAG;67;2014;0,98
CAG;67;2015;1,27
CAG;67;2016;1,54
CAH;68;2012;0,52
CAH;68;2013;0,91
CAH;68;2014;1,00
CAH;68;2015;0,94
CAH;68;2016;0,73
CAM;69;2012;
CAM;69;2013;
CAM;69;2014;
CAM;69;2015;
CAM;69;2016;
CAT;70;2012;0,83
CAT;70;2013;0,87
CAT;70;2014;0,85
CAT;70;2015;0,73
CAT;70;2016;0,95
CBG;71;2012;
CBG;71;2013;
CBG;71;2014;
CBG;71;2015;
CBG;71;2016;
CBS;72;2012;1,06
CBS;72;2013;1,62
CBS;72;2014;1,38
CBS;72;2015;1,17
CBS;72;2016;1,35
CCE;73;2012;1,22
CCE;73;2013;1,55
CCE;73;2014;1,64
CCE;73;2015;1,93
CCE;73;2016;1,09
CCI;74;2012;1,97
CCI;74;2013;1,74
CCI;74;2014;1,79
CCI;74;2015;1,86
CCI;74;2016;1,90
CCL;75;2012;1,09
CCL;75;2013;1,20
CCL;75;2014;1,19
CCL;75;2015;1,30
CCL;75;2016;1,31
CE;76;2012;0,95
CE;76;2013;1,10
CE;76;2014;1,18
CE;76;2015;1,29
CE;76;2016;1,50
CELG;77;2012;2,72
CELG;77;2013;5,07
CELG;77;2014;5,09
CELG;77;2015;3,74
CELG;77;2016;3,42
CERN;78;2012;3,27
CERN;78;2013;4,03
CERN;78;2014;
CERN;78;2015;
CERN;78;2016;
CF;79;2012;1,23
CF;79;2013;1,34
CF;79;2014;1,44
CF;79;2015;1,19
CF;79;2016;0,74
CHD;80;2012;1,92
CHD;80;2013;2,21
CHD;80;2014;2,54
CHD;80;2015;2,75
CHD;80;2016;2,79
CHRW;81;2012;3,48
CHRW;81;2013;3,16
CHRW;81;2014;3,40
CHRW;81;2015;2,86
CHRW;81;2016;2,90
CHTR;82;2012;1,33
CHTR;82;2013;1,65
CHTR;82;2014;1,60
CHTR;82;2015;1,42
CHTR;82;2016;0,96
CI;83;2012;0,41
CI;83;2013;0,58
CI;83;2014;0,64
CI;83;2015;0,80
CI;83;2016;0,70
CIT;84;2012;
