"";"Companies";"Year";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Ticker";"GisSector";"GicsClassification";"FichierSTCKP";"CompanyGR2014";"CompanyGR2015";"CompanyGR2016";"X";"Date"
"73";13;2013;0,06;1,03;0,12;0;0;0;0;0;0;0;10,12;0,35;0,11;7;"ADS";"Information Technology";7;"ADS_quarterly_financial_data.xls";"alliance data systems";"alliance data systems corporation";"alliance data systems corp";828;"2013-12-01"
"74";13;2014;0,03;0,93;0,05;0;0,08;0;0;0;0;0;10,31;0,33;0,05;7;"ADS";"Information Technology";7;"ADS_quarterly_financial_data.xls";"alliance data systems";"alliance data systems corporation";"alliance data systems corp";833;"2014-12-01"
"75";13;2015;-0,05;0,76;-0,12;0;0,05;0;0;0;0;0;10,35;0,86;0,09;7;"ADS";"Information Technology";7;"ADS_quarterly_financial_data.xls";"alliance data systems";"alliance data systems corporation";"alliance data systems corp";845;"2015-12-01"
"76";13;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADS";"Information Technology";7;"ADS_quarterly_financial_data.xls";"alliance data systems";"alliance data systems corporation";"alliance data systems corp";854;"2016-12-01"
"77";14;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADSK";"Information Technology";7;"ADSK_quarterly_financial_data.xls";"autodesk";"autodesk inc";"autodesk inc";875;"2011-12-01"
"78";14;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADSK";"Information Technology";7;"ADSK_quarterly_financial_data.xls";"autodesk";"autodesk inc";"autodesk inc";879;"2012-12-01"
"79";14;2013;0,01;1,88;0,05;0,63;0,94;0,3;0,62;0;0;1;9,64;0,86;0,05;7;"ADSK";"Information Technology";7;"ADSK_quarterly_financial_data.xls";"autodesk";"autodesk inc";"autodesk inc";892;"2013-12-01"
"80";14;2014;0,03;2,65;0,09;0,1;0,14;0;0,03;1;1;1;9,68;0,93;0,1;7;"ADSK";"Information Technology";7;"ADSK_quarterly_financial_data.xls";"autodesk";"autodesk inc";"autodesk inc";904;"2014-12-01"
"81";14;2015;0,03;2,4;0,09;0,14;0,14;0;0,05;1;1;1;9,72;1,06;0,1;7;"ADSK";"Information Technology";7;"ADSK_quarterly_financial_data.xls";"autodesk";"autodesk inc";"autodesk inc";919;"2015-12-01"
"82";14;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADSK";"Information Technology";7;"ADSK_quarterly_financial_data.xls";"autodesk";"autodesk inc";"autodesk inc";931;"2016-12-01"
"83";15;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AEE";"Utilities";11;"AEE_quarterly_financial_data.xls";"ameren";"ameren corporation";"ameren corp";944;"2011-12-01"
"84";15;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AEE";"Utilities";11;"AEE_quarterly_financial_data.xls";"ameren";"ameren corporation";"ameren corp";950;"2012-12-01"
"85";15;2013;0,03;0,7;0,09;0,52;0,03;0;0;1;1;0;10,32;1,05;0,1;11;"AEE";"Utilities";11;"AEE_quarterly_financial_data.xls";"ameren";"ameren corporation";"ameren corp";967;"2013-12-01"
"86";15;2014;0,03;0,8;0,1;0,09;0,01;0;0;1;1;0;10,36;0,96;0,1;11;"AEE";"Utilities";11;"AEE_quarterly_financial_data.xls";"ameren";"ameren corporation";"ameren corp";984;"2014-12-01"
"87";15;2015;0,03;0,74;0,12;0,07;0,01;0,01;0;1;1;0;10,37;0,99;0,12;11;"AEE";"Utilities";11;"AEE_quarterly_financial_data.xls";"ameren";"ameren corporation";"ameren corp";989;"2015-12-01"
"88";15;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AEE";"Utilities";11;"AEE_quarterly_financial_data.xls";"ameren";"ameren corporation";"ameren corp";1002;"2016-12-01"
"89";16;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AEP";"Utilities";11;"AEP_quarterly_financial_data.xls";"american electric power";"american electric power company inc";"american electric power co inc";1017;"2011-12-01"
"90";16;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AEP";"Utilities";11;"AEP_quarterly_financial_data.xls";"american electric power";"american electric power company inc";"american electric power co inc";1027;"2012-12-01"
"91";16;2013;0,04;0,73;0,15;0,02;0,02;0,03;0;1;1;0;10,75;0,56;0,04;11;"AEP";"Utilities";11;"AEP_quarterly_financial_data.xls";"american electric power";"american electric power company inc";"american electric power co inc";1040;"2013-12-01"
"92";16;2014;0,04;0,83;0,14;0;0,01;0,03;0;1;1;0;10,78;0,54;0,04;11;"AEP";"Utilities";11;"AEP_quarterly_financial_data.xls";"american electric power";"american electric power company inc";"american electric power co inc";1048;"2014-12-01"
