"","Ticker","Year","Roa","Roe","DebtToEquityRatio","NetMargin","PayoutRatio","TotalAssets","Shares","Roic","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","PriceToEquityRatio","Eps","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","TobinsQ","StockPriceClose","Volume"
"26","ABC",2012,0.0473,0.2701,0.59,0.009,0.189,15495532000,2.57e+08,0.2007,7.8081e+10,NA,7.19e+08,2337235000,14.8,2.8,0.0224833556383944,1e-04,0.0119,0.0223833556383944,0.0118,0.322616956172364,0.0185764755555605,0.0039068800828339,0.76,42.82,1039500
"27","ABC",2013,0.0252,0.1816,0.6,0.0049,0.31,1.8919e+10,2.35e+08,0.1264,8.7959e+10,NA,4.34e+08,2247802000,35.89,1.84,-0.00312405154338848,0,0.0281,-0.00312405154338848,0.0281,0.742625084707307,-0.0239918164236638,0.0208677648802753,0.92,NA,NA
"28","ABC",2014,0.0137,0.1293,1.02,0.0023,0.803,2.1532e+10,2.35e+08,0.0851,1.19569e+11,NA,2.74e+08,1768346000,72.86,1.16,-0.00982272148231559,0,-6e-04,-0.00982272148231559,-6e-04,0.725509368341039,-0.00938741586131097,-0.000435305621004623,0.9,NA,NA
"29","ABC",2015,-0.0055,-0.1041,5.51,-0.001,0.6471,2.7736e+10,2.18e+08,-0.0187,1.35962e+11,NA,-1.38e+08,1300019000,NA,-0.63,0.0501215916423345,1e-04,-0.0216,0.0500215916423345,-0.0217,0.468147190753278,0.0601803856816807,-0.0100587940393461,0.96,104.190002,804400
"30","ABC",2016,0.0465,1.0336,1.69,0.0097,0.178,3.3656e+10,2.26e+08,0.2825,1.4685e+11,NA,1.428e+09,2116557000,11.88,6.32,0.00256117969774564,3e-04,0.0185,0.00226117969774564,0.0182,1.67687338906009,-0.0282579159831479,0.0308190956808936,0.68,78.349998,862100
"31","ABT",2012,0.0935,0.2331,0.68,0.1495,0.54,67234944000,1.592e+09,0.1482,1.905e+10,NA,5.963e+09,26720961000,16.44,3.72,0.00766281855777333,1e-04,0.0119,0.00756281855777333,0.0118,0.376780548141739,0.00311680808970081,0.00454601046807252,0.77,30.908716,11238800
"32","ABT",2013,0.0468,0.0993,0.13,0.1179,0.223,4.2953e+10,1.574e+09,0.0674,1.9657e+10,1.452e+09,2.576e+09,2.5171e+10,18.83,1.62,0.00365927679869691,0,0.0281,0.00365927679869691,0.0281,1.84355580390044,-0.0481446412909056,0.0518039180896025,1.23,NA,NA
"33","ABT",2014,0.0542,0.0978,0.16,0.1128,0.635,4.1275e+10,1.527e+09,0.0764,2.0247e+10,1.345e+09,2.284e+09,2.1526e+10,33.77,1.49,0.011392999303787,0,-6e-04,0.011392999303787,-6e-04,0.832397643855632,0.0118924378901004,-0.000499438586313379,1.66,NA,NA
"34","ABT",2015,0.1072,0.207,0.28,0.2168,0.563,4.1247e+10,1.506e+09,0.1501,2.0405e+10,1.405e+09,4.423e+09,2.1211e+10,14.28,2.92,-0.000222513691894054,1e-04,-0.0216,-0.000322513691894054,-0.0217,1.44857963539465,0.0311116643961698,-0.0313341780880639,1.63,45.029999,2708300
"35","ABT",2016,0.0298,0.0671,1,0.0671,1.546,5.2666e+10,1.483e+09,0.0454,2.0853e+10,1.422e+09,1.4e+09,2.0538e+10,45.09,0.94,0.00889116218577912,3e-04,0.0185,0.00859116218577912,0.0182,1.78672883939554,-0.0239273026912197,0.0328184648769989,1.09,38.220001,6828500
"36","ACIW",2012,0.051,0.1147,0.67,0.0733,0,1250886000,1.2e+08,0.0849,6.67e+08,NA,4.9e+07,534357000,62.09,0.41,0.013364299981366,1e-04,0.0119,0.013264299981366,0.0118,1.72904165761763,-0.00713839157852199,0.020502691559888,1.59,14.36,356700
"37","ACIW",2013,0.0436,0.1185,1.3,0.0738,0,1.682e+09,1.2e+08,0.0744,8.65e+08,NA,6.4e+07,543694000,39.04,0.53,0.00725700717865738,0,0.0281,0.00725700717865738,0.0281,0.846682324054431,-0.0165347661272721,0.0237917733059295,1.69,NA,NA
"38","ACIW",2014,0.0383,0.1201,1.38,0.0665,0,1.851e+09,1.17e+08,0.0681,1.016e+09,NA,6.8e+07,581405000,31.84,0.58,0.0363492304877848,0,-6e-04,0.0363492304877848,-6e-04,0.743221605521034,0.0367951634510975,-0.00044593296331262,1.7,NA,NA
"39","ACIW",2015,0.0445,0.1383,1.29,0.0817,0,1.99e+09,1.19e+08,0.0759,1.046e+09,NA,8.5e+07,654400000,31.04,0.72,-0.0944602010026204,1e-04,-0.0216,-0.0945602010026204,-0.0217,1.45288905135402,-0.0630325085882382,-0.0314276924143822,1.71,22.35,524300
"40","ACIW",2016,0.0666,0.1838,0.87,0.1288,0,1.902e+09,1.19e+08,0.1017,1.006e+09,NA,1.3e+08,754917000,21.05,1.09,-0.0250285636778496,3e-04,0.0185,-0.0253285636778496,0.0182,1.90231422215393,-0.0599506825210512,0.0349221188432016,1.45,18.24,374400
"41","ADBE",2012,0.0878,0.1338,0.22,0.1891,NA,NA,5.03e+08,0.1119,4.404e+09,NA,8.33e+08,NA,NA,1.66,0.0849867631675266,1e-04,0.0119,0.0848867631675266,0.0118,1.17393076051421,0.0710343801934589,0.0139523829740677,1.54,36.900002,3171600
"42","ADBE",2013,0.0285,0.0433,0.22,0.0715,NA,1.038e+10,5.13e+08,0.0399,4.055e+09,NA,2.9e+08,NA,NA,0.56,0.0531584428185046,0,0.0281,0.0531584428185046,0.0281,0.550999847598482,0.0376753471009873,0.0154830957175174,2.62,NA,NA
"43","ADBE",2014,0.0254,0.0398,0.13,0.0647,NA,1.0786e+10,5.08e+08,0.0347,4.147e+09,NA,2.68e+08,NA,NA,0.53,-0.0133900486730533,0,-6e-04,-0.0133900486730533,-6e-04,1.96526093531432,-0.0122108921118647,-0.00117915656118859,3.2,NA,NA
