"","Ticker","Year","Roa","Roe","DebtToEquityRatio","NetMargin","PayoutRatio","TotalAssets","Shares","Roic","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","PriceToEpsRatio","Eps","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","TobinsQ","StockPriceClose","PriceToEarningRatio","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GisSector","GicsClassification","Index"
"33","ADM",2014,0.0512,0.1132,0.28,0.0277,0.313,4.4027e+10,6.56e+08,0.0927,8.1201e+10,NA,2.248e+09,1.9575e+10,16.42,3.43,-0.0129922556784712,0,-6e-04,-0.0129922556784712,-6e-04,0.823355470888378,-0.0124982423959382,-0.000494013282533027,0.64,46.15,13.4548104956268,2016,240,0.32,0.01,0.02,0.06,0,0.09,1,1,0,"Consumer Staples",2,11
"34","ADP",2012,0.0427,0.229,0.0025,0.1302,0.543,3.333e+10,4.92e+08,0.2198,1.0595e+10,NA,1.389e+09,6395300000,20.07,2.82,0.0119175366267203,1e-04,0.0119,0.0118175366267203,0.0118,0.770112066882768,0.00273021423750364,0.00918732238921666,0.77,49.09,17.4078014184397,2014,105,0.47,0.47,0.38,0.61,0,1,0,1,0,"Information Technology",7,12
"35","ADP",2013,0.0446,0.2285,0.002,0.1243,0.578,3.2268e+10,4.87e+08,0.2221,9.442e+09,NA,1.405e+09,6258500000,26.14,2.89,0.0166884372442692,0,0.0281,0.0166884372442692,0.0281,0.634522853152042,-0.00114165492930315,0.0178300921735724,0.97,61.19,21.1730103806228,2015,282,0.28,0,0.07,0,0,0.16,0,1,0,"Information Technology",7,12
"36","ADP",2014,0.0471,0.2358,0.0019,0.1242,0.614,3.2052e+10,4.83e+08,0.2301,1.0226e+10,NA,1.516e+09,5492200000,25.58,3.14,-0.02110014518344,0,-6e-04,-0.02110014518344,-6e-04,0.808633188727693,-0.0206149652702033,-0.000485179913236616,0.86,72.47,23.0796178343949,2016,268,0.28,0,0.07,0,0,0.16,0,1,0,"Information Technology",7,12
"37","ADS",2012,0.0403,1.1988,8.91,0.116,0,12000139000,6.4e+07,0.0917,3.641e+09,NA,4.22e+08,528487000,22.07,6.58,0.0158052108405863,1e-04,0.0119,0.0157052108405863,0.0118,0.913175761195095,0.00492973685848413,0.0108754739821021,0.65,130.48,19.8297872340426,2014,435,0,0,0,0,0,0,0,0,0,"Information Technology",7,13
"38","ADS",2013,0.0393,0.7169,7.01,0.1149,0,13244257000,6.7e+07,0.0872,4.319e+09,NA,4.96e+08,855761000,34.3,7.42,0.0818761668402418,0,0.0281,0.0818761668402418,0.0281,1.10948588934073,0.0506996133497674,0.0311765534904744,1.03,191.87,25.8584905660377,2015,311,0.24,0,0.08,0,0,0.16,0,0,0,"Information Technology",7,13
"39","ADS",2014,0.0302,0.3114,3.39,0.0955,0,20263977000,6.2e+07,0.0665,5.302e+09,NA,5.06e+08,2396380000,29.78,7.87,0.000629349338349831,0,-6e-04,0.000629349338349831,-6e-04,2.87023927169194,0.002351492901365,-0.00172214356301517,0.93,265.41,33.7242693773825,2016,343,0.21,0,0.05,0,0,0.16,0,0,0,"Information Technology",7,13
"40","ADSK",2012,0.0949,0.1634,NA,0.1288,NA,3.429e+09,2.33e+08,0.1608,2.215e+09,NA,2.85e+08,NA,NA,1.22,0.0648590892695667,1e-04,0.0119,0.0647590892695667,0.0118,2.82833347870637,0.0313847542208315,0.0334743350487352,1.89,34.75,28.4836065573771,2014,26,0.62,0.63,0.94,0.3,0.62,1,0,0,1,"Information Technology",7,14
"41","ADSK",2013,0.0657,0.126,0.36,0.107,NA,4.322e+09,2.31e+08,0.0913,2.312e+09,6.11e+08,2.47e+08,NA,NA,1.07,0.10619994224625,0,0.0281,0.10619994224625,0.0281,1.53911665487784,0.0629507642441825,0.0432491780020674,1.88,39.15,36.588785046729,2015,30,0.66,0.1,0.14,0,0.03,0.19,1,1,1,"Information Technology",7,14
"42","ADSK",2014,0.0514,0.1063,0.33,0.1006,NA,4.737e+09,2.29e+08,0.0789,2.274e+09,7.25e+08,2.29e+08,NA,NA,1,-0.0317903058398908,0,-6e-04,-0.0317903058398908,-6e-04,0.852545881652775,-0.0312787783108992,-0.000511527528991665,2.65,53.83,53.83,2016,22,0.71,0.14,0.14,0,0.05,0.19,1,1,1,"Information Technology",7,14
