"","symbol","section","sub.section","group","date","Asset Turnover","Cash Conversion Cycle","Days Inventory","Days Sales Outstanding","Fixed Assets Turnover","Inventory Turnover","Payables Period","Receivables Turnover"
"15582","KLAC","Efficiency Ratios","Efficiency",84,2009-06-01,NA,NA,NA,NA,4.7,NA,NA,NA
"15583","KLAC","Efficiency Ratios","Efficiency",84,2010-06-01,NA,NA,NA,NA,6.89,NA,NA,NA
"15584","KLAC","Efficiency Ratios","Efficiency",84,2011-06-01,NA,NA,NA,NA,12.85,NA,NA,NA
"15585","KLAC","Efficiency Ratios","Efficiency",84,2012-06-01,NA,NA,NA,NA,11.86,NA,NA,NA
"15586","KLAC","Efficiency Ratios","Efficiency",84,2013-06-01,NA,NA,NA,NA,9.75,NA,NA,NA
"15587","KLAC","Efficiency Ratios","Efficiency",84,2014-06-01,NA,NA,NA,NA,9.22,NA,NA,NA
"15588","KLAC","Efficiency Ratios","Efficiency",84,2015-06-01,NA,NA,NA,NA,8.73,NA,NA,NA
"15589","KLAC","Efficiency Ratios","Efficiency",84,2016-06-01,NA,NA,NA,NA,10.07,NA,NA,NA
"15590","KLAC","Efficiency Ratios","Efficiency",84,2017-06-01,NA,NA,NA,NA,12.38,NA,NA,NA
"15591","KLAC","Efficiency Ratios","Efficiency",85,2008-06-01,0.53,NA,NA,NA,NA,NA,NA,NA
"15592","KLAC","Efficiency Ratios","Efficiency",85,2009-06-01,0.36,NA,NA,NA,NA,NA,NA,NA
"15593","KLAC","Efficiency Ratios","Efficiency",85,2010-06-01,0.48,NA,NA,NA,NA,NA,NA,NA
"15594","KLAC","Efficiency Ratios","Efficiency",85,2011-06-01,0.74,NA,NA,NA,NA,NA,NA,NA
"15595","KLAC","Efficiency Ratios","Efficiency",85,2012-06-01,0.65,NA,NA,NA,NA,NA,NA,NA
"15596","KLAC","Efficiency Ratios","Efficiency",85,2013-06-01,0.55,NA,NA,NA,NA,NA,NA,NA
"15597","KLAC","Efficiency Ratios","Efficiency",85,2014-06-01,0.54,NA,NA,NA,NA,NA,NA,NA
"15598","KLAC","Efficiency Ratios","Efficiency",85,2015-06-01,0.54,NA,NA,NA,NA,NA,NA,NA
