"";"Companies";"Year";"Ra";"ROA";"ROE";"TobinsQ";"AlphaJensen";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"EnergyProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Beta"
"74";124;2014;-0,0260813395762649;0,09;0,31;1,97;-0,0254120803651168;0,08;0,09;0;0,13;1;1;1;9,92;1,13;0,11;2;1,11543201858006
"75";124;2015;0,0430119599816685;0,09;0,34;2,27;0,0572704898770643;0,07;0;0;0;1;1;1;9,95;1,32;0,12;2;0,661683405317777
"76";125;2013;0,00471607080757033;0,03;0,09;0,75;-0,0154921274943864;0,26;0,6;0,12;0,6;0;1;0;10,41;0,91;0,07;11;0,719152964482445
"77";125;2014;0,0669808342977085;0,03;0,11;0,83;0,0673641350880146;0,03;0,12;0,03;0,08;1;1;1;10,45;1;0,07;11;0,638834650510183
"78";125;2015;0,00533155852577958;0,03;0,08;0,81;0,00118284099789292;0,04;0,14;0,05;0,12;1;1;1;10,46;1,01;0,07;11;-0,186576844603072
"79";126;2013;-0,0136721852427018;0,02;0,07;0,74;-0,0491217942919206;0,12;0,6;0,79;0,03;1;0;1;11,06;0,92;0,11;11;1,26155192345974
"80";126;2014;0,0321117222530183;0,02;0,05;0,79;0,032201464131183;0,02;0,09;0,11;0,05;1;1;1;11,08;0,91;0,08;11;0,149569796941058
"81";126;2015;0,052185709647068;0,02;0,07;0,73;0,0450993995514802;0,02;0,06;0,09;0,02;1;1;1;11,08;0,94;0,12;11;-0,321949773990219
"82";127;2013;0,0621742685463901;0,04;0,15;1,21;0,0387338424897171;0,11;0,24;0,03;0,29;1;0;0;10,23;1,84;0,05;5;0,834178863226795
"83";127;2014;-0,0103764116875362;0,04;0,15;1,31;-0,00989964281249322;0,04;0;0;0,06;0;1;0;10,25;1,62;0,06;5;0,794614791738379
"84";127;2015;-0,0466634848246781;0,01;0,05;1,16;-0,0334344114407349;0,04;0;0;0;0;1;0;10,27;1,85;0,02;5;0,614243013084939
"85";128;2013;0,0240341945635777;0;0;0,74;-0,0124019724218765;0,12;0,39;0;0,58;0;1;1;10,63;0,39;0;3;1,29666074681332
