"";"Companies";"YearFinancialIndicator";"ROA";"TobinsQ";"ROE";"YearNewsWeekGR";"GreenScore";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"Green.Revenue";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"71";24;2014;0,09;1,88;0,17;2015;0,55;0,08;0,08;0,09;0,02;0,13;0,1;0,05;0;10,12;0,44;0,15;7
"72";24;2015;0,09;1,13;0,18;2016;0,6;0,1;0,1;0,09;0,03;0,13;0,1;0,05;0;10,18;0,48;0,15;7
"73";25;2013;0,06;2,31;0,17;2014;0;0;0;0;0;0;0;0;0;9,77;0,65;0,16;6
"74";25;2014;0,06;2,1;0,18;2015;0,13;0;0;0;0;0,13;0;0;0;9,81;0,72;0,18;6
"75";25;2015;0,07;2,04;0,19;2016;0,18;0;0,05;0;0;0,13;0;0;0;9,82;0,67;0,21;6
"76";26;2013;0,09;1,96;0,24;2014;0,18;0;0;0;0;0,89;0;0;0;9,8;1,34;0,27;4
"77";26;2014;0,07;1,72;0,21;2015;0,1;0;0;0;0;0,1;0;0;0;9,89;1,34;0,26;4
"78";26;2015;0,1;1,32;0,25;2016;0,16;0;0,06;0;0;0,1;0;0;0;9,89;1,04;0,32;4
"79";27;2013;0,01;1,46;0,16;2014;0,54;0,64;0,51;0,52;0,43;0,6;0;0,05;0,05;10,82;1,34;0,12;5
"80";27;2014;0,01;1,79;0,2;2015;0,7;0,08;0,09;0,08;0,08;0,17;0,1;0,05;0,05;10,84;1,17;0,13;5
"81";27;2015;0,01;1,7;0,2;2016;0,63;0,06;0,07;0,06;0,07;0,17;0,1;0,05;0,05;10,85;1,04;0,13;5
"82";28;2013;0,01;0,17;0,15;2014;0,17;0;0;0;0;0,86;0;0;0;11,16;1,03;0,12;4
"83";28;2014;0,01;0,19;0,2;2015;0,09;0;0;0;0;0,09;0;0;0;11,17;1,22;0,13;4
"84";28;2015;0,01;0,16;0,2;2016;0,17;0;0,07;0;0;0,1;0;0;0;11,16;1,42;0,13;4
"85";29;2013;0,03;1,55;0,15;2014;0;0;0;0;0;0;0;0;0;10,31;4,08;0,16;4
"86";29;2014;0,04;2,53;0,2;2015;0,15;0;0;0;0;0,15;0;0;0;10,33;3,47;0,2;4
"87";29;2015;0,03;2,17;0,09;2016;0,19;0;0,04;0;0;0,15;0;0;0;10,43;2,57;0,12;4
"88";30;2013;0,01;4,6;0,03;2014;0,01;0;0;0;0;0,07;0;0;0;10,6;0,47;0;1
"89";30;2014;-0,01;2,74;-0,02;2015;0,12;0;0;0;0;0,12;0;0;0;10,74;1,05;0;1
"90";30;2015;0,01;5,02;0,05;2016;0,18;0;0,06;0;0;0,12;0;0;0;10,82;0,93;0,01;1
"91";31;2013;0,03;0,64;0,1;2014;0,12;0;0;0;0;0,34;0;0,05;0;10,13;0,66;0,01;3
"92";31;2014;0,06;0,72;0,19;2015;0,06;0;0;0;0;0,01;0;0,05;0;10,22;0,96;0,02;3
"93";31;2015;0,09;0,91;0,32;2016;0,35;0,06;0,08;0,07;0,09;0,01;0;0,05;0;10,21;0,78;0,05;3
"94";32;2013;0,04;0,68;0,07;2014;0,22;0,49;0,18;0,06;0;0,3;0;0;0,05;10,79;0,3;0,14;3
"95";32;2014;-0,08;0,57;-0,18;2015;0,31;0,09;0,04;0,01;0;0,01;0,1;0;0,05;10,75;0,45;-0,39;3
"96";32;2015;-0,72;0,93;-1,62;2016;0,2;0;0,04;0;0;0,01;0,1;0;0,05;10,28;3,54;-3,63;3
"97";33;2013;0,01;0,93;0,04;2014;0,32;0,58;0,1;0,61;0;0,14;0;0,05;0,05;10,75;0,6;0,05;3
"98";33;2014;-0,03;0,93;-0,09;2015;0,4;0,1;0,03;0,05;0;0,02;0,1;0,05;0,05;10,79;0,77;-0,09;3
"99";33;2015;-0,13;0,85;-0,45;2016;0,26;0;0,04;0;0;0,01;0,1;0,05;0,05;10,67;1,23;-0,77;3
"100";34;2013;0,06;1,49;0,15;2014;0,54;0,07;0,17;0,23;0,92;0,69;0,1;0,05;0,05;10,25;0,69;0,1;8
"101";34;2014;0,06;1,88;0,14;2015;0,51;0,01;0,02;0,07;0,13;0,08;0,1;0,05;0,05;10,25;0,65;0,1;8
"102";34;2015;0,08;1,77;0,18;2016;0,51;0,01;0,02;0,08;0,12;0,08;0,1;0,05;0,05;10,24;0,53;0,14;8
