"","Ticker","Year","ResearchAndDevelopment"
"1173","TRV",2015,NA
"1174","TRV",2016,NA
"1175","TRV",2017,NA
"1177","TSCO",2013,NA
"1178","TSCO",2014,NA
"1179","TSCO",2015,NA
"1180","TSCO",2016,NA
"1181","TSCO",2017,NA
"1183","TSLA",2013,2.32e+08
"1184","TSLA",2014,4.65e+08
"1185","TSLA",2015,7.18e+08
"1186","TSLA",2016,8.34e+08
"1187","TSLA",2017,1.378e+09
"1189","TSN",2013,NA
"1190","TSN",2014,NA
"1191","TSN",2015,NA
"1192","TSN",2016,NA
"1193","TSN",2017,NA
"1195","TWC",2013,NA
"1196","TWC",2014,NA
"1197","TWC",2015,NA
"1198","TWC",2016,NA
"1199","TWC",2017,NA
"1201","TWX",2013,NA
"1202","TWX",2014,NA
"1203","TWX",2015,NA
"1204","TWX",2016,NA
"1205","TWX",2017,NA
"1207","UTX",2013,2.529e+09
"1208","UTX",2014,2.635e+09
"1209","UTX",2015,2.279e+09
"1210","UTX",2016,2.337e+09
"1211","UTX",2017,2.387e+09
"1213","VFC",2013,NA
"1214","VFC",2014,NA
"1215","VFC",2015,NA
"1216","VFC",2016,NA
"1217","VFC",2017,NA
"1219","VIA",2013,NA
"1220","VIA",2014,NA
"1221","VIA",2015,NA
"1222","VIA",2016,NA
"1223","VIA",2017,NA
"1225","VLO",2013,NA
"1226","VLO",2014,NA
"1227","VLO",2015,NA
"1228","VLO",2016,NA
"1229","VLO",2017,NA
"1231","VMW",2013,1.082e+09
"1232","VMW",2014,1.239e+09
"1233","VMW",2015,1.3e+09
"1234","VMW",2016,1.503e+09
"1235","VMW",2017,1.755e+09
"1237","VNO",2013,NA
"1238","VNO",2014,NA
"1239","VNO",2015,NA
"1240","VNO",2016,NA
"1241","VNO",2017,NA
"1243","VRSK",2013,NA
"1244","VRSK",2014,NA
"1245","VRSK",2015,NA
"1246","VRSK",2016,NA
"1247","VRSK",2017,NA
"1249","WBA",2013,NA
"1250","WBA",2014,NA
"1251","WBA",2015,NA
"1252","WBA",2016,NA
"1253","WBA",2017,NA
"1255","WDAY",2013,1.82e+08
"1256","WDAY",2014,3.17e+08
"1257","WDAY",2015,4.7e+08
"1258","WDAY",2016,6.81e+08
"1259","WDAY",2017,9.11e+08
"1261","WFM",2013,NA
"1262","WFM",2014,NA
"1263","WFM",2015,NA
"1264","WFM",2016,NA
"1265","WFM",2017,NA
"1267","WHR",2013,NA
"1268","WHR",2014,NA
"1269","WHR",2015,NA
"1270","WHR",2016,NA
"1271","WHR",2017,NA
"1273","WM",2013,NA
"1274","WM",2014,NA
"1275","WM",2015,NA
"1276","WM",2016,NA
"1277","WM",2017,NA
"1279","WMB",2013,NA
"1280","WMB",2014,NA
"1281","WMB",2015,NA
"1282","WMB",2016,NA
"1283","WMB",2017,NA
"1285","WMT",2013,NA
"1286","WMT",2014,NA
"1287","WMT",2015,NA
"1288","WMT",2016,NA
"1289","WMT",2017,NA
"1291","WU",2013,NA
"1292","WU",2014,NA
"1293","WU",2015,NA
"1294","WU",2016,NA
"1295","WU",2017,NA
"1297","WY",2013,3.3e+07
"1298","WY",2014,2.7e+07
"1299","WY",2015,2.4e+07
"1300","WY",2016,1.9e+07
"1301","WY",2017,1.4e+07
"1303","WYN",2013,NA
"1304","WYN",2014,NA
"1305","WYN",2015,NA
"1306","WYN",2016,NA
"1307","WYN",2017,NA
"1309","YUM",2013,NA
"1310","YUM",2014,NA
"1311","YUM",2015,NA
"1312","YUM",2016,NA
"1313","YUM",2017,NA
