"","Ticker","Year","Net income","Research and development","Revenue"
"607","FAST","2013","449",NA,"3326"
"608","FAST","2014","494",NA,"3734"
"609","FAST","2015","516",NA,"3869"
"610","FAST","2016","499",NA,"3962"
"611","FAST","2017","579",NA,"4390"
"613","FB","2013","1500","1415","7872"
"614","FB","2014","2940","2666","12466"
"615","FB","2015","3688","4816","17928"
"616","FB","2016","10217","5919","27638"
"617","FB","2017","15934","7754","40653"
"619","FDX","2013","1561",NA,"44287"
"620","FDX","2014","2097",NA,"45567"
"621","FDX","2015","1050",NA,"47453"
"622","FDX","2016","1820",NA,"50365"
"623","FDX","2017","2997",NA,"60319"
"625","FE","2013","392",NA,"14917"
"626","FE","2014","299",NA,"15049"
"627","FE","2015","578",NA,"15026"
"628","FE","2016","-6177",NA,"14562"
"629","FE","2017","-1724",NA,"14017"
"631","FITB","2013","1836",NA,""
"632","FITB","2014","1481",NA,""
"633","FITB","2015","1712",NA,""
"634","FITB","2016","1564",NA,""
"635","FITB","2017","2194",NA,""
"637","FLT","2013","285",NA,"895"
"638","FLT","2014","369",NA,"1199"
"639","FLT","2015","362",NA,"1703"
"640","FLT","2016","452",NA,"1832"
"641","FLT","2017","740",NA,"2250"
"643","FNMA","2013","83963",NA,"30420"
"644","FNMA","2014","14208",NA,"21958"
"645","FNMA","2015","10954",NA,"22326"
"646","FNMA","2016","12313",NA,"22436"
"647","FNMA","2017","2463",NA,"23271"
"649","GILD","2013","3075","2120","11202"
"650","GILD","2014","12101","2854","24890"
"651","GILD","2015","18108","3014","32639"
"652","GILD","2016","13501","5098","30390"
"653","GILD","2017","4628","3734","26107"
"655","GIS","2013","1855",NA,"17774"
"656","GIS","2014","1824",NA,"17910"
"657","GIS","2015","1221",NA,"17630"
"658","GIS","2016","1697",NA,"16563"
"659","GIS","2017","1658",NA,"15620"
"661","GLW","2013","1961","710","7819"
"662","GLW","2014","2472","815","9715"
"663","GLW","2015","1339","769","9111"
"664","GLW","2016","3695","742","9390"
"665","GLW","2017","-497","860","10116"
"667","GM","2013","5346",NA,"155427"
"668","GM","2014","3949",NA,"155929"
"669","GM","2015","9687",NA,"152356"
"670","GM","2016","9427",NA,"166380"
"671","GM","2017","-3864",NA,"145588"
"673","GPC","2013","685",NA,"14078"
"674","GPC","2014","711",NA,"15342"
"675","GPC","2015","706",NA,"15280"
"676","GPC","2016","687",NA,"15340"
"677","GPC","2017","617",NA,"16309"
"679","GPS","2013","1280",NA,"16148"
"680","GPS","2014","1262",NA,"16435"
"681","GPS","2015","920",NA,"15797"
"682","GPS","2016","676",NA,"15516"
"683","GPS","2017","848",NA,"15855"
"685","HES","2013","5052",NA,"22284"
"686","HES","2014","2317",NA,"10737"
"687","HES","2015","-3056",NA,"6636"
"688","HES","2016","-6132",NA,"4762"
"689","HES","2017","-4074",NA,"5466"
"691","HIG","2013","176",NA,NA
"692","HIG","2014","798",NA,NA
"693","HIG","2015","1682",NA,NA
"694","HIG","2016","896",NA,NA
"695","HIG","2017","-3131",NA,NA
"697","HOG","2013","734",NA,"5900"
"698","HOG","2014","845",NA,"6229"
"699","HOG","2015","752",NA,"5995"
"700","HOG","2016","692",NA,"5996"
"701","HOG","2017","522",NA,"5647"
"703","HON","2013","3924",NA,"39055"
"704","HON","2014","4239",NA,"40306"
"705","HON","2015","4768",NA,"38581"
"706","HON","2016","4809",NA,"39302"
"707","HON","2017","1655",NA,"40534"
"709","HOT","2013","489",NA,"5624"
"710","HOT","2014","562",NA,"6321"
"711","HOT","2015","635",NA,"6115"
"712","HOT","2016","633",NA,"5983"
"713","HOT","2017","489",NA,"5763"
"715","HRL","2013","526",NA,"8752"
"716","HRL","2014","603",NA,"9316"
"717","HRL","2015","686",NA,"9264"
"718","HRL","2016","890",NA,"9523"
"719","HRL","2017","847",NA,"9168"
"721","HUM","2013","1231",NA,NA
"722","HUM","2014","1147",NA,NA
"723","HUM","2015","1276",NA,NA
"724","HUM","2016","614",NA,NA
"725","HUM","2017","2448",NA,NA
"727","IBM","2013","16483","6226","99751"
"728","IBM","2014","12022","5437","92793"
"729","IBM","2015","13190","5247","81742"
"730","IBM","2016","11872","5751","79920"
"731","IBM","2017","5753","5787","79139"
"733","ICE","2013","254",NA,"1795"
"734","ICE","2014","981",NA,"4221"
"735","ICE","2015","1274",NA,"4682"
"736","ICE","2016","1422",NA,"5958"
"737","ICE","2017","2514",NA,"5834"
"739","IEP","2013","1025",NA,"18794"
"740","IEP","2014","-373",NA,"19504"
"741","IEP","2015","-1194",NA,"16065"
"742","IEP","2016","-1128",NA,"17590"
"743","IEP","2017","2430",NA,"21304"
"745","ILMN","2013","125","277","1421"
"746","ILMN","2014","353","388","1861"
"747","ILMN","2015","462","402","2220"
"748","ILMN","2016","463","504","2398"
"749","ILMN","2017","726","546","2752"
"751","INCY","2013","-83","260","355"
"752","INCY","2014","-48","348","511"
"753","INCY","2015","7","480","754"
"754","INCY","2016","104","582","1106"
"755","INCY","2017","-313","1326","1536"
"757","L","2013","595",NA,NA
"758","L","2014","591",NA,NA
"759","L","2015","260",NA,NA
"760","L","2016","654",NA,NA
"761","L","2017","1164",NA,NA
"763","LB","2013","903",NA,"10773"
"764","LB","2014","1042",NA,"11454"
"765","LB","2015","1253",NA,"12154"
"766","LB","2016","1158",NA,"12574"
"767","LB","2017","983",NA,"12632"
"769","LH","2013","574",NA,"5808"
"770","LH","2014","511",NA,"6012"
"771","LH","2015","437",NA,"8680"
"772","LH","2016","732",NA,"9642"
"773","LH","2017","1268",NA,"10441"
"775","LLL","2013","778",NA,"12629"
"776","LLL","2014","664",NA,"12124"
"777","LLL","2015","-240",NA,"10466"
"778","LLL","2016","710",NA,"10511"
"779","LLL","2017","677",NA,"9573"
"781","LLTC","2013","398","224","1267"
"782","LLTC","2014","407","235","1282"
"783","LLTC","2015","460","250","1388"
"784","LLTC","2016","521","267","1475"
"785","LLTC","2017","494","276","1424"
"787","LLY","2013","4685","5588","23113"
"788","LLY","2014","2390","4934","19616"
"789","LLY","2015","2408","5331","19959"
"790","LLY","2016","2738","5274","21222"
"791","LLY","2017","-204","6394","22871"
"793","LMT","2013","2981",NA,"45358"
"794","LMT","2014","3614",NA,"45600"
"795","LMT","2015","3605",NA,"46132"
"796","LMT","2016","5302",NA,"47248"
"797","LMT","2017","2002",NA,"51048"
"799","LOW","2013","2286",NA,"53417"
"800","LOW","2014","2698",NA,"56223"
"801","LOW","2015","2546",NA,"59074"
"802","LOW","2016","3093",NA,"65017"
"803","LOW","2017","3447",NA,"68619"
"805","LRCX","2013","114","684","3599"
"806","LRCX","2014","632","716","4607"
"807","LRCX","2015","656","825","5259"
"808","LRCX","2016","914","914","5886"
"809","LRCX","2017","1698","1034","8014"
"811","LYB","2013","3857","150","44062"
"812","LYB","2014","4174","127","45608"
"813","LYB","2015","4476","102","32735"
"814","LYB","2016","3836","99","29183"
"815","LYB","2017","4879","106","34484"
"817","M","2013","1486",NA,"27931"
"818","M","2014","1526",NA,"28105"
"819","M","2015","1072",NA,"27079"
"820","M","2016","619",NA,"25778"
"821","M","2017","1547",NA,"24837"
"823","MA","2013","3116",NA,"8346"
"824","MA","2014","3617",NA,"9473"
"825","MA","2015","3808",NA,"9667"
"826","MA","2016","4059",NA,"10776"
"827","MA","2017","3915",NA,"12497"
"829","MAC","2013","420",NA,"1029"
"830","MAC","2014","1499",NA,"1105"
"831","MAC","2015","488",NA,"1288"
"832","MAC","2016","517",NA,"1041"
"833","MAC","2017","146",NA,"994"
"835","MAR","2013","626",NA,"12784"
"836","MAR","2014","753",NA,"13796"
"837","MAR","2015","859",NA,"14486"
