"";"Year";"Ticker";"RD"
"388";2014;"QCOM";1,352e+09
"389";2013;"AMZN";1,862e+09
"390";2014;"MRK";2,283e+09
"391";2016;"XRX";1,13e+08
"392";2012;"AMZN";1,345e+09
"393";2013;"MRK";1,835e+09
"394";2016;"ITT";21900000
"395";2015;"XRX";9,3e+07
"396";2016;"AMGN";1,078e+09
"397";2012;"LVS";7762000
"398";2016;"RTN";1,96e+08
"399";2015;"RTN";1,95e+08
"400";2012;"BEN";43600000
"401";2016;"MXIM";114060000
"402";2012;"EXPE";134340000
"403";2014;"REGN";351740000
"404";2013;"KLAC";134590000
"405";2013;"REGN";268140000
"406";2015;"SYK";1,64e+08
"407";2012;"REGN";181020000
"408";2014;"MSFT";2,903e+09
"409";2014;"SYK";1,53e+08
"410";2013;"MSFT";2,748e+09
"411";2013;"SYK";1,39e+08
"412";2012;"MSFT";2,528e+09
"413";2016;"SE";5786000
"414";2016;"EXPE";324100000
"415";2016;"SIRI";24560000
"416";2012;"JNJ";2,386e+09
"417";2015;"SIRI";17220000
"419";2015;"ISRG";52600000
"420";2014;"ISRG";47300000
"421";2013;"LLY";1,532e+09
"422";2013;"ISRG";41700000
"423";2013;"ATVI";1,97e+08
"424";2014;"MSI";1,65e+08
"425";2012;"MCHP";71380000
"426";2013;"TMO";104700000
"427";2013;"MSI";1,96e+08
"428";2013;"AMGN";1,249e+09
"429";2012;"MSI";5e+06
"430";2012;"AMGN";9,38e+08
"431";2012;"WAT";24960000
"432";2015;"LLY";1,643e+09
"433";2015;"LVS";2972000
"434";2014;"LLY";1,291e+09
"435";2014;"LVS";5048000
"436";2015;"MSFT";2,9e+09
"437";2013;"LVS";969000
"438";2015;"ITT";23700000
"439";2014;"ITT";20200000
"440";2016;"MSI";1,42e+08
"441";2014;"BEN";51200000
"442";2013;"ITT";18400000
"443";2015;"MSI";1,52e+08
"445";2013;"WAT";26980000
"446";2016;"PCAR";67600000
"447";2013;"WY";1e+07
"448";2016;"WY";5e+06
"449";2012;"TMO";98500000
"450";2016;"ISRG";69100000
"451";2015;"WY";6e+06
"452";2014;"WY";1e+06
"453";2016;"ATVI";2,85e+08
"454";2016;"TMO";212800000
"455";2016;"LLY";1,481e+09
"456";2012;"WY";9e+06
"457";2015;"BEN";51200000
"458";2015;"TMO";1,8e+08
"459";2014;"ATVI";1,84e+08
"460";2014;"TMO";182500000
"461";2013;"NOW";23870000
"462";2015;"ATVI";1,93e+08
"463";2015;"WAT";32190000
"464";2012;"TXN";4,25e+08
"465";2016;"CE";2e+07
"466";2013;"SIRI";15070000
"467";2012;"TRIP";24050000
"468";2015;"LRCX";220750000
"469";2015;"NOW";58440000
"470";2016;"MSFT";3,062e+09
"471";2012;"SYMC";2,49e+08
"472";2012;"LRCX";165950000
"473";2012;"NOW";13240000
"474";2014;"WAT";44180000
"475";2012;"INTC";2,629e+09
"476";2012;"EMN";6,2e+07
"477";2016;"LRCX";246800000
"478";2015;"CE";2,1e+07
"479";2014;"LRCX";196770000
"480";2014;"NOW";42030000
"481";2016;"NOW";73930000
"482";2013;"LRCX";174480000
"483";2012;"RHT";55150000
"484";2016;"ADBE";237200000
"485";2013;"RHT";71250000
"486";2015;"ADBE";215510000
"487";2014;"ADBE";209520000
"488";2014;"ORCL";1,292e+09
"489";2016;"MU";4,03e+08
"490";2016;"ORCL";1,419e+09
"491";2012;"ORCL";1,145e+09
"492";2015;"ORCL";1,37e+09
"493";2013;"ADBE";209640000
"494";2012;"MON";3,53e+08
"495";2015;"MON";3,72e+08
"496";2012;"ADBE";177730000
"497";2014;"RHT";82640000
"498";2012;"MU";2,22e+08
"499";2016;"MON";3,4e+08
"500";2015;"MU";3,79e+08
"501";2013;"ORCL";1,186e+09
"502";2015;"RHT";92040000
"503";2014;"MU";3,44e+08
"504";2013;"MON";3,6e+08
"505";2016;"RHT";108500000
"506";2014;"MON";4,04e+08
"507";2013;"MU";2,14e+08
"508";2013;"CSCO";1,452e+09
"509";2015;"A";8,8e+07
"510";2014;"A";8,8e+07
"511";2015;"CPB";2,5e+07
"512";2013;"A";1,79e+08
"513";2014;"CPB";2,7e+07
"514";2016;"ADSK";204500000
"515";2012;"A";1,62e+08
"516";2013;"CPB";3,2e+07
"517";2016;"CPB";2,3e+07
"518";2012;"CPB";2,9e+07
"519";2014;"ADSK";162400000
"520";2013;"ADSK";149400000
"521";2016;"ADI";157430000
"522";2016;"INTU";2,05e+08
"523";2016;"A";7,8e+07
"524";2015;"ADI";151710000
"525";2015;"INTU";1,88e+08
"526";2014;"ADI";128590000
"527";2014;"INTU";1,86e+08
"528";2012;"ADI";124380000
"529";2012;"INTU";1,64e+08
"530";2015;"AMAT";3,51e+08
"531";2015;"ADSK";191500000
"532";2014;"AMAT";3,56e+08
"533";2014;"CRM";173090000
"534";2016;"NVDA";3,44e+08
"535";2013;"AMAT";3,04e+08
"536";2013;"CRM";121190000
"537";2015;"NVDA";3,49e+08
"538";2012;"CRM";80610000
"539";2014;"NVDA";336810000
"540";2013;"NVDA";298010000
"541";2016;"WDAY";131240000
"542";2016;"DE";319300000
"543";2015;"WDAY";88960000
"544";2015;"DE";333200000
"545";2014;"WDAY";55320000
"546";2014;"DE";323700000
"547";2013;"WDAY";30250000
"548";2016;"AMAT";3,74e+08
"549";2013;"DE";356500000
"550";2015;"CRM";205990000
"551";2016;"CSCO";1,509e+09
"552";2012;"CSCO";1,339e+09
"553";2015;"CSCO";1,529e+09
"554";2012;"AMAT";3,04e+08
"555";2012;"ADSK";149500000
"556";2014;"CSCO";1,412e+09
"557";2013;"ADI";125160000
"558";2013;"INTU";1,69e+08
"559";2012;"NVDA";266860000
"560";2012;"WDAY";18290000
"561";2012;"DE";312500000
"562";2016;"CRM";250860000
"563";2014;"A";8,6e+07
"564";2012;"CPB";2,5e+07
"565";2013;"AMAT";3,34e+08
"566";2016;"NVDA";3,5e+08
"567";2016;"CRM";291510000
"568";2016;"INTU";2,35e+08
"569";2013;"A";1,71e+08
"570";2015;"CRM";234100000
"571";2015;"CSCO";1,548e+09
"572";2012;"A";1,62e+08
"573";2012;"AMAT";3,09e+08
"574";2016;"A";8,6e+07
"575";2012;"INTU";1,28e+08
"576";2013;"ADSK";148900000
"577";2015;"A";7,9e+07
"578";2016;"CPB";3,8e+07
"579";2015;"NVDA";3,2e+08
"580";2015;"DE";346800000
"581";2015;"CPB";3,4e+07
"582";2013;"CRM";148080000
"583";2013;"DE";338700000
"584";2012;"ADI";129690000
"585";2013;"CPB";3,4e+07
"586";2014;"CPB";3,4e+07
"587";2012;"CRM";99440000
"588";2015;"AMAT";3,72e+08
"589";2012;"DE";367800000
"590";2014;"CSCO";1,593e+09
"591";2015;"ADSK";193100000
"592";2014;"CRM";203110000
"593";2016;"CSCO";1,601e+09
"594";2016;"ADI";163230000
"595";2012;"CSCO";1,416e+09
"596";2015;"INTU";2,15e+08
"597";2014;"INTU";1,66e+08
"598";2014;"ADI";140100000
"599";2016;"WDAY";161890000
"600";2013;"CSCO";1,517e+09
"601";2013;"INTU";1,44e+08
"602";2016;"AMAT";3,86e+08
"603";2016;"ADSK";1,93e+08
"604";2012;"WDAY";23550000
"605";2012;"ADSK";144900000
"606";2015;"WDAY";115340000
"607";2012;"NVDA";281190000
"608";2014;"DE";362100000
"609";2014;"ADSK";179300000
"610";2014;"NVDA";3,37e+08
"611";2013;"WDAY";41170000
"612";2014;"AMAT";3,57e+08
"613";2013;"ADI";128890000
"614";2013;"NVDA";331740000
"615";2015;"ADI";160780000
"616";2016;"DE";338800000
"617";2014;"WDAY";77460000
"618";2016;"INTC";3,145e+09
"619";2014;"TRIP";4,1e+07
"620";2015;"SYMC";1,98e+08
"621";2016;"CAT";4,68e+08
"622";2016;"QCOM";1,268e+09
"623";2015;"MMM";4,38e+08
"624";2016;"SYMC";1,7e+08
"625";2016;"TRIP";6,3e+07
"626";2012;"VRTX";196540000
"627";2014;"SYMC";3,08e+08
"628";2015;"VRTX";223860000
"629";2014;"LVS";4217000
"630";2016;"BA";2,127e+09
"631";2015;"TRIP";5e+07
"632";2014;"VRTX";224490000
"633";2013;"MMM";4,27e+08
"634";2014;"GILD";5,84e+08
"635";2015;"LVS";2348000
"636";2014;"MMM";4,48e+08
"637";2012;"CE";2,5e+07
"638";2015;"GILD";8,18e+08
"639";2013;"CAT";5,48e+08
"640";2012;"AKAM";17540000
"641";2015;"CAT";5,1e+08
"642";2012;"ABT";370600000
"643";2012;"AAPL";8,76e+08
"644";2013;"CE";2,3e+07
"645";2013;"VRTX";222460000
"646";2016;"LVS";2e+06
"647";2013;"TRIP";3,2e+07
"648";2012;"CTXS";110030000
"649";2016;"BMRN";167040000
"650";2016;"EBAY";2,95e+08
"651";2016;"MMM";4,37e+08
"652";2014;"CAT";5,16e+08
"653";2015;"INTC";3,087e+09
"654";2013;"CTXS";132300000
"655";2014;"TXN";3,49e+08
"656";2014;"AMZN";2,226e+09
"657";2013;"TXN";3,89e+08
"658";2016;"MYL";179500000
"659";2016;"TSLA";191660000
"660";2015;"MCHP";84680000
"661";2014;"MYL";155400000
"662";2013;"AAPL";1,178e+09
"663";2013;"TSLA";52310000
"664";2015;"BA";8e+08
"665";2012;"ITT";16600000
"666";2014;"BA";7,33e+08
"667";2013;"AKAM";20600000
"668";2015;"LLY";1,25e+09
"669";2014;"LLY";1,195e+09
"670";2016;"LYB";2,4e+07
"671";2013;"LLY";1,33e+09
"672";2012;"LLY";1,321e+09
"673";2014;"TSLA";107720000
"674";2016;"JNJ";2,293e+09
"675";2013;"ACIW";38390000
"676";2013;"SYK";1,32e+08
"677";2012;"EBAY";3,94e+08
"678";2012;"VMW";248600000
"679";2012;"ACIW";35030000
"680";2012;"SYK";1,16e+08
"681";2014;"INTC";2,859e+09
"682";2015;"TXN";3,2e+08
"683";2012;"BA";8,57e+08
"684";2015;"CA";1,36e+08
"685";2015;"MYL";168200000
"686";2013;"PFE";1,53e+09
"687";2012;"PFE";1,6e+09
"688";2012;"ISRG";40200000
"689";2013;"MCHP";73080000
"690";2016;"EMN";5,5e+07
"691";2015;"BIIB";490700000
"692";2015;"FB";1,17e+09
"693";2014;"BIIB";447270000
"694";2014;"FB";4,92e+08
"695";2013;"BIIB";327460000
"696";2016;"AMZN";3,88e+09
"697";2013;"FB";3,44e+08
"698";2015;"JNPR";251600000
"699";2015;"AMZN";3,02e+09
"700";2012;"TRIP";21570000
"701";2016;"LLY";1,336e+09
"702";2015;"BDX";1,78e+08
"703";2014;"BDX";1,37e+08
"704";2016;"ITT";21100000
"705";2013;"BDX";1,21e+08
"706";2014;"MCHP";84370000
"707";2012;"BDX";114990000
"708";2016;"CELG";9,49e+08
"709";2016;"BSX";2,22e+08
"710";2016;"GILD";1,484e+09
"711";2015;"CELG";1,11e+09
"712";2015;"BSX";2,2e+08
"713";2014;"CELG";456900000
"714";2016;"CTXS";100650000
"715";2013;"CELG";458100000
"716";2012;"MMM";4,08e+08
"717";2013;"GILD";523900000
"718";2014;"EXPE";169080000
"719";2012;"GILD";396240000
"720";2016;"REGN";559930000
"721";2015;"REGN";390330000
"722";2016;"AAPL";2,56e+09
"723";2016;"ACIW";46420000
"724";2014;"AAPL";1,603e+09
"725";2012;"PCAR";73800000
"726";2015;"ACIW";39420000
"727";2014;"EBAY";4,68e+08
"728";2014;"ACIW";38880000
"729";2013;"EBAY";4,51e+08
"730";2016;"CERN";135160000
"731";2016;"CA";1,48e+08
"732";2014;"GLW";2,08e+08
"733";2013;"CERN";82280000
"734";2012;"CERN";73510000
"735";2014;"PFE";1,759e+09
"736";2013;"SIRI";15050000
"737";2016;"MCHP";147880000
"738";2012;"SIRI";6272000
"739";2016;"BMY";1,266e+09
"740";2015;"EBAY";2,32e+08
"741";2015;"BMY";1,856e+09
"742";2014;"BMY";1,416e+09
"743";2016;"FB";1,471e+09
"744";2013;"BMY";9,51e+08
"745";2015;"EMN";5,7e+07
"746";2012;"BMY";9,62e+08
"747";2016;"AKAM";37690000
"748";2016;"JNPR";247900000
"749";2014;"EMN";5,6e+07
"750";2015;"AKAM";36690000
"751";2013;"INTC";2,516e+09
"752";2012;"BIIB";329560000
"753";2016;"MRK";2,151e+09
"754";2016;"BDX";2,07e+08
"755";2015;"MRK";1,67e+09
"756";2013;"AMZN";1,586e+09
"757";2016;"DHR";239900000
"758";2012;"AMZN";1,082e+09
"759";2016;"XRX";1,19e+08
"760";2015;"DHR";304600000
"761";2015;"TSLA";181710000
"762";2015;"XRX";1,42e+08
"763";2014;"DHR";336400000
"764";2013;"MYL";111400000
"765";2013;"DHR";312200000
"766";2016;"CLX";4,2e+07
"767";2012;"MYL";94360000
"768";2012;"DHR";283600000
"769";2015;"CLX";3,9e+07
"770";2015;"RTN";1,86e+08
"771";2014;"CLX";3,5e+07
"772";2014;"BSX";2,06e+08
"773";2015;"CTXS";140200000
"774";2013;"BA";7,63e+08
"775";2013;"BSX";2,23e+08
"776";2012;"CELG";447200000
"777";2014;"CTXS";140380000
"778";2012;"CLX";3,4e+07
"779";2012;"BSX";2,13e+08
"780";2016;"APD";18700000
"781";2014;"REGN";294500000
"782";2015;"AAPL";2,034e+09
"783";2013;"REGN";187460000
"784";2016;"SYK";1,83e+08
"785";2016;"ILMN";1,25e+08
"786";2015;"LYB";2,5e+07
"787";2014;"LYB";3,4e+07
"788";2016;"AGN";636500000
"789";2016;"PX";2,4e+07
"790";2014;"NEM";4,2e+07
"791";2015;"JNJ";2,129e+09
"792";2014;"ZBH";4,8e+07
"793";2014;"JNJ";2,009e+09
"794";2016;"BAX";1,95e+08
"795";2016;"TXN";3,41e+08
"796";2015;"GLW";1,91e+08
"797";2014;"CERN";97330000
"798";2015;"PFE";1,734e+09
"799";2014;"CA";1,5e+08
"800";2012;"CMI";1,87e+08
"801";2012;"BAX";3,06e+08
"802";2013;"CA";1,32e+08
"803";2012;"LRCX";124530000
"804";2012;"CA";1,25e+08
"805";2016;"VRTX";271010000
"806";2016;"BIIB";473100000
"807";2015;"WDC";3,81e+08
"808";2016;"NFLX";207300000
"809";2014;"WDC";4,26e+08
"810";2013;"MSI";1,95e+08
"811";2015;"NFLX";155060000
"812";2013;"WDC";4,02e+08
"813";2013;"SYMC";2,62e+08
"814";2012;"FB";7,05e+08
"815";2012;"SYMC";2,49e+08
"816";2012;"NFLX";81550000
"817";2013;"QCOM";1,298e+09
"818";2012;"JNPR";268700000
"819";2014;"MRK";1,664e+09
"820";2012;"QCOM";9,74e+08
"821";2013;"MRK";2,101e+09
"822";2012;"MRK";2,165e+09
