"Day" "Month" "Year" "Ticker" "RD"
                
                    190.24M
                
            "
"767" "31" "12" "2014" "XRX" "
                
                    104.00M
                
            "
"768" "31" "12" "2014" "TSLA" "
                
                    139.56M
                
            "
"770" "31" "12" "2016" "CELG" "
                
                    1.135B
                
            "
"771" "31" "12" "2012" "SLB" "
                
                    304.00M
                
            "
"772" "31" "12" "2013" "TSLA" "
                
                    68.45M
                
            "
"773" "31" "12" "2016" "GILD" "
                
                    1.208B
                
            "
"774" "31" "12" "2015" "CELG" "
                
                    776.50M
                
            "
"776" "31" "12" "2012" "TSLA" "
                
                    68.83M
                
            "
"777" "31" "12" "2012" "ITT" "
                
                    14.90M
                
            "
"789" "31" "12" "2012" "GILD" "
                
                    439.71M
                
            "
"790" "31" "12" "2016" "KLAC" "
                
                    130.91M
                
            "
"794" "31" "12" "2015" "KLAC" "
                
                    118.27M
                
            "
"798" "31" "12" "2014" "PCAR" "
                
                    62.50M
                
            "
"802" "31" "12" "2013" "PCAR" "
                
                    60.90M
                
            "
"806" "31" "12" "2012" "PCAR" "
                
                    66.40M
                
            "
"807" "31" "12" "2015" "ILMN" "
                
                    113.82M
                
            "
"809" "31" "12" "2016" "ZBH" "
                
                    95.70M
                
            "
"810" "31" "12" "2014" "EBAY" "
                
                    236.00M
                
            "
"811" "31" "12" "2014" "ILMN" "
                
                    142.95M
                
            "
"813" "31" "12" "2015" "ZBH" "
                
                    85.90M
                
            "
"814" "31" "12" "2013" "EBAY" "
                
                    -403.00M
                
            "
"815" "31" "12" "2013" "ILMN" "
                
                    76.73M
                
            "
"817" "31" "12" "2014" "ZBH" "
                
                    50.80M
                
            "
"819" "31" "12" "2012" "EBAY" "
                
                    416.00M
                
            "
"820" "31" "12" "2013" "ZBH" "
                
                    46.00M
                
            "
"821" "31" "12" "2016" "CMI" "
                
                    158.00M
                
            "
"824" "31" "12" "2012" "ZBH" "
                
                    55.30M
                
            "
"825" "31" "12" "2012" "AGN" "
                
                    121.80M
                
            "
"826" "31" "12" "2014" "CERN" "
                
                    106.91M
                
            "
"827" "31" "12" "2015" "TXN" "
                
                    293.00M
                
            "
"828" "31" "12" "2016" "XLNX" "
                
                    159.25M
                
            "
"830" "31" "12" "2013" "CERN" "
                
                    92.44M
                
            "
"831" "31" "12" "2015" "MXIM" "
                
                    113.10M
                
            "
"833" "31" "12" "2014" "SIRI" "
                
                    15.11M
                
            "
"835" "31" "12" "2014" "MXIM" "
                
                    135.94M
                
            "
"839" "31" "12" "2013" "MXIM" "
                
                    142.97M
                
            "
"841" "31" "12" "2016" "MCHP" "
                
                    132.43M
                
            "
"842" "31" "12" "2012" "SIRI" "
                
                    16.38M
                
            "
"843" "31" "12" "2012" "MXIM" "
                
                    135.74M
                
            "
"845" "31" "12" "2015" "MCHP" "
                
                    97.02M
                
            "
"849" "31" "12" "2014" "MCHP" "
                
                    88.70M
                
            "
"853" "31" "12" "2013" "MCHP" "
                
                    76.34M
                
            "
"854" "31" "12" "2016" "INTC" "
                
                    3.28B
                
            "
"860" "31" "12" "2012" "ATVI" "
                
                    220.00M
                
            "
"861" "31" "12" "2016" "JNPR" "
                
                    263.00M
                
            "
"865" "31" "12" "2015" "JNPR" "
                
                    247.20M
                
            "
"867" "31" "12" "2013" "SYMC" "
                
                    252.00M
                
            "
"870" "31" "12" "2014" "JNPR" "
                
                    233.50M
                
            "
"874" "31" "12" "2016" "BDX" "
                
                    182.00M
                
            "
"875" "31" "12" "2015" "MRK" "
                
                    1.798B
                
            "
"876" "31" "12" "2013" "QCOM" "
                
                    1.328B
                
            "
"878" "31" "12" "2015" "BDX" "
                
                    187.00M
                
            "
"879" "31" "12" "2015" "SLB" "
                
                    275.00M
                
            "
"880" "31" "12" "2012" "QCOM" "
                
                    1.106B
                
            "
"882" "31" "12" "2014" "BDX" "
                
                    129.00M
                
            "
"883" "31" "12" "2014" "SLB" "
                
                    324.00M
                
            "
"887" "31" "12" "2013" "SLB" "
                
                    304.00M
                
            "
"891" "31" "12" "2013" "DHR" "
                
                    186.70M
                
            "
"895" "31" "12" "2012" "DHR" "
                
                    294.70M
                
            "
"897" "31" "12" "2016" "WAT" "
                
                    32.75M
                
            "
"907" "31" "12" "2015" "EXPE" "
                
                    250.57M
                
            "
"911" "31" "12" "2014" "EXPE" "
                
                    181.35M
                
            "
"913" "31" "12" "2016" "REGN" "
                
                    479.21M
                
            "
"915" "31" "12" "2013" "EXPE" "
                
                    155.04M
                
            "
"917" "31" "12" "2015" "REGN" "
                
                    461.21M
                
            "
"919" "31" "12" "2014" "KLAC" "
                
                    133.56M
                
            "
"924" "31" "12" "2016" "BEN" "
                
                    51.70M
                
            "
"925" "31" "12" "2016" "SYK" "
                
                    189.00M
                
            "
"927" "31" "12" "2012" "KLAC" "
                
                    121.61M
                
            "
"938" "31" "12" "2015" "JNJ" "
                
                    3.078B
                
            "
"941" "31" "12" "2014" "JNJ" "
                
                    2.791B
                
            "
"942" "31" "12" "2012" "SYK" "
                
                    129.00M
                
            "
"945" "31" "12" "2013" "JNJ" "
                
                    2.749B
                
            "
"946" "31" "12" "2015" "CMI" "
                
                    177.00M
                
            "
"950" "31" "12" "2014" "CMI" "
                
                    187.00M
                
            "
"955" "31" "12" "2013" "CMI" "
                
                    181.00M
                
            "
"959" "31" "12" "2012" "CMI" "
                
                    174.00M
                
            "
"968" "31" "12" "2012" "MRK" "
                
                    2.224B
                
            "
"973" "31" "12" "2016" "WDC" "
                
                    585.00M
                
            "
"977" "31" "12" "2016" "TRIP" "
                
                    58.00M
                
            "
"979" "31" "12" "2015" "INTC" "
                
                    3.119B
                
            "
"980" "31" "12" "2015" "TRIP" "
                
                    55.00M
                
            "
"981" "31" "12" "2014" "CELG" "
                
                    584.90M
                
            "
"983" "31" "12" "2014" "INTC" "
                
                    2.99B
                
            "
"984" "31" "12" "2014" "TRIP" "
                
                    46.00M
                
            "
"985" "31" "12" "2013" "CELG" "
                
                    731.20M
                
            "
"987" "31" "12" "2013" "INTC" "
                
                    2.826B
                
            "
"988" "31" "12" "2013" "TRIP" "
                
                    36.00M
                
            "
"989" "31" "12" "2012" "CELG" "
                
                    473.50M
                
            "
"992" "31" "12" "2016" "MRK" "
                
                    4.649B
                
            "
"993" "31" "12" "2014" "QCOM" "
                
                    1.352B
                
            "
"999" "31" "12" "2013" "AMZN" "
                
                    1.862B
                
            "
"1000" "31" "12" "2014" "MRK" "
                
                    2.283B
                
            "
"1002" "31" "12" "2016" "XRX" "
                
                    113.00M
                
            "
"1003" "31" "12" "2012" "AMZN" "
                
                    1.345B
                
            "
"1004" "31" "12" "2013" "MRK" "
                
                    1.835B
                
            "
"1005" "31" "12" "2016" "ITT" "
                
                    21.90M
                
            "
"1006" "31" "12" "2015" "XRX" "
                
                    93.00M
                
            "
"1011" "31" "12" "2016" "AMGN" "
                
                    1.078B
                
            "
"1013" "31" "12" "2012" "LVS" "
                
                    7.762M
                
            "
"1014" "31" "12" "2016" "RTN" "
                
                    196.00M
                
            "
"1018" "31" "12" "2015" "RTN" "
                
                    195.00M
                
            "
"1022" "31" "12" "2012" "BEN" "
                
                    43.60M
                
            "
"1029" "31" "12" "2016" "MXIM" "
                
                    114.06M
                
            "
"1040" "31" "12" "2012" "EXPE" "
                
                    134.34M
                
            "
"1042" "31" "12" "2014" "REGN" "
                
                    351.74M
                
            "
"1045" "31" "12" "2013" "KLAC" "
                
                    134.59M
                
            "
"1046" "31" "12" "2013" "REGN" "
                
                    268.14M
                
            "
