"","CompaniesIndex","YearIndex","Roa","Roe","Roic","TobinsQ","Ra","AlphaJensen","Eps","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","NetIncome","Beta","CostEquity","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GicsClassification","FirmSize","LogTobinsQ"
"807",269,3,0.0459,0.126,0.0868,1.01,-0.116692266276513,-0.0924504990294506,5.1,0.72,0.1715,3.3241e+10,3.13e+08,1.1624e+10,2e+09,0.285428707974632,-0.000171257224784779,0.52,0.01,0.05,0,0.08,0.18,1,1,1,6,24.227049890717,0.00995033085316809
"808",270,1,0.0073,0.0995,0.0113985521698659,-0.13,0.053317500003341,0.0301968831005615,2.99,0.59,0.1764,97463800000,2.45e+08,3.896e+09,6.87e+08,1.25448527387555,0.0149029262317314,0.35,0.21,0.37,0.28,0,0.84,0,0,1,4,25.3027468639567,-0.809677395311981
"809",270,2,0.0075,0.1058,0.0814741293084778,-0.458000199810833,4.04131729148176e-06,0.000358371017124005,3.32,0.43,0.1855,102947300000,2.41e+08,4.089e+09,7.31e+08,0.822797754547315,0.0231206169027795,0.23,0.05,0.03,0,0,0.1,0,0,1,4,25.3574830437528,-1.34125608576182
"810",270,3,0.0082,0.1142,0.0638519057117142,0.0493043340412147,-0.0339621345356568,-0.0149580572914509,3.99,0.63,0.1852,109946500000,2.38e+08,4.331e+09,8.11e+08,0.590549499720871,-0.000354329699832523,0.18,0,0.03,0,0,0.1,0,0,1,4,25.4232597207893,-0.876294567271874
"811",271,1,0.0331,0.0636,0.0509,1.11,0.0513550657151598,0.0121925907824169,1.52,0.44,0.0259,14152059000,3.18e+08,1.9429e+10,5.05e+08,1.13694168211505,0.0135159118489576,0.15,0,0,0,0,0.73,0,0,0,8,23.3731259628173,0.104360015324243
"812",271,2,0.0462,0.0923,0.0677,1,-0.0816484097269808,-0.0810478810130343,2.11,0.57,0.0255,1.5203e+10,3.19e+08,1.9052e+10,4.88e+08,1.39368238194814,0.0391624749327428,0.08,0,0,0,0,0.08,0,0,0,8,23.4447586137451,0
"813",271,3,0.0238,0.0469,0.0395,0.89,-0.0188616734712449,0.0118232203217563,0.25,0.56,0.0337,1.5616e+10,3.2e+08,2.1105e+10,6.79e+08,1.0008811899109,-0.00060052871394654,0.13,0,0.05,0,0,0.08,0,0,0,8,23.4715618666171,-0.116533816255952
"814",272,1,0.094,0.1254,0.1217,1,0.026567027132783,0.0257033689535028,0.9,0.01,0.1453,6.075e+09,6.16e+08,3.998e+09,5.81e+08,1.50967860953701,0.0179142075925367,0.62,0.81,0.74,0.94,0.48,0.65,0,0,1,7,22.527447826173,0
"815",272,2,0.0644,0.0948,0.0813,1.1,-0.0448637421131666,-0.0435248490793493,0.74,5.24244940071144,0.1314,7.251e+09,6.25e+08,4.28e+09,5.63e+08,0.0307351665224263,0.000863658179280178,0.71,0.12,0.11,0.11,0.09,0.13,1,0,1,7,22.7044052273359,0.0953101798043249
"816",272,3,0.0873,0.1421,0.1109,1.63,0.0383472523610615,0.0544480319793058,1.12,0.31,0.1065,7.201e+09,5.95e+08,4.13e+09,4.4e+08,2.23148838969557,-0.00133889303381734,0.79,0.12,0.11,0.1,0.12,0.13,1,1,1,7,22.6974857422131,0.488580014818671
"817",273,1,0.0772,0.2333,0.1333,1.65,0.0656704444975491,0.0219362809581348,1.63,0.85,0.068,6.222e+09,2.94e+08,5.509e+09,4.01e+08,0.0823991405130964,0.00107230985805454,0.26,0.2,0.13,0,0.28,0.59,0,1,0,1,22.5513572354219,0.500775287912489
"818",273,2,0.0593,0.1926,0.1035,1.82,0.0478586141491706,0.0482017767380492,1.35,0.8,0.0834,6069700000,2.92e+08,5.607e+09,4.75e+08,1.55637592666955,0.0437341635394143,0.57,0.05,0.03,0.13,0.1,0.15,0,1,1,1,22.5265750174027,0.598836501088704
"819",273,3,0.0501,0.1905,0.0891,1.92,-0.0130722693362684,0.00592919245041293,1.29,1.13,0.066,6681100000,2.78e+08,5.727e+09,3.78e+08,0.571937648130949,-0.000343162588878569,0.54,0.08,0.04,0.1,0.08,0.15,0,1,1,1,22.6225484815969,0.65232518603969
"820",274,1,0.0265,0.0619,0.056,1.27,-0.0158566738281643,-0.0550759068017093,1.06,1.6,0.2409,5443363000,1.33e+08,4.85e+08,1.59e+08,0.706953383391967,0.00844204992402521,0,0,0,0,0,0,0,0,0,4,22.4176629053377,0.2390169004705
"821",274,2,0.0217,0.0455,0.0462,1.47,0.0302566457168934,0.0307676879355573,1.04,0.87,0.2616,9924441000,1.92e+08,7.8e+08,2.46e+08,1.39570224105142,0.039219232973545,0.13,0,0,0,0,0.13,0,0,0,4,23.0182663395154,0.385262400790645
"822",274,3,0.0224,0.0452,0.0461,1.54,0.0433761209144761,0.038887400688859,1.09,0.94,0.2438,11012622000,2.19e+08,9.34e+08,2.71e+08,0.851737031106569,-0.000511042218663941,0.22,0,0.09,0,0,0.13,0,0,0,4,23.1223079064674,0.431782416425538
