"","CompaniesIndex","YearIndex","Ra","Roa","StockPriceClose","TobinsQ","PriceToEarningRatio","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","Eps","FirmSize","LogTobinsQ","LogPriceToEarningRatio","LogEps","LogStockPrice"
"73",25,1,0.068978301390123,0.0934,44.11,2.31,21.0047619047619,0.1334,0,0,0,0,0,0,0,0,5190056000,0.45,0.1377,6,0.459185365634977,0.00551838731449272,2.1,22.3700103240467,0.837247524533702,3.04474916938747,0.741937344729377,3.78668651411685
"74",25,2,0.0340087031051945,0.095,51.75,2.1,21.8354430379747,0.1352,0.13,0,0,0,0,0,0,0,5877902000,0.36,0.1438,6,1.84925127500251,0.0519639608275704,2.37,22.4944657324666,0.741937344729377,3.08353447699844,0.86288995514704,3.94642443214548
"75",25,3,-0.0505804671519423,0.0903,53.42,2.04,21.8040816326531,0.1297,0.18,0.05,0,0,0,0,0,0,6420963000,0.44,0.1453,6,1.59893807002869,-0.000959362842017214,2.45,22.5828339433994,0.712949807856125,3.08209718312518,0.896088024556636,3.97818520768181
"76",26,1,0.079777736989555,0.0577,170.66,1.96,26.0549618320611,0.1275,0.18,0,0,0,0,0,0,0,6187100000,0.54,0.0964,4,1.21656951249246,0.014455520247411,6.55,22.5457323162869,0.672944473242426,3.26020822346128,1.87946504964716,5.13967327310844
"77",26,2,0.0416097135763545,0.0645,198.15,1.72,25.7337662337662,0.1272,0.1,0,0,0,0,0,0,0,6318800000,0.65,0.1647,4,1.47983286511257,0.0415833035096633,7.7,22.5667951536592,0.542324290825362,3.2478039907768,2.04122032885964,5.28902431963644
"78",26,3,-0.103775616837975,0.0667,200.26,1.32,21.8386041439477,0.1262,0.16,0.06,0,0,0,0,0,0,7698100000,0.72,0.1801,4,0.880075373334499,-0.0005280452240007,9.17,22.7642393821107,0.27763173659828,3.08367923601129,2.21593728626837,5.29961652227966
"79",27,1,0,0.0844,103.93,1.46,15.6521084337349,0.1135,0.54,0.51,0.52,0.43,0.64,0,1,1,5.4298e+10,1.26,0.2517,5,0.241875061186173,0.00295412572199684,6.64,24.7177532307954,0.378436435720245,2.75060563211199,1.89311196348834,4.64371759560033
"80",27,2,-0.037096049827971,0.0763,131.03,1.79,19.5567164179104,0.1033,0.7,0.09,0.08,0.08,0.08,1,1,1,6.6125e+10,1.34,0.2721,5,0.582871171435783,0.0163786799173455,6.7,24.9148127271249,0.582215619852664,2.97331877821957,1.90210752639692,4.87542630461649
"81",27,3,0.00760572403422267,0.0987,158.12,1.7,17.4525386313466,0.1269,0.63,0.07,0.06,0.07,0.06,1,1,1,6.9009e+10,1.17,0.2571,5,0.777535389014305,-0.000466521233408583,9.06,24.9575027678204,0.53062825106217,2.8594851183736,2.20386912005489,5.06335423842848
"82",28,1,0.0609234756743946,0.0096,84.71,0.17,13.1537267080745,NA,0.17,0,0,0,0,0,0,0,1.34729e+11,0.81,0.1003,4,1.60000561392038,0.0189800662442605,6.44,25.6265311904347,-1.77195684193188,2.57670511832719,1.86252854011626,4.43923365844346
"83",28,2,0.00363606182532522,0.011,117.76,0.19,14.1879518072289,NA,0.09,0,0,0,0,0,0,0,1.44576e+11,1.03,0.1188,4,1.45465356323426,0.0408757651268828,8.3,25.6970711577919,-1.66073120682165,2.65239314017801,2.11625551480255,4.76864865498057
