"","CompaniesIndex","YearIndex","Ra","Roa","Roe","TobinsQ","AlphaJensen","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","FirmSize","LogTobinsQ"
"933",311,3,0.00801676834802469,0.0369,0.0966,1.14,0.0210789450360538,0.0629,0.29,0.01,0,0,0,1,0,1,2.0094e+10,0.91,0.0623,6,0.852936200652714,-0.000511761720391628,23.7236870999865,0.131028262406404
"934",312,1,0.0285950902922567,0.0758,0.2094,0.95,0.0283452706403256,0.1498,0.49,0.58,0.65,0.83,0.51,0,1,1,2.6686e+10,0.59,0.0773,6,0.951656397330465,0.0113295454884995,24.0074049202666,-0.0512932943875506
"935",312,2,0.0136828346961231,0.0833,0.2183,1.23,0.0136944696226229,0.1563,0.58,0.09,0.08,0.07,0.09,1,1,1,2.5967e+10,0.42,0.0842,6,0.00889037907228127,0.000249819651931104,23.9800923380431,0.207014169384326
"936",312,3,0.00402313617815502,0.0725,0.2111,1.33,0.0272470369625659,0.1476,0.65,0.09,0.09,0.14,0.08,1,1,1,2.79e+10,0.56,0.0983,6,0.0193915441663212,-1.16349264997927e-05,24.0518925257737,0.285178942233662
"937",313,1,0.247865234094557,-0.027,-0.1139,NA,0.281986898476055,-0.0214,0.62,0.35,0.63,0.49,0.4,1,1,1,5.157e+10,3.38,-0.1224,10,1.0594514602025,0.0126015272303895,24.6662059450093,NA
"938",313,2,-0.210046104808809,-0.0389,-0.1343,NA,-0.20970623297972,NA,0.67,0.11,0.07,0.05,0.09,1,1,1,8.6095e+10,1.25,-0.1101,10,-1.21429410610314,-0.0341216643814982,25.1787171746846,NA
"939",313,3,-0.00825314175672041,-0.0403,-0.1541,NA,-0.00292410440062755,-0.0289,0.47,0.11,0,0,0,1,1,1,8.3038e+10,1.4696,NA,10,0.566453048481704,-0.000339871829089022,25.1425641712955,NA
"940",314,1,NA,-0.0084,-0.1107,2.56,NA,0.0382,0,0,0,0,0,0,0,0,6.616e+09,7.47,-0.1898,10,NA,NA,22.6127567946678,0.940007258491471
"942",315,2,0.0102902403780004,0.1857,0.4241,5.07,0.0109810119725703,0.3079,0.49,0.08,0,0,0.1,1,1,1,1.1517e+10,0.29,6e-04,1,0.697031314045968,0.0195865799246917,23.1670900416332,1.62334081760309
"943",315,3,-0.0224024605645785,0.2377,0.4973,7.17,-0.00469901950076018,0.3586,0.6,0.09,0.1,0.02,0.08,1,1,1,1.0706e+10,0.39,0.1257,1,1.15128599094992,-0.00069077159456995,23.0940701689176,1.96990565461153
"944",316,1,0.0602400032418674,0.0073,0.1108,0.36,0.0206928766228947,NA,0.17,0.15,0,0,0.24,0,0,0,1.33637e+11,0.19,0.1802,4,1.56830436080188,0.0186059914574621,25.6183930058142,-1.02165124753198
"945",316,2,0.063942541527373,0.0085,0.1234,0.34,0.0642097817641734,NA,0.19,0.02,0.01,0,0.06,0,0,0,1.43642e+11,0.2,0.1859,4,1.40737105405597,0.0395471266189728,25.6905899299055,-1.07880966137193
"946",316,3,-0.0234103034354392,0.0081,0.1193,0.3,0.0146045833149716,NA,0.21,0.06,0.03,0,0.03,0,0,0,1.54642e+11,0.17,0.2083,4,0.445400394667296,-0.000267240236800378,25.7643786050272,-1.20397280432594
"947",317,1,NA,0.031,0.1183,NA,NA,NA,0.49,0.06,0.12,0.5,0.64,1,1,1,3.0587e+10,1.1874,0.1852,3,NA,NA,24.1438409190348,NA
"948",317,2,NA,-0.3156,0.1287,NA,NA,NA,0.54,0.03,0.02,0.1,0.12,1,1,1,3.3533e+10,1.5268,0.1881,3,NA,NA,24.2357958655367,NA
